arm,s2,lambda_equiv,hole,obs,full,meas_resid,stage0_hole,stage1_hole,stage2_hole,stage3_hole
measured,0.200/0.211/0.220/0.228,4.4-5.0 (per-stage),3.5217349529266357,0.0028140037320554256,0.8825442790985107,0.8990511894226074,0.2264755368232727,0.21800775825977325,0.4732705056667328,3.5217349529266357
s2_1.0,1.0,1.0,3.465237617492676,0.0028464968781918287,0.8684443235397339,0.8994054198265076,0.7282240986824036,0.6169759631156921,0.5043154954910278,3.465237617492676
s2_0.04,0.04,25.0,3.253412961959839,0.002773868851363659,0.8154336810112,0.9002208113670349,0.11392521858215332,0.08993595838546753,0.13802479207515717,3.253412961959839
s2_0.01,0.01,100.0,1.344651699066162,0.002608572132885456,0.33811935782432556,0.9038199782371521,0.08424476534128189,0.0591282956302166,0.10644638538360596,1.344651699066162
s2_0.0025,0.0025,400.0,1.140495777130127,0.0021187688689678907,0.28671300411224365,0.9280768036842346,0.06349902600049973,0.05213943123817444,0.08823806047439575,1.140495777130127
