stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,x0_steps,gamma2_scale,mse_hole,mse_obs
0,0,0.0,1.0,0.04273861274123192,"K=1,g2x1",0.1,0.0,1,1.0,0.14752979576587677,0.00780821405351162
0,1,0.111,0.9722500000000001,0.048480696976184845,"K=1,g2x1",0.1,0.0,1,1.0,0.170512393116951,0.007803466636687517
0,2,0.222,0.9445,0.05375884473323822,"K=1,g2x1",0.1,0.0,1,1.0,0.19165468215942383,0.007793566212058067
0,3,0.333,0.9167500000000001,0.08654426038265228,"K=1,g2x1",0.1,0.0,1,1.0,0.32298922538757324,0.007729268632829189
0,4,0.444,0.889,0.1661718189716339,"K=1,g2x1",0.1,0.0,1,1.0,0.64144366979599,0.007747840601950884
0,5,0.555,0.86125,0.36412104964256287,"K=1,g2x1",0.1,0.0,1,1.0,1.4329172372817993,0.007855604402720928
0,6,0.666,0.8335,0.6791929006576538,"K=1,g2x1",0.1,0.0,1,1.0,2.6932430267333984,0.007842804305255413
0,7,0.777,0.80575,1.1261141300201416,"K=1,g2x1",0.1,0.0,1,1.0,4.481098651885986,0.007785762194544077
0,8,0.888,0.778,1.3809136152267456,"K=1,g2x1",0.1,0.0,1,1.0,5.5001068115234375,0.007849120534956455
0,9,0.999,0.75025,1.4538133144378662,"K=1,g2x1",0.1,0.0,1,1.0,5.791738986968994,0.00783754512667656
1,0,0.0,0.8571428571428572,3.0391759872436523,"K=1,g2x1",0.1,0.0,1,1.0,12.14099407196045,0.005236528813838959
1,1,0.111,0.8175000000000001,2.747170925140381,"K=1,g2x1",0.1,0.0,1,1.0,10.97326374053955,0.005140034016221762
1,2,0.222,0.7778571428571429,2.2464351654052734,"K=1,g2x1",0.1,0.0,1,1.0,8.970288276672363,0.0051506636664271355
1,3,0.333,0.7382142857142858,1.746809959411621,"K=1,g2x1",0.1,0.0,1,1.0,6.971446990966797,0.005264137405902147
1,4,0.444,0.6985714285714286,1.4422845840454102,"K=1,g2x1",0.1,0.0,1,1.0,5.753440856933594,0.005232376977801323
1,5,0.555,0.6589285714285714,1.3060708045959473,"K=1,g2x1",0.1,0.0,1,1.0,5.20840311050415,0.005293183960020542
1,6,0.666,0.6192857142857142,1.1150565147399902,"K=1,g2x1",0.1,0.0,1,1.0,4.4446797370910645,0.005181977525353432
1,7,0.777,0.5796428571428571,0.9170452952384949,"K=1,g2x1",0.1,0.0,1,1.0,3.6522369384765625,0.005314784124493599
1,8,0.888,0.54,0.7473539113998413,"K=1,g2x1",0.1,0.0,1,1.0,2.97369647026062,0.005239647813141346
1,9,0.999,0.5003571428571428,0.6248540878295898,"K=1,g2x1",0.1,0.0,1,1.0,2.4837663173675537,0.005216635763645172
2,0,0.0,0.6666666666666667,0.9240707159042358,"K=1,g2x1",0.1,0.0,1,1.0,3.677638292312622,0.006214713212102652
2,1,0.111,0.6204166666666668,1.889688491821289,"K=1,g2x1",0.1,0.0,1,1.0,7.540040493011475,0.006237627938389778
2,2,0.222,0.5741666666666667,2.791016101837158,"K=1,g2x1",0.1,0.0,1,1.0,11.14498519897461,0.006359368097037077
2,3,0.333,0.5279166666666668,2.11279034614563,"K=1,g2x1",0.1,0.0,1,1.0,8.43250560760498,0.006218112539499998
2,4,0.444,0.48166666666666674,1.446610450744629,"K=1,g2x1",0.1,0.0,1,1.0,5.767854690551758,0.0061958422884345055
2,5,0.555,0.4354166666666667,0.9290984869003296,"K=1,g2x1",0.1,0.0,1,1.0,3.697816848754883,0.006192208733409643
2,6,0.666,0.38916666666666666,0.6270842552185059,"K=1,g2x1",0.1,0.0,1,1.0,2.489858865737915,0.006159396842122078
2,7,0.777,0.34291666666666665,0.4425743818283081,"K=1,g2x1",0.1,0.0,1,1.0,1.751944899559021,0.006117560900747776
2,8,0.888,0.2966666666666667,0.33512744307518005,"K=1,g2x1",0.1,0.0,1,1.0,1.3221204280853271,0.006129795219749212
2,9,0.999,0.2504166666666667,0.2671631872653961,"K=1,g2x1",0.1,0.0,1,1.0,1.0503320693969727,0.006106847897171974
3,0,0.0,0.3999999999999999,0.4505990445613861,"K=1,g2x1",0.1,0.0,1,1.0,1.7949304580688477,0.002488550031557679
3,1,0.111,0.3555999999999999,0.38733455538749695,"K=1,g2x1",0.1,0.0,1,1.0,1.541869044303894,0.0024897477123886347
3,2,0.222,0.3111999999999999,0.3370911777019501,"K=1,g2x1",0.1,0.0,1,1.0,1.3408435583114624,0.0025070691481232643
3,3,0.333,0.2668,0.29852211475372314,"K=1,g2x1",0.1,0.0,1,1.0,1.1866329908370972,0.0024851569905877113
3,4,0.444,0.22239999999999996,0.2742604613304138,"K=1,g2x1",0.1,0.0,1,1.0,1.089651107788086,0.0024635489098727703
3,5,0.555,0.17799999999999994,0.25737762451171875,"K=1,g2x1",0.1,0.0,1,1.0,1.0221940279006958,0.002438796916976571
3,6,0.666,0.13359999999999997,0.24912971258163452,"K=1,g2x1",0.1,0.0,1,1.0,0.9893843531608582,0.0023781980853527784
3,7,0.777,0.08919999999999997,0.24482905864715576,"K=1,g2x1",0.1,0.0,1,1.0,0.9725127816200256,0.0022677876986563206
3,8,0.888,0.044799999999999986,0.24365322291851044,"K=1,g2x1",0.1,0.0,1,1.0,0.9691236615180969,0.0018296906491741538
3,9,0.999,0.0004000000000000003,0.24365322291851044,"K=1,g2x1",0.1,0.0,1,1.0,0.9691236615180969,0.0018296906491741538
0,0,0.0,1.0,0.042738642543554306,"K=1,g2x0",0.1,0.0,1,0.0,0.14752992987632751,0.007808216847479343
0,1,0.111,0.9722500000000001,0.048480600118637085,"K=1,g2x0",0.1,0.0,1,0.0,0.17051202058792114,0.007803464774042368
0,2,0.222,0.9445,0.05375700443983078,"K=1,g2x0",0.1,0.0,1,0.0,0.19164729118347168,0.007793567143380642
0,3,0.333,0.9167500000000001,0.08652602136135101,"K=1,g2x0",0.1,0.0,1,0.0,0.32291626930236816,0.007729269564151764
0,4,0.444,0.889,0.16607263684272766,"K=1,g2x0",0.1,0.0,1,0.0,0.6410470008850098,0.007747840601950884
0,5,0.555,0.86125,0.36368584632873535,"K=1,g2x0",0.1,0.0,1,0.0,1.4311765432357788,0.007855604402720928
0,6,0.666,0.8335,0.6779412627220154,"K=1,g2x0",0.1,0.0,1,0.0,2.6882364749908447,0.007842805236577988
0,7,0.777,0.80575,1.1230747699737549,"K=1,g2x0",0.1,0.0,1,0.0,4.4689412117004395,0.00778576172888279
0,8,0.888,0.778,1.375584363937378,"K=1,g2x0",0.1,0.0,1,0.0,5.47878885269165,0.007849115878343582
0,9,0.999,0.75025,1.4461883306503296,"K=1,g2x0",0.1,0.0,1,0.0,5.761240482330322,0.007837549783289433
