stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,mse_hole,mse_obs,task,image
0,0,0.0,1.0,0.2000590571988071,0.009970428422093391,0.07056153565645218,1.9352391958236694,0.9947441816329956,0.258368581533432,0.007959187030792236,box_inpainting,junco
0,1,0.111,0.9722500000000001,0.2000590571988071,0.010642001405358315,0.0707843005657196,1.9350847005844116,0.9973888397216797,0.2594182789325714,0.007906308397650719,box_inpainting,junco
0,2,0.222,0.9445,0.2000590571988071,0.01062399335205555,0.06568196415901184,1.9351239204406738,0.9829674363136292,0.23862771689891815,0.0080333910882473,box_inpainting,junco
0,3,0.333,0.9167500000000001,0.2000590571988071,0.009873627685010433,0.06903939694166183,1.9351725578308105,0.9869840145111084,0.2523622214794159,0.00793177355080843,box_inpainting,junco
0,4,0.444,0.889,0.2000590571988071,0.009073696099221706,0.06315241008996964,1.9352784156799316,0.9984487891197205,0.22861312329769135,0.007998836226761341,box_inpainting,junco
0,5,0.555,0.86125,0.2000590571988071,0.008365506306290627,0.08638335764408112,1.9351202249526978,0.9851222038269043,0.3215267062187195,0.008002238348126411,box_inpainting,junco
0,6,0.666,0.8335,0.2000590571988071,0.007804953958839178,0.08181757479906082,1.9351391792297363,1.0122591257095337,0.30338814854621887,0.007960713468492031,box_inpainting,junco
0,7,0.777,0.80575,0.2000590571988071,0.0074211894534528255,0.060560643672943115,1.9353748559951782,1.0158469676971436,0.21804024279117584,0.008067441172897816,box_inpainting,junco
0,8,0.888,0.778,0.2000590571988071,0.00719289667904377,0.06673871725797653,1.9351495504379272,0.9899382591247559,0.2428734302520752,0.008027146570384502,box_inpainting,junco
0,9,0.999,0.75025,0.2000590571988071,0.007022725883871317,0.06252401322126389,1.9350894689559937,0.9699145555496216,0.2264755368232727,0.007873504422605038,box_inpainting,junco
1,0,0.0,0.8571428571428572,0.21108518838244975,0.013227979652583599,0.08174150437116623,1.4852041006088257,1.001232385635376,0.31139883399009705,0.005189049523323774,box_inpainting,junco
1,1,0.111,0.8175000000000001,0.21108518838244975,0.012689127586781979,0.07054292410612106,1.485308289527893,1.0051027536392212,0.266598641872406,0.005191015545278788,box_inpainting,junco
1,2,0.222,0.7778571428571429,0.21108518838244975,0.012317526154220104,0.07661598920822144,1.485710620880127,1.0067402124404907,0.2907501459121704,0.00523793138563633,box_inpainting,junco
1,3,0.333,0.7382142857142858,0.21108518838244975,0.012009454891085625,0.07913873344659805,1.4856830835342407,1.0015387535095215,0.30093273520469666,0.005207396112382412,box_inpainting,junco
1,4,0.444,0.6985714285714286,0.21108518838244975,0.011795909143984318,0.07431639730930328,1.4849352836608887,0.9979171752929688,0.2815670669078827,0.0052328528836369514,box_inpainting,junco
1,5,0.555,0.6589285714285714,0.21108518838244975,0.011530348099768162,0.0703163594007492,1.4853185415267944,1.005010962486267,0.2655879557132721,0.0052258106879889965,box_inpainting,junco
1,6,0.666,0.6192857142857142,0.21108518838244975,0.011259624734520912,0.06711998581886292,1.4849010705947876,0.9920858144760132,0.2530851364135742,0.005131599958986044,box_inpainting,junco
1,7,0.777,0.5796428571428571,0.21108518838244975,0.010943361558020115,0.06844009459018707,1.4851641654968262,1.0061179399490356,0.2582312822341919,0.005176355596631765,box_inpainting,junco
1,8,0.888,0.54,0.21108518838244975,0.010707459412515163,0.0661311000585556,1.4855324029922485,1.0071406364440918,0.24882487952709198,0.005233176983892918,box_inpainting,junco
1,9,0.999,0.5003571428571428,0.21108518838244975,0.010580291040241718,0.058367710560560226,1.4851018190383911,0.9874954223632812,0.21800775825977325,0.005154358223080635,box_inpainting,junco
2,0,0.0,0.6666666666666667,0.2203612135091675,0.011577649042010307,0.08386002480983734,1.186676263809204,0.9937723875045776,0.31199559569358826,0.007814828306436539,box_inpainting,junco
2,1,0.111,0.6204166666666668,0.2203612135091675,0.011458246037364006,0.08236008882522583,1.1873538494110107,1.0020711421966553,0.30579349398612976,0.007882293313741684,box_inpainting,junco
2,2,0.222,0.5741666666666667,0.2203612135091675,0.011648545041680336,0.08571894466876984,1.1863473653793335,1.0010837316513062,0.3196870982646942,0.007729553617537022,box_inpainting,junco
2,3,0.333,0.5279166666666668,0.2203612135091675,0.011883500963449478,0.08343200385570526,1.1880865097045898,0.9983058571815491,0.3101769685745239,0.007850348949432373,box_inpainting,junco
2,4,0.444,0.48166666666666674,0.2203612135091675,0.01197701133787632,0.07961741089820862,1.187209129333496,0.9982717037200928,0.29510000348091125,0.007789891678839922,box_inpainting,junco
2,5,0.555,0.4354166666666667,0.2203612135091675,0.012359649874269962,0.08508913218975067,1.1873836517333984,1.0028070211410522,0.3170281946659088,0.007776093203574419,box_inpainting,junco
2,6,0.666,0.38916666666666666,0.2203612135091675,0.012831875123083591,0.08740018308162689,1.188061237335205,1.0008031129837036,0.32628655433654785,0.0077713835053145885,box_inpainting,junco
2,7,0.777,0.34291666666666665,0.2203612135091675,0.013585136272013187,0.11585928499698639,1.1881697177886963,1.0048716068267822,0.44002461433410645,0.007804170250892639,box_inpainting,junco
2,8,0.888,0.2966666666666667,0.2203612135091675,0.014856654219329357,0.12385137379169464,1.1862643957138062,1.0049186944961548,0.47263088822364807,0.0075915222987532616,box_inpainting,junco
