stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,mse_hole,mse_obs,task,image
0,0,0.0,1.0,0.04,0.009970428422093391,0.03839455544948578,1.935312271118164,0.9947441816329956,0.130058154463768,0.007840016856789589,box_inpainting,junco
0,1,0.111,0.9722500000000001,0.04,0.010642001405358315,0.04024510830640793,1.9351637363433838,0.9973888397216797,0.13760800659656525,0.007790801580995321,box_inpainting,junco
0,2,0.222,0.9445,0.04,0.01062399335205555,0.03722158074378967,1.9351919889450073,0.9829674363136292,0.12516050040721893,0.007908610627055168,box_inpainting,junco
0,3,0.333,0.9167500000000001,0.04,0.009873627685010433,0.03856123238801956,1.9352308511734009,0.9869840145111084,0.13082072138786316,0.007808065973222256,box_inpainting,junco
0,4,0.444,0.889,0.04,0.009073696099221706,0.03390596807003021,1.935333251953125,0.9984487891197205,0.1119961217045784,0.007875912822782993,box_inpainting,junco
0,5,0.555,0.86125,0.04,0.008365506306290627,0.05502977967262268,1.9351675510406494,0.9851222038269043,0.1964823603630066,0.007878916338086128,box_inpainting,junco
0,6,0.666,0.8335,0.04,0.007804953958839178,0.05245785042643547,1.9351850748062134,1.0122591257095337,0.18631024658679962,0.007840385660529137,box_inpainting,junco
0,7,0.777,0.80575,0.04,0.0074211894534528255,0.03283378854393959,1.9354139566421509,1.0158469676971436,0.10749751329421997,0.007945878431200981,box_inpainting,junco
0,8,0.888,0.778,0.04,0.00719289667904377,0.03542856499552727,1.9352213144302368,0.9899382591247559,0.11799518018960953,0.007906356826424599,box_inpainting,junco
0,9,0.999,0.75025,0.04,0.007022725883871317,0.0342976413667202,1.935158133506775,0.9699145555496216,0.11392521858215332,0.0077551137655973434,box_inpainting,junco
1,0,0.0,0.8571428571428572,0.04,0.013227979652583599,0.04113972932100296,1.4856178760528564,1.001232385635376,0.14972037076950073,0.0049461801536381245,box_inpainting,junco
1,1,0.111,0.8175000000000001,0.04,0.012689127586781979,0.03164779394865036,1.4856635332107544,1.0051027536392212,0.11175435781478882,0.004945605527609587,box_inpainting,junco
1,2,0.222,0.7778571428571429,0.04,0.012317526154220104,0.03761924058198929,1.4860835075378418,1.0067402124404907,0.13547830283641815,0.004999547265470028,box_inpainting,junco
1,3,0.333,0.7382142857142858,0.04,0.012009454891085625,0.03872757777571678,1.4859530925750732,1.0015387535095215,0.14005185663700104,0.004952811636030674,box_inpainting,junco
1,4,0.444,0.6985714285714286,0.04,0.011795909143984318,0.03451063483953476,1.485176682472229,0.9979171752929688,0.12308931350708008,0.004984403494745493,box_inpainting,junco
1,5,0.555,0.6589285714285714,0.04,0.011530348099768162,0.03185933828353882,1.485657811164856,1.005010962486267,0.11249040812253952,0.004982313606888056,box_inpainting,junco
1,6,0.666,0.6192857142857142,0.04,0.011259624734520912,0.02992253750562668,1.4852410554885864,0.9920858144760132,0.10498309135437012,0.004902353510260582,box_inpainting,junco
1,7,0.777,0.5796428571428571,0.04,0.010943361558020115,0.034561462700366974,1.485426664352417,1.0061179399490356,0.12340398877859116,0.00494728796184063,box_inpainting,junco
1,8,0.888,0.54,0.04,0.010707459412515163,0.03316809982061386,1.485717535018921,1.0071406364440918,0.11763714998960495,0.005011745262891054,box_inpainting,junco
1,9,0.999,0.5003571428571428,0.04,0.010580291040241718,0.026201393455266953,1.4853787422180176,0.9874954223632812,0.08993595838546753,0.004956539254635572,box_inpainting,junco
2,0,0.0,0.6666666666666667,0.04,0.011577649042010307,0.03942231461405754,1.1861149072647095,0.9937723875045776,0.1376839280128479,0.006668445188552141,box_inpainting,junco
2,1,0.111,0.6204166666666668,0.04,0.011458246037364006,0.037434715777635574,1.1866040229797363,1.0020711421966553,0.1295168101787567,0.006740684155374765,box_inpainting,junco
2,2,0.222,0.5741666666666667,0.04,0.011648545041680336,0.040397267788648605,1.1859968900680542,1.0010837316513062,0.14170795679092407,0.006627039983868599,box_inpainting,junco
2,3,0.333,0.5279166666666668,0.04,0.011883500963449478,0.03867080807685852,1.1874096393585205,0.9983058571815491,0.13451945781707764,0.006721254903823137,box_inpainting,junco
2,4,0.444,0.48166666666666674,0.04,0.01197701133787632,0.03836185485124588,1.1863396167755127,0.9982717037200928,0.13342070579528809,0.006675567012280226,box_inpainting,junco
2,5,0.555,0.4354166666666667,0.04,0.012359649874269962,0.042607858777046204,1.1862577199935913,1.0028070211410522,0.1503095030784607,0.006707310676574707,box_inpainting,junco
2,6,0.666,0.38916666666666666,0.04,0.012831875123083591,0.039165668189525604,1.186765193939209,1.0008031129837036,0.1362985223531723,0.006788051687180996,box_inpainting,junco
2,7,0.777,0.34291666666666665,0.04,0.013585136272013187,0.039174146950244904,1.186873197555542,1.0048716068267822,0.13603150844573975,0.006888354197144508,box_inpainting,junco
2,8,0.888,0.2966666666666667,0.04,0.014856654219329357,0.040495842695236206,1.1848825216293335,1.0049186944961548,0.14150400459766388,0.006826452445238829,box_inpainting,junco
2,9,0.999,0.2504166666666667,0.04,0.016559859737753868,0.0396900400519371,1.185215711593628,0.9971063733100891,0.13802479207515717,0.006911792326718569,box_inpainting,junco
3,0,0.0,0.3999999999999999,0.04,0.009431982412934303,0.03774963319301605,0.9811070561408997,1.0001496076583862,0.13728542625904083,0.004571028519421816,box_inpainting,junco
3,1,0.111,0.3555999999999999,0.04,0.01087617315351963,0.036951299756765366,0.9773306846618652,1.001513957977295,0.13418738543987274,0.004539267159998417,box_inpainting,junco
3,2,0.222,0.3111999999999999,0.04,0.013747267425060272,0.2620584964752197,0.9794266223907471,1.0013316869735718,1.0346325635910034,0.004533783067017794,box_inpainting,junco
3,3,0.333,0.2668,0.04,0.01540498249232769,0.37720057368278503,0.9748475551605225,0.9984867572784424,1.4953025579452515,0.004499884322285652,box_inpainting,junco
3,4,0.444,0.22239999999999996,0.04,0.016522610560059547,0.5018298625946045,0.9752160310745239,0.9965718388557434,1.993967890739441,0.00445054704323411,box_inpainting,junco
3,5,0.555,0.17799999999999994,0.04,0.01827741414308548,0.6056184768676758,0.9679997563362122,0.9995768070220947,2.4094927310943604,0.004327026661485434,box_inpainting,junco
3,6,0.666,0.13359999999999997,0.04,0.021496202796697617,0.6833276748657227,0.9580852389335632,1.0008517503738403,2.720916748046875,0.004131310619413853,box_inpainting,junco
3,7,0.777,0.08919999999999997,0.04,0.02786899358034134,0.7532399892807007,0.9319769144058228,0.9999298453330994,3.002078056335449,0.0036271598655730486,box_inpainting,junco
3,8,0.888,0.044799999999999986,0.04,0.044657252728939056,0.8154336810112,0.9002208113670349,1.0011248588562012,3.253412961959839,0.002773868851363659,box_inpainting,junco
3,9,0.999,0.0004000000000000003,nan,0.14477470517158508,0.8154336810112,0.9002208113670349,1.0011248588562012,3.253412961959839,0.002773868851363659,box_inpainting,junco
