stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,mse_hole,mse_obs,task,image
0,0,0.0,1.0,0.01,0.009970428422093391,0.029886268079280853,1.9362413883209229,0.9947441816329956,0.09724018722772598,0.00743495998904109,box_inpainting,junco
0,1,0.111,0.9722500000000001,0.01,0.010642001405358315,0.032194431871175766,1.9361454248428345,0.9973888397216797,0.10660020262002945,0.007392505649477243,box_inpainting,junco
0,2,0.222,0.9445,0.01,0.01062399335205555,0.029557501897215843,1.93617844581604,0.9829674363136292,0.0957494005560875,0.007493540644645691,box_inpainting,junco
0,3,0.333,0.9167500000000001,0.01,0.009873627685010433,0.0302820336073637,1.9361400604248047,0.9869840145111084,0.09894349426031113,0.007394880056381226,box_inpainting,junco
0,4,0.444,0.889,0.01,0.009073696099221706,0.026131868362426758,1.9362506866455078,0.9984487891197205,0.0821329653263092,0.0074648368172347546,box_inpainting,junco
0,5,0.555,0.86125,0.01,0.008365506306290627,0.04651995003223419,1.936072826385498,0.9851222038269043,0.16367997229099274,0.007466605864465237,box_inpainting,junco
0,6,0.666,0.8335,0.01,0.007804953958839178,0.04484822601079941,1.9360496997833252,1.0122591257095337,0.15708740055561066,0.007435161154717207,box_inpainting,junco
0,7,0.777,0.80575,0.01,0.0074211894534528255,0.025258492678403854,1.9362618923187256,1.0158469676971436,0.0784352645277977,0.007532902993261814,box_inpainting,junco
0,8,0.888,0.778,0.01,0.00719289667904377,0.027050819247961044,1.9361151456832886,0.9899382591247559,0.08570355176925659,0.007499908562749624,box_inpainting,junco
0,9,0.999,0.75025,0.01,0.007022725883871317,0.02657879889011383,1.9360798597335815,0.9699145555496216,0.08424476534128189,0.007356807589530945,box_inpainting,junco
1,0,0.0,0.8571428571428572,0.01,0.013227979652583599,0.03243030980229378,1.4898494482040405,1.001232385635376,0.11699646711349487,0.004241587594151497,box_inpainting,junco
1,1,0.111,0.8175000000000001,0.01,0.012689127586781979,0.023610249161720276,1.4894115924835205,1.0051027536392212,0.08171477913856506,0.004242071881890297,box_inpainting,junco
1,2,0.222,0.7778571428571429,0.01,0.012317526154220104,0.029036473482847214,1.4897434711456299,1.0067402124404907,0.10325583070516586,0.004296686965972185,box_inpainting,junco
1,3,0.333,0.7382142857142858,0.01,0.012009454891085625,0.029697760939598083,1.489640235900879,1.0015387535095215,0.10607680678367615,0.004238079767674208,box_inpainting,junco
1,4,0.444,0.6985714285714286,0.01,0.011795909143984318,0.025801334530115128,1.4884823560714722,0.9979171752929688,0.09036412090063095,0.004280406516045332,box_inpainting,junco
1,5,0.555,0.6589285714285714,0.01,0.011530348099768162,0.023447006940841675,1.489281177520752,1.005010962486267,0.08094609528779984,0.004280641209334135,box_inpainting,junco
1,6,0.666,0.6192857142857142,0.01,0.011259624734520912,0.02152951806783676,1.4885365962982178,0.9920858144760132,0.07339910417795181,0.004239658359438181,box_inpainting,junco
1,7,0.777,0.5796428571428571,0.01,0.010943361558020115,0.027851663529872894,1.4882087707519531,1.0061179399490356,0.09853311628103256,0.00429118238389492,box_inpainting,junco
1,8,0.888,0.54,0.01,0.010707459412515163,0.02622050791978836,1.4883108139038086,1.0071406364440918,0.09175044298171997,0.004377197939902544,box_inpainting,junco
1,9,0.999,0.5003571428571428,0.01,0.010580291040241718,0.01807686872780323,1.4879785776138306,0.9874954223632812,0.0591282956302166,0.00439305929467082,box_inpainting,junco
2,0,0.0,0.6666666666666667,0.01,0.011577649042010307,0.0301254503428936,1.1982897520065308,0.9937723875045776,0.10741133242845535,0.004363487008959055,box_inpainting,junco
2,1,0.111,0.6204166666666668,0.01,0.011458246037364006,0.02838221564888954,1.1971014738082886,1.0020711421966553,0.10023567825555801,0.0044310628436505795,box_inpainting,junco
2,2,0.222,0.5741666666666667,0.01,0.011648545041680336,0.030777379870414734,1.196203589439392,1.0010837316513062,0.1099749207496643,0.004378202836960554,box_inpainting,junco
2,3,0.333,0.5279166666666668,0.01,0.011883500963449478,0.02793112024664879,1.1963393688201904,0.9983058571815491,0.0983499065041542,0.004458190407603979,box_inpainting,junco
2,4,0.444,0.48166666666666674,0.01,0.01197701133787632,0.029840078204870224,1.1946388483047485,0.9982717037200928,0.10607066005468369,0.004429883323609829,box_inpainting,junco
2,5,0.555,0.4354166666666667,0.01,0.012359649874269962,0.03362178057432175,1.1923027038574219,1.0028070211410522,0.12092585116624832,0.004520419519394636,box_inpainting,junco
2,6,0.666,0.38916666666666666,0.01,0.012831875123083591,0.03117889165878296,1.191538691520691,1.0008031129837036,0.1106431856751442,0.0046907938085496426,box_inpainting,junco
2,7,0.777,0.34291666666666665,0.01,0.013585136272013187,0.032641708850860596,1.1899789571762085,1.0048716068267822,0.11592449992895126,0.004880779888480902,box_inpainting,junco
2,8,0.888,0.2966666666666667,0.01,0.014856654219329357,0.032679177820682526,1.1867718696594238,1.0049186944961548,0.11548612266778946,0.0050768605433404446,box_inpainting,junco
2,9,0.999,0.2504166666666667,0.01,0.016559859737753868,0.030592136085033417,1.1860523223876953,0.9971063733100891,0.10644638538360596,0.005307384766638279,box_inpainting,junco
3,0,0.0,0.3999999999999999,0.01,0.009431982412934303,0.03190039098262787,0.9676967263221741,1.0001496076583862,0.11619353294372559,0.0038026778493076563,box_inpainting,junco
3,1,0.111,0.3555999999999999,0.01,0.01087617315351963,0.03145160526037216,0.9611634016036987,1.001513957977295,0.11453325301408768,0.003757716156542301,box_inpainting,junco
3,2,0.222,0.3111999999999999,0.01,0.013747267425060272,0.033319875597953796,0.962233304977417,1.0013316869735718,0.12201336771249771,0.003755377372726798,box_inpainting,junco
3,3,0.333,0.2668,0.01,0.01540498249232769,0.06219933554530144,0.9554161429405212,0.9984867572784424,0.23764275014400482,0.003718196414411068,box_inpainting,junco
3,4,0.444,0.22239999999999996,0.01,0.016522610560059547,0.11607535928487778,0.9546493887901306,0.9965718388557434,0.45322319865226746,0.003692751517519355,box_inpainting,junco
3,5,0.555,0.17799999999999994,0.01,0.01827741414308548,0.17588376998901367,0.9461005330085754,0.9995768070220947,0.692751407623291,0.0035945656709372997,box_inpainting,junco
3,6,0.666,0.13359999999999997,0.01,0.021496202796697617,0.23424085974693298,0.9392442107200623,1.0008517503738403,0.926535427570343,0.0034760087728500366,box_inpainting,junco
3,7,0.777,0.08919999999999997,0.01,0.02786899358034134,0.28762680292129517,0.9217095971107483,0.9999298453330994,1.1410683393478394,0.003146245377138257,box_inpainting,junco
3,8,0.888,0.044799999999999986,0.01,0.044657252728939056,0.33811935782432556,0.9038199782371521,1.0011248588562012,1.344651699066162,0.002608572132885456,box_inpainting,junco
3,9,0.999,0.0004000000000000003,nan,0.14477470517158508,0.33811935782432556,0.9038199782371521,1.0011248588562012,1.344651699066162,0.002608572132885456,box_inpainting,junco
