stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,x0_steps,gamma2_scale,trw,mse_hole,mse_obs
0,0,0.0,1.0,8.361856460571289,trw=0,0.1,0.0,1,1.0,0.0,33.42384719848633,0.0078597292304039
0,1,0.111,0.9722500000000001,8.353656768798828,trw=0,0.1,0.0,1,1.0,0.0,33.391178131103516,0.007815176621079445
0,2,0.222,0.9445,8.30920124053955,trw=0,0.1,0.0,1,1.0,0.0,33.21323776245117,0.007855224423110485
0,3,0.333,0.9167500000000001,8.12619400024414,trw=0,0.1,0.0,1,1.0,0.0,32.48141098022461,0.007787504233419895
0,4,0.444,0.889,7.7871623039245605,trw=0,0.1,0.0,1,1.0,0.0,31.125288009643555,0.007786705158650875
0,5,0.555,0.86125,7.024797439575195,trw=0,0.1,0.0,1,1.0,0.0,28.07598304748535,0.007735413033515215
0,6,0.666,0.8335,5.652379512786865,trw=0,0.1,0.0,1,1.0,0.0,22.586252212524414,0.007754867896437645
0,7,0.777,0.80575,4.241286277770996,trw=0,0.1,0.0,1,1.0,0.0,16.941856384277344,0.007762534078210592
0,8,0.888,0.778,3.053257942199707,trw=0,0.1,0.0,1,1.0,0.0,12.189356803894043,0.00789207685738802
0,9,0.999,0.75025,2.2910561561584473,trw=0,0.1,0.0,1,1.0,0.0,9.140849113464355,0.007792011834681034
1,0,0.0,0.8571428571428572,7.969935417175293,trw=0,0.1,0.0,1,1.0,0.0,31.863815307617188,0.005307946819812059
1,1,0.111,0.8175000000000001,7.415765762329102,trw=0,0.1,0.0,1,1.0,0.0,29.647308349609375,0.0052511864341795444
1,2,0.222,0.7778571428571429,6.420555114746094,trw=0,0.1,0.0,1,1.0,0.0,25.666595458984375,0.005207909271121025
1,3,0.333,0.7382142857142858,5.110836982727051,trw=0,0.1,0.0,1,1.0,0.0,20.42781639099121,0.0051770638674497604
1,4,0.444,0.6985714285714286,3.675300121307373,trw=0,0.1,0.0,1,1.0,0.0,14.685683250427246,0.00517245614901185
1,5,0.555,0.6589285714285714,2.4089584350585938,trw=0,0.1,0.0,1,1.0,0.0,9.620375633239746,0.005152647849172354
1,6,0.666,0.6192857142857142,1.5901408195495605,trw=0,0.1,0.0,1,1.0,0.0,6.344926357269287,0.005212127231061459
1,7,0.777,0.5796428571428571,1.1285147666931152,trw=0,0.1,0.0,1,1.0,0.0,4.498440742492676,0.005206195637583733
1,8,0.888,0.54,0.876926600933075,trw=0,0.1,0.0,1,1.0,0.0,3.4920310974121094,0.005225204862654209
1,9,0.999,0.5003571428571428,0.6986362934112549,trw=0,0.1,0.0,1,1.0,0.0,2.778879165649414,0.005221996922045946
2,0,0.0,0.6666666666666667,103.9045639038086,trw=0,0.1,0.0,1,1.0,0.0,415.5993957519531,0.006293720565736294
2,1,0.111,0.6204166666666668,86.71234130859375,trw=0,0.1,0.0,1,1.0,0.0,346.8304138183594,0.006319517269730568
2,2,0.222,0.5741666666666667,43.597389221191406,trw=0,0.1,0.0,1,1.0,0.0,174.3706512451172,0.006299220956861973
2,3,0.333,0.5279166666666668,19.262042999267578,trw=0,0.1,0.0,1,1.0,0.0,77.02947998046875,0.006228470243513584
2,4,0.444,0.48166666666666674,8.894678115844727,trw=0,0.1,0.0,1,1.0,0.0,35.559879302978516,0.006275821942836046
2,5,0.555,0.4354166666666667,4.433406829833984,trw=0,0.1,0.0,1,1.0,0.0,17.715208053588867,0.006139835342764854
2,6,0.666,0.38916666666666666,2.303011894226074,trw=0,0.1,0.0,1,1.0,0.0,9.193575859069824,0.006157108582556248
2,7,0.777,0.34291666666666665,1.2648859024047852,trw=0,0.1,0.0,1,1.0,0.0,5.0412211418151855,0.006107524037361145
2,8,0.888,0.2966666666666667,0.7495763301849365,trw=0,0.1,0.0,1,1.0,0.0,2.980001449584961,0.006101243197917938
2,9,0.999,0.2504166666666667,0.48746976256370544,trw=0,0.1,0.0,1,1.0,0.0,1.9316798448562622,0.006066385190933943
3,0,0.0,0.3999999999999999,0.5819766521453857,trw=0,0.1,0.0,1,1.0,0.0,2.320401191711426,0.0025017638690769672
3,1,0.111,0.3555999999999999,0.45200103521347046,trw=0,0.1,0.0,1,1.0,0.0,1.8005341291427612,0.002490042708814144
3,2,0.222,0.3111999999999999,0.3756727874279022,trw=0,0.1,0.0,1,1.0,0.0,1.4952517747879028,0.002479773946106434
3,3,0.333,0.2668,0.32414597272872925,trw=0,0.1,0.0,1,1.0,0.0,1.2891408205032349,0.0024810228496789932
3,4,0.444,0.22239999999999996,0.2911112308502197,trw=0,0.1,0.0,1,1.0,0.0,1.157081961631775,0.0024543392937630415
3,5,0.555,0.17799999999999994,0.2717534899711609,trw=0,0.1,0.0,1,1.0,0.0,1.0797332525253296,0.0024269011337310076
3,6,0.666,0.13359999999999997,0.26078125834465027,trw=0,0.1,0.0,1,1.0,0.0,1.0359816551208496,0.0023811347782611847
3,7,0.777,0.08919999999999997,0.25620120763778687,trw=0,0.1,0.0,1,1.0,0.0,1.0180801153182983,0.0022415658459067345
3,8,0.888,0.044799999999999986,0.2545216977596283,trw=0,0.1,0.0,1,1.0,0.0,1.0126063823699951,0.0018267867853865027
3,9,0.999,0.0004000000000000003,0.2545216977596283,trw=0,0.1,0.0,1,1.0,0.0,1.0126063823699951,0.0018267867853865027
