frame,stage,step,tau,sigma_tau,gamma2,s2,h_range,h_ker,h_over_sigma,h2_over_sigma2,inv_s2_prior,prec_prior_range,prec_prior_ker,prec_data_max,data_over_prior
29,2,9,0.999,0.2504166666666667,0.016559859737753868,0.05210772396874556,0.7495833333333333,0.74925,2.9933444259567383,8.960110852406276,19.191012844848192,28.15112369725447,28.143156498935525,1560.6915473937986,55.439760209146115
30,3,0,0.0,0.3999999999999999,0.009436266363731452,0.05543326541794339,0.6000000000000001,0.0,1.5000000000000007,2.2500000000000018,18.039709413840637,20.28970941384064,18.039709413840637,399.99999999999994,19.714427241976153
31,3,1,0.111,0.3555999999999999,0.01041741163602897,0.05543326541794339,0.6444000000000001,0.111,1.8121484814398208,3.2838821187846485,18.039709413840637,21.323591532625287,18.137146088305823,399.99999999999994,18.75856604118478
32,3,2,0.222,0.3111999999999999,0.011588477263493198,0.05543326541794339,0.6888000000000001,0.222,2.2133676092544996,4.89899617369698,18.039709413840637,22.938705587537616,18.548602759774116,399.99999999999994,17.437775574281584
33,3,3,0.333,0.2668,0.012996630277484655,0.05543326541794339,0.7332000000000001,0.333,2.7481259370314848,7.552196165785175,18.039709413840637,25.591905579625813,19.597527768531357,399.99999999999994,15.629942004726967
34,3,4,0.444,0.22239999999999996,0.014714584685862064,0.05543326541794339,0.7776000000000001,0.444,3.4964028776978426,12.224833083173756,18.039709413840637,30.264542497014393,22.025333863920864,399.99999999999994,13.216786608932221
35,3,5,0.555,0.17799999999999994,0.01717439160815307,0.05543326541794339,0.8220000000000001,0.555,4.61797752808989,21.325716449943208,18.039709413840637,39.36542586378384,27.76149327951417,399.99999999999994,10.161200881812373
36,3,6,0.666,0.13359999999999997,0.020981202567262307,0.05543326541794339,0.8664000000000001,0.666,6.485029940119762,42.055613324249734,18.039709413840637,60.095322738090374,42.890232917731076,399.99999999999994,6.656092051344737
37,3,7,0.777,0.08919999999999997,0.027574546369058744,0.05543326541794339,0.9108,0.777,10.210762331838568,104.2596673972934,18.039709413840637,122.29937681113404,93.91708981561833,399.99999999999994,3.2706626184834677
38,3,8,0.888,0.044799999999999986,0.044128120211618285,0.05543326541794339,0.9552,0.888,21.32142857142858,454.60331632653094,18.039709413840637,472.64302574037157,410.9287400260858,399.99999999999994,0.8463046701544363
39,3,9,0.999,0.0004000000000000003,0.1419714934059552,0.05543326541794339,0.9996,0.999,2498.999999999998,6245000.999999992,18.039709413840637,6245019.039709405,6237524.289709404,399.99999999999994,6.405104571444395e-05
