stage,step,tau,sigma_tau,mse_x1,task,image,method
0,6,0.666,0.8335,0.07899217307567596,box_inpainting,breastplate_armor,alg2
0,7,0.777,0.80575,0.08093570917844772,box_inpainting,breastplate_armor,alg2
0,8,0.888,0.778,0.08408018201589584,box_inpainting,breastplate_armor,alg2
0,9,0.999,0.75025,0.08831491321325302,box_inpainting,breastplate_armor,alg2
1,0,0.0,0.8571428571428572,3.052713394165039,box_inpainting,breastplate_armor,alg2
1,1,0.111,0.8175000000000001,2.4394118785858154,box_inpainting,breastplate_armor,alg2
1,2,0.222,0.7778571428571429,1.9427471160888672,box_inpainting,breastplate_armor,alg2
1,3,0.333,0.7382142857142858,2.1012063026428223,box_inpainting,breastplate_armor,alg2
1,4,0.444,0.6985714285714286,2.0911684036254883,box_inpainting,breastplate_armor,alg2
1,5,0.555,0.6589285714285714,1.8644136190414429,box_inpainting,breastplate_armor,alg2
1,6,0.666,0.6192857142857142,1.5228087902069092,box_inpainting,breastplate_armor,alg2
1,7,0.777,0.5796428571428571,1.250035285949707,box_inpainting,breastplate_armor,alg2
1,8,0.888,0.54,1.0568643808364868,box_inpainting,breastplate_armor,alg2
1,9,0.999,0.5003571428571428,0.8546541929244995,box_inpainting,breastplate_armor,alg2
2,0,0.0,0.6666666666666667,1.0215144157409668,box_inpainting,breastplate_armor,alg2
2,1,0.111,0.6204166666666668,1.9611176252365112,box_inpainting,breastplate_armor,alg2
2,2,0.222,0.5741666666666667,2.8080384731292725,box_inpainting,breastplate_armor,alg2
2,3,0.333,0.5279166666666668,2.165330410003662,box_inpainting,breastplate_armor,alg2
2,4,0.444,0.48166666666666674,1.5034946203231812,box_inpainting,breastplate_armor,alg2
2,5,0.555,0.4354166666666667,0.9880690574645996,box_inpainting,breastplate_armor,alg2
2,6,0.666,0.38916666666666666,0.6906490325927734,box_inpainting,breastplate_armor,alg2
2,7,0.777,0.34291666666666665,0.5071587562561035,box_inpainting,breastplate_armor,alg2
2,8,0.888,0.2966666666666667,0.4004628360271454,box_inpainting,breastplate_armor,alg2
2,9,0.999,0.2504166666666667,0.33272218704223633,box_inpainting,breastplate_armor,alg2
3,0,0.0,0.3999999999999999,0.5094029903411865,box_inpainting,breastplate_armor,alg2
3,1,0.111,0.3555999999999999,0.44520410895347595,box_inpainting,breastplate_armor,alg2
3,2,0.222,0.3111999999999999,0.3932771682739258,box_inpainting,breastplate_armor,alg2
3,3,0.333,0.2668,0.35488423705101013,box_inpainting,breastplate_armor,alg2
3,4,0.444,0.22239999999999996,0.33096790313720703,box_inpainting,breastplate_armor,alg2
3,5,0.555,0.17799999999999994,0.31606364250183105,box_inpainting,breastplate_armor,alg2
3,6,0.666,0.13359999999999997,0.3078805208206177,box_inpainting,breastplate_armor,alg2
3,7,0.777,0.08919999999999997,0.30445510149002075,box_inpainting,breastplate_armor,alg2
3,8,0.888,0.044799999999999986,0.3033546805381775,box_inpainting,breastplate_armor,alg2
3,9,0.999,0.0004000000000000003,0.3033546805381775,box_inpainting,breastplate_armor,alg2
0,0,0.0,nan,1.6409358978271484,box_inpainting,crane_structure,wls
0,1,0.111,nan,2.2024788856506348,box_inpainting,crane_structure,wls
0,2,0.222,nan,3.592000722885132,box_inpainting,crane_structure,wls
0,3,0.333,nan,6.976529598236084,box_inpainting,crane_structure,wls
0,4,0.444,nan,19.47982406616211,box_inpainting,crane_structure,wls
0,5,0.555,nan,91.98045349121094,box_inpainting,crane_structure,wls
0,6,0.666,nan,504.5367431640625,box_inpainting,crane_structure,wls
0,7,0.777,nan,3709.79296875,box_inpainting,crane_structure,wls
0,8,0.888,nan,38615.6953125,box_inpainting,crane_structure,wls
0,9,0.999,nan,582599.75,box_inpainting,crane_structure,wls
1,0,0.0,nan,120823.4375,box_inpainting,crane_structure,wls
1,1,0.111,nan,224640.171875,box_inpainting,crane_structure,wls
1,2,0.222,nan,487367.75,box_inpainting,crane_structure,wls
1,3,0.333,nan,1243019.875,box_inpainting,crane_structure,wls
1,4,0.444,nan,3739725.0,box_inpainting,crane_structure,wls
1,5,0.555,nan,13256184.0,box_inpainting,crane_structure,wls
1,6,0.666,nan,55031944.0,box_inpainting,crane_structure,wls
1,7,0.777,nan,264800352.0,box_inpainting,crane_structure,wls
1,8,0.888,nan,1456206592.0,box_inpainting,crane_structure,wls
1,9,0.999,nan,8999823360.0,box_inpainting,crane_structure,wls
2,0,0.0,nan,3629406208.0,box_inpainting,crane_structure,wls
2,1,0.111,nan,5207596032.0,box_inpainting,crane_structure,wls
2,2,0.222,nan,7752015360.0,box_inpainting,crane_structure,wls
2,3,0.333,nan,11907244032.0,box_inpainting,crane_structure,wls
2,4,0.444,nan,18751172608.0,box_inpainting,crane_structure,wls
2,5,0.555,nan,30056599552.0,box_inpainting,crane_structure,wls
2,6,0.666,nan,48666193920.0,box_inpainting,crane_structure,wls
2,7,0.777,nan,78983725056.0,box_inpainting,crane_structure,wls
2,8,0.888,nan,127550095360.0,box_inpainting,crane_structure,wls
2,9,0.999,nan,203675058176.0,box_inpainting,crane_structure,wls
3,0,0.0,nan,114352160768.0,box_inpainting,crane_structure,wls
3,1,0.111,nan,113880424448.0,box_inpainting,crane_structure,wls
3,2,0.222,nan,113330708480.0,box_inpainting,crane_structure,wls
3,3,0.333,nan,112669057024.0,box_inpainting,crane_structure,wls
3,4,0.444,nan,111864512512.0,box_inpainting,crane_structure,wls
3,5,0.555,nan,110890967040.0,box_inpainting,crane_structure,wls
3,6,0.666,nan,109731201024.0,box_inpainting,crane_structure,wls
3,7,0.777,nan,108391849984.0,box_inpainting,crane_structure,wls
3,8,0.888,nan,107028774912.0,box_inpainting,crane_structure,wls
3,9,0.999,nan,107028594688.0,box_inpainting,crane_structure,wls
0,0,0.0,nan,0.06515496224164963,box_inpainting,crane_structure,model
0,1,0.111,nan,0.06778088957071304,box_inpainting,crane_structure,model
0,2,0.222,nan,0.060481928288936615,box_inpainting,crane_structure,model
0,3,0.333,nan,0.0399758517742157,box_inpainting,crane_structure,model
0,4,0.444,nan,0.025198763236403465,box_inpainting,crane_structure,model
0,5,0.555,nan,0.02382645383477211,box_inpainting,crane_structure,model
0,6,0.666,nan,0.01896354928612709,box_inpainting,crane_structure,model
0,7,0.777,nan,0.018710723146796227,box_inpainting,crane_structure,model
0,8,0.888,nan,0.0166386179625988,box_inpainting,crane_structure,model
0,9,0.999,nan,0.019637733697891235,box_inpainting,crane_structure,model
1,0,0.0,nan,0.032597023993730545,box_inpainting,crane_structure,model
1,1,0.111,nan,0.028204023838043213,box_inpainting,crane_structure,model
1,2,0.222,nan,0.028605109080672264,box_inpainting,crane_structure,model
1,3,0.333,nan,0.034512341022491455,box_inpainting,crane_structure,model
1,4,0.444,nan,0.04750983044505119,box_inpainting,crane_structure,model
1,5,0.555,nan,0.04499319940805435,box_inpainting,crane_structure,model
1,6,0.666,nan,0.05437710881233215,box_inpainting,crane_structure,model
1,7,0.777,nan,0.05652763694524765,box_inpainting,crane_structure,model
1,8,0.888,nan,0.05975205451250076,box_inpainting,crane_structure,model
1,9,0.999,nan,0.06376221776008606,box_inpainting,crane_structure,model
2,0,0.0,nan,0.06195735186338425,box_inpainting,crane_structure,model
2,1,0.111,nan,0.06322865933179855,box_inpainting,crane_structure,model
2,2,0.222,nan,0.06445212662220001,box_inpainting,crane_structure,model
2,3,0.333,nan,0.06701590120792389,box_inpainting,crane_structure,model
2,4,0.444,nan,0.07075431942939758,box_inpainting,crane_structure,model
2,5,0.555,nan,0.0743875578045845,box_inpainting,crane_structure,model
2,6,0.666,nan,0.07792272418737411,box_inpainting,crane_structure,model
2,7,0.777,nan,0.08079376071691513,box_inpainting,crane_structure,model
2,8,0.888,nan,0.08362273871898651,box_inpainting,crane_structure,model
2,9,0.999,nan,0.08715983480215073,box_inpainting,crane_structure,model
3,0,0.0,nan,0.08709164708852768,box_inpainting,crane_structure,model
3,1,0.111,nan,0.08427801728248596,box_inpainting,crane_structure,model
3,2,0.222,nan,0.08364608138799667,box_inpainting,crane_structure,model
3,3,0.333,nan,0.08354407548904419,box_inpainting,crane_structure,model
3,4,0.444,nan,0.08342113345861435,box_inpainting,crane_structure,model
3,5,0.555,nan,0.08349015563726425,box_inpainting,crane_structure,model
3,6,0.666,nan,0.08359578251838684,box_inpainting,crane_structure,model
3,7,0.777,nan,0.08378078788518906,box_inpainting,crane_structure,model
3,8,0.888,nan,0.08388577401638031,box_inpainting,crane_structure,model
3,9,0.999,nan,0.08388795703649521,box_inpainting,crane_structure,model
0,0,0.0,1.0,0.11227825284004211,box_inpainting,crane_structure,alg2
0,1,0.111,0.9722500000000001,0.1136813685297966,box_inpainting,crane_structure,alg2
0,2,0.222,0.9445,0.1168045625090599,box_inpainting,crane_structure,alg2
0,3,0.333,0.9167500000000001,0.1141328364610672,box_inpainting,crane_structure,alg2
0,4,0.444,0.889,0.1156979650259018,box_inpainting,crane_structure,alg2
0,5,0.555,0.86125,0.11554425209760666,box_inpainting,crane_structure,alg2
0,6,0.666,0.8335,0.11901728808879852,box_inpainting,crane_structure,alg2
0,7,0.777,0.80575,0.11786231398582458,box_inpainting,crane_structure,alg2
0,8,0.888,0.778,0.12121963500976562,box_inpainting,crane_structure,alg2
0,9,0.999,0.75025,0.12518201768398285,box_inpainting,crane_structure,alg2
1,0,0.0,0.8571428571428572,3.0371880531311035,box_inpainting,crane_structure,alg2
1,1,0.111,0.8175000000000001,2.4131550788879395,box_inpainting,crane_structure,alg2
1,2,0.222,0.7778571428571429,1.939352035522461,box_inpainting,crane_structure,alg2
1,3,0.333,0.7382142857142858,2.079134702682495,box_inpainting,crane_structure,alg2
1,4,0.444,0.6985714285714286,2.035020351409912,box_inpainting,crane_structure,alg2
1,5,0.555,0.6589285714285714,1.8025553226470947,box_inpainting,crane_structure,alg2
1,6,0.666,0.6192857142857142,1.4543861150741577,box_inpainting,crane_structure,alg2
1,7,0.777,0.5796428571428571,1.19377601146698,box_inpainting,crane_structure,alg2
1,8,0.888,0.54,1.0137100219726562,box_inpainting,crane_structure,alg2
1,9,0.999,0.5003571428571428,0.8194920420646667,box_inpainting,crane_structure,alg2
2,0,0.0,0.6666666666666667,1.0043230056762695,box_inpainting,crane_structure,alg2
2,1,0.111,0.6204166666666668,2.0092015266418457,box_inpainting,crane_structure,alg2
2,2,0.222,0.5741666666666667,2.816049337387085,box_inpainting,crane_structure,alg2
2,3,0.333,0.5279166666666668,2.164924144744873,box_inpainting,crane_structure,alg2
2,4,0.444,0.48166666666666674,1.4974297285079956,box_inpainting,crane_structure,alg2
2,5,0.555,0.4354166666666667,1.004228949546814,box_inpainting,crane_structure,alg2
2,6,0.666,0.38916666666666666,0.7052097320556641,box_inpainting,crane_structure,alg2
2,7,0.777,0.34291666666666665,0.520582914352417,box_inpainting,crane_structure,alg2
2,8,0.888,0.2966666666666667,0.4126974046230316,box_inpainting,crane_structure,alg2
2,9,0.999,0.2504166666666667,0.34574902057647705,box_inpainting,crane_structure,alg2
3,0,0.0,0.3999999999999999,0.5159587860107422,box_inpainting,crane_structure,alg2
3,1,0.111,0.3555999999999999,0.45266780257225037,box_inpainting,crane_structure,alg2
3,2,0.222,0.3111999999999999,0.39963147044181824,box_inpainting,crane_structure,alg2
3,3,0.333,0.2668,0.3597710132598877,box_inpainting,crane_structure,alg2
3,4,0.444,0.22239999999999996,0.3344566226005554,box_inpainting,crane_structure,alg2
3,5,0.555,0.17799999999999994,0.3180544972419739,box_inpainting,crane_structure,alg2
3,6,0.666,0.13359999999999997,0.3107112944126129,box_inpainting,crane_structure,alg2
3,7,0.777,0.08919999999999997,0.3062605857849121,box_inpainting,crane_structure,alg2
3,8,0.888,0.044799999999999986,0.3049740493297577,box_inpainting,crane_structure,alg2
3,9,0.999,0.0004000000000000003,0.3049740493297577,box_inpainting,crane_structure,alg2
0,0,0.0,nan,1.7279441356658936,box_inpainting,ibex_horns,wls
0,1,0.111,nan,2.3260445594787598,box_inpainting,ibex_horns,wls
0,2,0.222,nan,3.789590835571289,box_inpainting,ibex_horns,wls
0,3,0.333,nan,7.3273162841796875,box_inpainting,ibex_horns,wls
0,4,0.444,nan,20.636245727539062,box_inpainting,ibex_horns,wls
0,5,0.555,nan,95.56625366210938,box_inpainting,ibex_horns,wls
0,6,0.666,nan,530.251220703125,box_inpainting,ibex_horns,wls
0,7,0.777,nan,3899.68017578125,box_inpainting,ibex_horns,wls
0,8,0.888,nan,40521.90234375,box_inpainting,ibex_horns,wls
0,9,0.999,nan,609853.5,box_inpainting,ibex_horns,wls
1,0,0.0,nan,126626.671875,box_inpainting,ibex_horns,wls
1,1,0.111,nan,235430.34375,box_inpainting,ibex_horns,wls
1,2,0.222,nan,510807.5,box_inpainting,ibex_horns,wls
1,3,0.333,nan,1302870.0,box_inpainting,ibex_horns,wls
1,4,0.444,nan,3920055.0,box_inpainting,ibex_horns,wls
1,5,0.555,nan,13895895.0,box_inpainting,ibex_horns,wls
1,6,0.666,nan,57688556.0,box_inpainting,ibex_horns,wls
1,7,0.777,nan,277584192.0,box_inpainting,ibex_horns,wls
