blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,74,9.110462997341529e-06,0,0.009970428422093391,1.9357064962387085,0.18594326078891754,0.007415432017296553,0.05204739421606064,0.19075952470302582,1.0,0,0,0.0,0.9177226424217224
1,66,9.893316018860787e-06,1,0.010642001405358315,1.9356518983840942,0.1848260760307312,0.007452467922121286,0.05179587006568909,0.19075952470302582,0.9722500000000001,0,1,0.111,0.8427719473838806
1,66,9.153839528153185e-06,2,0.01062399335205555,1.9358781576156616,0.21441972255706787,0.007423385977745056,0.05917247384786606,0.19075952470302582,0.9445,0,2,0.222,0.8091687560081482
1,64,9.457047781324945e-06,3,0.009873627685010433,1.9358441829681396,0.21455566585063934,0.007317539770156145,0.059127070009708405,0.19075952470302582,0.9167500000000001,0,3,0.333,0.7707086205482483
1,65,9.698035682959016e-06,4,0.009073696099221706,1.9358566999435425,0.2326953411102295,0.00735209695994854,0.06368790566921234,0.19075952470302582,0.889,0,4,0.444,0.7513411045074463
1,65,9.758166015672032e-06,5,0.008365506306290627,1.9357613325119019,0.23537898063659668,0.007415610831230879,0.06440645456314087,0.19075952470302582,0.86125,0,5,0.555,0.7490768432617188
1,66,9.322952791990247e-06,6,0.007804953958839178,1.9357863664627075,0.23572760820388794,0.007391219958662987,0.06447531282901764,0.19075952470302582,0.8335,0,6,0.666,0.7445961833000183
1,66,9.129799764195923e-06,7,0.0074211894534528255,1.935701847076416,0.18884563446044922,0.007395681459456682,0.052758172154426575,0.19075952470302582,0.80575,0,7,0.777,0.7500458359718323
1,61,9.576920092513319e-06,8,0.00719289667904377,1.9358330965042114,0.20062611997127533,0.007295545656234026,0.05562818795442581,0.19075952470302582,0.778,0,8,0.888,0.7332826256752014
1,63,9.495983249507844e-06,9,0.007022725883871317,1.9357324838638306,0.194801926612854,0.007319322787225246,0.054189980030059814,0.19075952470302582,0.75025,0,9,0.999,0.7342922687530518
1,144,9.982027222577017e-06,10,0.013227979652583599,1.4890638589859009,0.13000370562076569,0.003855571150779724,0.035392604768276215,0.20476265251636505,0.8571428571428572,1,0,0.0,0.9162737727165222
1,139,9.911830602504779e-06,11,0.012689127586781979,1.4887135028839111,0.14862477779388428,0.0038884696550667286,0.040072545409202576,0.20476265251636505,0.8175000000000001,1,1,0.111,0.8591791987419128
1,129,9.868337656371295e-06,12,0.012317526154220104,1.4892292022705078,0.1371157169342041,0.0038785040378570557,0.037187810987234116,0.20476265251636505,0.7778571428571429,1,2,0.222,0.8083727359771729
1,115,9.770513315743301e-06,13,0.012009454891085625,1.4892258644104004,0.11058474332094193,0.0038750763051211834,0.030552491545677185,0.20476265251636505,0.7382142857142858,1,3,0.333,0.7881291508674622
1,97,9.831552233663388e-06,14,0.011795909143984318,1.4888628721237183,0.10378720611333847,0.003864837111905217,0.02884542942047119,0.20476265251636505,0.6985714285714286,1,4,0.444,0.7655190229415894
1,91,9.785515430849046e-06,15,0.011530348099768162,1.4893584251403809,0.11162441968917847,0.0038861457724124193,0.030820712447166443,0.20476265251636505,0.6589285714285714,1,5,0.555,0.7511058449745178
1,88,9.71569443208864e-06,16,0.011259624734520912,1.489240050315857,0.09359482675790787,0.00387608096934855,0.02630576491355896,0.20476265251636505,0.6192857142857142,1,6,0.666,0.7414231300354004
1,77,9.359810974274296e-06,17,0.010943361558020115,1.4891955852508545,0.09938011318445206,0.003886655904352665,0.027760019525885582,0.20476265251636505,0.5796428571428571,1,7,0.777,0.7386139035224915
1,66,9.848741683526896e-06,18,0.010707459412515163,1.4888877868652344,0.09805953502655029,0.0038764833007007837,0.02742224559187889,0.20476265251636505,0.54,1,8,0.888,0.7363614439964294
1,61,9.888760359899607e-06,19,0.010580291040241718,1.4887596368789673,0.09002271294593811,0.003953761421144009,0.025470998138189316,0.20476265251636505,0.5003571428571428,1,9,0.999,0.7349470853805542
1,144,9.977907211577985e-06,20,0.011577649042010307,1.2085025310516357,0.11756185442209244,0.0031877742148935795,0.03178129717707634,0.21508482098579407,0.6666666666666667,2,0,0.0,0.9585222601890564
1,125,9.629814485379029e-06,21,0.011458246037364006,1.208709478378296,0.11112300306558609,0.0032036311458796263,0.030183475464582443,0.21508482098579407,0.6204166666666668,2,1,0.111,0.9189780950546265
1,106,9.87024850473972e-06,22,0.011648545041680336,1.2059848308563232,0.12160351872444153,0.0031825946643948555,0.03278782591223717,0.21508482098579407,0.5741666666666667,2,2,0.222,0.8844913244247437
1,93,9.635999049351085e-06,23,0.011883500963449478,1.207599401473999,0.10229303687810898,0.003219163278117776,0.027987634763121605,0.21508482098579407,0.5279166666666668,2,3,0.333,0.8569008111953735
1,78,9.94556012301473e-06,24,0.01197701133787632,1.2068603038787842,0.09347021579742432,0.0031921742483973503,0.025761686265468597,0.21508482098579407,0.48166666666666674,2,4,0.444,0.8365722298622131
1,69,8.937759957916569e-06,25,0.012359649874269962,1.206932544708252,0.09933251887559891,0.003261830424889922,0.027279501780867577,0.21508482098579407,0.4354166666666667,2,5,0.555,0.821221113204956
1,59,9.893870810628869e-06,26,0.012831875123083591,1.2049720287322998,0.08898595720529556,0.003297852585092187,0.024719879031181335,0.21508482098579407,0.38916666666666666,2,6,0.666,0.8076876401901245
