image,stage,step,task,tau,T,e_k,gamma2_meas,mse_alg2,mse_alg2_miss,mse_alg2_obs,mse_model,mse_model_miss,mse_model_obs,mse_wls,mse_wls_miss,mse_wls_obs,resolution,s_k,score_err,score_err_g2,sigma_tau
shetland_sheepdog,0,0,motion_blur,0.0,0.0,0.25,0.009970428422093391,0.03260771930217743,,,0.12838894128799438,,,8.01799201965332,,,32,0.0,0.0,0.0,1.0
breastplate_armor,0,0,superresolution,0.0,0.0,0.25,0.009970428422093391,0.005805975757539272,,,0.2367366999387741,,,7.752292633056641,,,32,0.0,0.0,0.0,1.0
crane_structure,0,0,superresolution,0.0,0.0,0.25,0.009970428422093391,0.01734732650220394,,,0.274311363697052,,,8.164359092712402,,,32,0.0,0.0,0.0,1.0
ibex_horns,0,0,superresolution,0.0,0.0,0.25,0.009970428422093391,0.025311913341283798,,,0.13460764288902283,,,7.465041637420654,,,32,0.0,0.0,0.0,1.0
junco,0,0,superresolution,0.0,0.0,0.25,0.009970428422093391,0.011200099252164364,,,0.045455798506736755,,,7.350055694580078,,,32,0.0,0.0,0.0,1.0
lakeside_beach,0,0,superresolution,0.0,0.0,0.25,0.009970428422093391,0.0035842875950038433,,,0.050089187920093536,,,7.850903511047363,,,32,0.0,0.0,0.0,1.0
sea_anemone,0,0,superresolution,0.0,0.0,0.25,0.009970428422093391,0.00692997220903635,,,0.24709820747375488,,,7.964532375335693,,,32,0.0,0.0,0.0,1.0
shetland_sheepdog,0,0,superresolution,0.0,0.0,0.25,0.009970428422093391,0.008758582174777985,,,0.12838894128799438,,,8.01799201965332,,,32,0.0,0.0,0.0,1.0
breastplate_armor,0,1,box_inpainting,0.111,19.425,0.25,0.010642001405358315,0.0319131538271904,0.11544560641050339,0.004069000948220491,0.1632615625858307,0.13497893512248993,0.17268909513950348,7.703585624694824,7.566901683807373,7.749146461486816,32,0.0,0.0001330006925854832,0.0001328944490524009,0.9722500000000001
crane_structure,0,1,box_inpainting,0.111,19.425,0.25,0.010642001405358315,0.11710655689239502,0.4243720471858978,0.014684736728668213,0.33698534965515137,0.273213654756546,0.35824263095855713,8.215892791748047,7.756593227386475,8.368992805480957,32,0.0,0.0002745245292317122,0.00027460124692879617,0.9722500000000001
ibex_horns,0,1,box_inpainting,0.111,19.425,0.25,0.010642001405358315,0.31493186950683594,1.2043052911758423,0.01847405917942524,0.14209195971488953,0.15676309168338776,0.13720156252384186,7.482133865356445,8.058527946472168,7.29000186920166,32,0.0,0.00011575495591387153,0.00011578717385418713,0.9722500000000001
junco,0,1,box_inpainting,0.111,19.425,0.25,0.010642001405358315,0.041175246238708496,0.14165568351745605,0.007681762333959341,0.04242005944252014,0.05516476556658745,0.03817182034254074,7.369765281677246,7.119828701019287,7.4530768394470215,32,0.0,3.455743717495352e-05,3.4620090445969254e-05,0.9722500000000001
lakeside_beach,0,1,box_inpainting,0.111,19.425,0.25,0.010642001405358315,0.0277358740568161,0.10723171383142471,0.0012372577330097556,0.09246160835027695,0.10824113339185715,0.08720175176858902,7.916192054748535,7.773714542388916,7.96368408203125,32,0.0,7.532369636464864e-05,7.543127867393196e-05,0.9722500000000001
sea_anemone,0,1,box_inpainting,0.111,19.425,0.25,0.010642001405358315,0.29079902172088623,1.1485848426818848,0.004870452918112278,0.22469750046730042,0.28179430961608887,0.2056652009487152,7.931208610534668,8.141316413879395,7.861172199249268,32,0.0,0.0001830494002206251,0.00018301059026271105,0.9722500000000001
shetland_sheepdog,0,1,box_inpainting,0.111,19.425,0.25,0.010642001405358315,0.04156046360731125,0.15325583517551422,0.0043286727741360664,0.12475323677062988,0.16657912731170654,0.1108112633228302,8.02775764465332,7.958555698394775,8.050823211669922,32,0.0,0.00010163000843022019,0.00010167551226913929,0.9722500000000001
breastplate_armor,0,1,random_inpainting,0.111,19.425,0.25,0.010642001405358315,0.005102608352899551,0.005028783343732357,0.005262828432023525,0.1632615625858307,0.160407155752182,0.16945640742778778,7.703585624694824,7.722930908203125,7.661599636077881,32,0.0,0.0001330006925854832,0.0001328944490524009,0.9722500000000001
crane_structure,0,1,random_inpainting,0.111,19.425,0.25,0.010642001405358315,0.020702876150608063,0.022065050899982452,0.017579948529601097,0.33698534965515137,0.3350130021572113,0.3415071964263916,8.215892791748047,8.233522415161133,8.175477981567383,32,0.0,0.0002745245292317122,0.00027460124692879617,0.9722500000000001
ibex_horns,0,1,random_inpainting,0.111,19.425,0.25,0.010642001405358315,0.028133045881986618,0.028364045545458794,0.02761784754693508,0.14209195971488953,0.14114366471767426,0.14420689642429352,7.482133865356445,7.742349624633789,6.9017767906188965,32,0.0,0.00011575495591387153,0.00011578717385418713,0.9722500000000001
junco,0,1,random_inpainting,0.111,19.425,0.25,0.010642001405358315,0.009006213396787643,0.008927750401198864,0.009189466945827007,0.04242005944252014,0.04213888570666313,0.04307674616575241,7.369765281677246,7.587643623352051,6.860907077789307,32,0.0,3.455743717495352e-05,3.4620090445969254e-05,0.9722500000000001
lakeside_beach,0,1,random_inpainting,0.111,19.425,0.25,0.010642001405358315,0.0021804743446409702,0.0018645500531420112,0.0029252259992063046,0.09246160835027695,0.09395052492618561,0.08895164728164673,7.916192054748535,7.805380344390869,8.177413940429688,32,0.0,7.532369636464864e-05,7.543127867393196e-05,0.9722500000000001
sea_anemone,0,1,random_inpainting,0.111,19.425,0.25,0.010642001405358315,0.006145317107439041,0.006287844851613045,0.0058061666786670685,0.22469750046730042,0.22497941553592682,0.224026620388031,7.931208610534668,7.918946743011475,7.960388660430908,32,0.0,0.0001830494002206251,0.00018301059026271105,0.9722500000000001
shetland_sheepdog,0,1,random_inpainting,0.111,19.425,0.25,0.010642001405358315,0.0071263788267970085,0.006986092776060104,0.007433608174324036,0.12475323677062988,0.12446814775466919,0.1253775656223297,8.02775764465332,7.972958087921143,8.147768020629883,32,0.0,0.00010163000843022019,0.00010167551226913929,0.9722500000000001
breastplate_armor,0,1,gaussian_blur,0.111,19.425,0.25,0.010642001405358315,0.0050602504052221775,,,0.1632615625858307,,,7.703585624694824,,,32,0.0,0.0001330006925854832,0.0001328944490524009,0.9722500000000001
crane_structure,0,1,gaussian_blur,0.111,19.425,0.25,0.010642001405358315,0.01890607923269272,,,0.33698534965515137,,,8.215892791748047,,,32,0.0,0.0002745245292317122,0.00027460124692879617,0.9722500000000001
ibex_horns,0,1,gaussian_blur,0.111,19.425,0.25,0.010642001405358315,0.02920989692211151,,,0.14209195971488953,,,7.482133865356445,,,32,0.0,0.00011575495591387153,0.00011578717385418713,0.9722500000000001
junco,0,1,gaussian_blur,0.111,19.425,0.25,0.010642001405358315,0.011336078867316246,,,0.04242005944252014,,,7.369765281677246,,,32,0.0,3.455743717495352e-05,3.4620090445969254e-05,0.9722500000000001
lakeside_beach,0,1,gaussian_blur,0.111,19.425,0.25,0.010642001405358315,0.0024070506915450096,,,0.09246160835027695,,,7.916192054748535,,,32,0.0,7.532369636464864e-05,7.543127867393196e-05,0.9722500000000001
sea_anemone,0,1,gaussian_blur,0.111,19.425,0.25,0.010642001405358315,0.00640367716550827,,,0.22469750046730042,,,7.931208610534668,,,32,0.0,0.0001830494002206251,0.00018301059026271105,0.9722500000000001
shetland_sheepdog,0,1,gaussian_blur,0.111,19.425,0.25,0.010642001405358315,0.008367498405277729,,,0.12475323677062988,,,8.02775764465332,,,32,0.0,0.00010163000843022019,0.00010167551226913929,0.9722500000000001
