blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,74,8.960478226072155e-06,0,0.009970428422093391,1.9357062578201294,0.1861315816640854,0.007415375672280788,0.05209442973136902,0.19075952470302582,1.0,0,0,0.0,0.973828911781311
1,67,9.693365427665412e-06,1,0.010642001405358315,1.9356544017791748,0.18573755025863647,0.007452110294252634,0.052023470401763916,0.19075952470302582,0.9722500000000001,0,1,0.111,0.9543264508247375
1,66,9.005391802929807e-06,2,0.01062399335205555,1.9358819723129272,0.21584539115428925,0.007423692382872105,0.05952911823987961,0.19075952470302582,0.9445,0,2,0.222,0.9355028867721558
1,64,9.41906819207361e-06,3,0.009873627685010433,1.9358494281768799,0.22138690948486328,0.007317313924431801,0.06083471700549126,0.19075952470302582,0.9167500000000001,0,3,0.333,0.916781485080719
1,65,9.933060937328264e-06,4,0.009073696099221706,1.9358659982681274,0.2490074187517166,0.007350441534072161,0.06776469200849533,0.19075952470302582,0.889,0,4,0.444,0.8981475234031677
1,65,9.918041541823186e-06,5,0.008365506306290627,1.9357683658599854,0.23676975071430206,0.007414079271256924,0.06475300341844559,0.19075952470302582,0.86125,0,5,0.555,0.8808119893074036
1,66,9.360246622236446e-06,6,0.007804953958839178,1.9357918500900269,0.24869000911712646,0.0073880949057638645,0.06771358102560043,0.19075952470302582,0.8335,0,6,0.666,0.8630917072296143
1,66,9.037591553351376e-06,7,0.0074211894534528255,1.9357084035873413,0.20159398019313812,0.007393903099000454,0.05594392120838165,0.19075952470302582,0.80575,0,7,0.777,0.8456939458847046
1,61,9.326661711384077e-06,8,0.00719289667904377,1.9358450174331665,0.2279866486787796,0.0072944858111441135,0.0624675378203392,0.19075952470302582,0.778,0,8,0.888,0.8290243744850159
1,63,9.458098247705493e-06,9,0.007022725883871317,1.9357391595840454,0.21778738498687744,0.007320299744606018,0.059937071055173874,0.19075952470302582,0.75025,0,9,0.999,0.8132573962211609
1,154,9.865612810244784e-06,10,0.013227979652583599,1.4890632629394531,0.13137602806091309,0.0038556205108761787,0.03573572263121605,0.20476265251636505,0.8571428571428572,1,0,0.0,0.9842140078544617
1,141,9.964297532860655e-06,11,0.012689127586781979,1.4887105226516724,0.15517176687717438,0.0038890279829502106,0.041709717363119125,0.20476265251636505,0.8175000000000001,1,1,0.111,0.9645814895629883
1,127,9.882413905870635e-06,12,0.012317526154220104,1.4892215728759766,0.15811283886432648,0.0038794626016169786,0.042437806725502014,0.20476265251636505,0.7778571428571429,1,2,0.222,0.9458848237991333
1,115,9.987320481741335e-06,13,0.012009454891085625,1.4892090559005737,0.14966797828674316,0.003876397619023919,0.040324293076992035,0.20476265251636505,0.7382142857142858,1,3,0.333,0.9267391562461853
1,98,9.632337423681747e-06,14,0.011795909143984318,1.4888427257537842,0.13426099717617035,0.0038700976874679327,0.03646782413125038,0.20476265251636505,0.6985714285714286,1,4,0.444,0.9098091721534729
1,93,9.965271601686254e-06,15,0.011530348099768162,1.4893182516098022,0.15895740687847137,0.003893328597769141,0.042659349739551544,0.20476265251636505,0.6589285714285714,1,5,0.555,0.8903788924217224
1,88,9.604866136214696e-06,16,0.011259624734520912,1.4892029762268066,0.12207324057817459,0.0038771098479628563,0.03342614695429802,0.20476265251636505,0.6192857142857142,1,6,0.666,0.8746346235275269
1,76,9.778266758075915e-06,17,0.010943361558020115,1.4891583919525146,0.14070694148540497,0.003888761391863227,0.03809330612421036,0.20476265251636505,0.5796428571428571,1,7,0.777,0.857869565486908
1,66,9.674166904005688e-06,18,0.010707459412515163,1.4887375831604004,0.14242245256900787,0.0039082542061805725,0.03853680193424225,0.20476265251636505,0.54,1,8,0.888,0.8412818908691406
1,61,9.74793601926649e-06,19,0.010580291040241718,1.4885318279266357,0.1424211710691452,0.003982813097536564,0.03859240561723709,0.20476265251636505,0.5003571428571428,1,9,0.999,0.8286648988723755
1,145,9.917148418026045e-06,20,0.011577649042010307,1.2084698677062988,0.15095852315425873,0.0031864801421761513,0.040129490196704865,0.21508482098579407,0.6666666666666667,2,0,0.0,0.9944474101066589
1,125,9.525295354251284e-06,21,0.011458246037364006,1.2081671953201294,0.1550564020872116,0.0032258001156151295,0.041183456778526306,0.21508482098579407,0.6204166666666668,2,1,0.111,0.985487163066864
1,106,9.678184142103419e-06,22,0.011648545041680336,1.2052346467971802,0.16135650873184204,0.0032239961437880993,0.042757123708724976,0.21508482098579407,0.5741666666666667,2,2,0.222,0.9754337072372437
1,93,9.487504030403215e-06,23,0.011883500963449478,1.2066131830215454,0.14041505753993988,0.0032789306715130806,0.03756296634674072,0.21508482098579407,0.5279166666666668,2,3,0.333,0.9659393429756165
