task,image,stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,mse_hole,mse_obs,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged
box_inpainting,breastplate_armor,0,0,0.0,1.0,0.22905732691287994,0.015347093718126417,0.036240436136722565,2.382117748260498,1.0024131536483765,0.1333690732717514,0.00386421917937696,77,9.99695657810662e-06,1
box_inpainting,breastplate_armor,0,1,0.111,0.9722500000000001,0.22905732691287994,0.015353579482529313,0.021926216781139374,2.3819940090179443,0.984796941280365,0.07595542073249817,0.003916483838111162,73,9.241582120012026e-06,1
box_inpainting,breastplate_armor,0,2,0.222,0.9445,0.22905732691287994,0.014371499708388,0.03515872359275818,2.3822929859161377,1.0142161846160889,0.1290207803249359,0.0038713710382580757,73,9.939139090420213e-06,1
box_inpainting,breastplate_armor,0,3,0.333,0.9167500000000001,0.22905732691287994,0.013303451071958988,0.030674096196889877,2.382042646408081,0.9999520778656006,0.1110350489616394,0.0038871143478900194,75,9.810549272515345e-06,1
box_inpainting,breastplate_armor,0,4,0.444,0.889,0.22905732691287994,0.012393907661084086,0.030752163380384445,2.3821821212768555,0.9947441220283508,0.1113518476486206,0.0038855995517224073,73,9.536680408928078e-06,1
box_inpainting,breastplate_armor,0,5,0.555,0.86125,0.22905732691287994,0.011647834467701615,0.027637869119644165,2.382143259048462,1.0126255750656128,0.09894262999296188,0.0038696150295436382,69,9.85866972769145e-06,1
box_inpainting,breastplate_armor,0,6,0.666,0.8335,0.22905732691287994,0.0110342050162144,0.02481706067919731,2.3820877075195312,0.9999905228614807,0.08753552287817001,0.00391090614721179,71,9.40487370826304e-06,1
box_inpainting,breastplate_armor,0,7,0.777,0.80575,0.22905732691287994,0.010528854842763394,0.025222696363925934,2.382047653198242,1.0016690492630005,0.089108906686306,0.003927293699234724,69,9.340577889815904e-06,1
box_inpainting,breastplate_armor,0,8,0.888,0.778,0.22905732691287994,0.010108030313625931,0.023503592237830162,2.3821380138397217,0.994405210018158,0.08237147331237793,0.0038809622637927532,65,9.832624527916778e-06,1
box_inpainting,breastplate_armor,0,9,0.999,0.75025,0.22905732691287994,0.009770274467300624,0.02259698510169983,2.3820273876190186,0.9973888993263245,0.07862741500139236,0.003920175135135651,67,9.737805157783441e-06,1
box_inpainting,breastplate_armor,1,0,0.0,0.8571428571428572,0.24325698614120483,0.019326792567037045,0.0320650078356266,2.025825262069702,1.0041356086730957,0.11826734989881516,0.0033308917190879583,136,9.905478691507597e-06,1
box_inpainting,breastplate_armor,1,1,0.111,0.8175000000000001,0.24325698614120483,0.017752951610833408,0.050870053470134735,2.0257346630096436,0.9955300688743591,0.19334860146045685,0.0033771987073123455,127,9.88971623883117e-06,1
box_inpainting,breastplate_armor,1,2,0.222,0.7778571428571429,0.24325698614120483,0.016621877911500632,0.03170615807175636,2.026000499725342,0.9890120625495911,0.1167326495051384,0.003363995812833309,116,9.832484465732705e-06,1
box_inpainting,breastplate_armor,1,3,0.333,0.7382142857142858,0.24325698614120483,0.01578693637670949,0.028461655601859093,2.025979995727539,0.9963897466659546,0.10368573665618896,0.003386961529031396,102,9.925151061906945e-06,1
box_inpainting,breastplate_armor,1,4,0.444,0.6985714285714286,0.24325698614120483,0.015169071976095438,0.023063190281391144,2.02598237991333,0.9943422675132751,0.08212944120168686,0.0033744382672011852,96,9.856603355729021e-06,1
box_inpainting,breastplate_armor,1,5,0.555,0.6589285714285714,0.24325698614120483,0.014728917451575398,0.025454318150877953,2.0259852409362793,1.0022141933441162,0.09165718406438828,0.003386695636436343,85,9.893634342006408e-06,1
box_inpainting,breastplate_armor,1,6,0.666,0.6192857142857142,0.24325698614120483,0.014430135814473033,0.02385387197136879,2.0261118412017822,0.9953421354293823,0.08526880294084549,0.003382227150723338,79,9.984445568989031e-06,1
box_inpainting,breastplate_armor,1,7,0.777,0.5796428571428571,0.24325698614120483,0.014257467959076167,0.022278135642409325,2.0259456634521484,1.013023853302002,0.07879015058279037,0.003440799191594124,70,9.424355084775016e-06,1
box_inpainting,breastplate_armor,1,8,0.888,0.54,0.24325698614120483,0.014196913473773748,0.020070349797606468,2.0260486602783203,1.0010820627212524,0.0701068863272667,0.003391505451872945,60,9.846448847383726e-06,1
box_inpainting,breastplate_armor,1,9,0.999,0.5003571428571428,0.24325698614120483,0.014269322261214256,0.023722689598798752,2.0256731510162354,0.9915290474891663,0.08451342582702637,0.003459109691902995,56,9.966104698833078e-06,1
box_inpainting,breastplate_armor,2,0,0.0,0.6666666666666667,0.254136860370636,0.01529544176114723,0.030576534569263458,1.5621323585510254,0.996437132358551,0.10899144411087036,0.00443823030218482,102,9.8776763479691e-06,1
box_inpainting,breastplate_armor,2,1,0.111,0.6204166666666668,0.254136860370636,0.015238513279240579,0.02644610032439232,1.5623670816421509,0.9932593703269958,0.0924818143248558,0.004434194415807724,87,9.775003491085954e-06,1
box_inpainting,breastplate_armor,2,2,0.222,0.5741666666666667,0.254136860370636,0.015321804254781454,0.0246037058532238,1.5603660345077515,0.997343897819519,0.08513537049293518,0.004426481667906046,76,9.743826012709178e-06,1
box_inpainting,breastplate_armor,2,3,0.333,0.5279166666666668,0.254136860370636,0.01552855058852583,0.024685045704245567,1.562716007232666,0.9982383847236633,0.0854671373963356,0.0044243475422263145,66,9.791208867682144e-06,1
box_inpainting,breastplate_armor,2,4,0.444,0.48166666666666674,0.254136860370636,0.015861635412089528,0.023620516061782837,1.5596287250518799,0.9963218569755554,0.080539770424366,0.00464742723852396,57,9.704469448479358e-06,1
box_inpainting,breastplate_armor,2,5,0.555,0.4354166666666667,0.254136860370636,0.016341459535062313,0.02553286775946617,1.5589648485183716,0.9935749769210815,0.08722860366106033,0.004967618267983198,50,9.156974556390196e-06,1
box_inpainting,breastplate_armor,2,6,0.666,0.38916666666666666,0.254136860370636,0.017002022784668953,0.02531379461288452,1.5570801496505737,0.9965415000915527,0.08658991008996964,0.00488841999322176,44,8.409808287979104e-06,1
box_inpainting,breastplate_armor,2,7,0.777,0.34291666666666665,0.254136860370636,0.017894823524635284,0.0252811461687088,1.5555435419082642,1.0033557415008545,0.0858486220240593,0.005091989412903786,38,8.255953616753686e-06,1
box_inpainting,breastplate_armor,2,8,0.888,0.2966666666666667,0.254136860370636,0.019101032599806785,0.024754365906119347,1.5533497333526611,1.0012370347976685,0.08285711705684662,0.005386784207075834,31,9.745800525706727e-06,1
box_inpainting,breastplate_armor,2,9,0.999,0.2504166666666667,0.254136860370636,0.020766042752657084,0.025529300794005394,1.546247959136963,0.9992911219596863,0.0847814753651619,0.0057785725221037865,26,9.178721484204289e-06,1
box_inpainting,breastplate_armor,3,0,0.0,0.3999999999999999,0.2630844712257385,0.011779009823920205,0.030008379369974136,0.9913629293441772,1.001589059829712,0.10919327288866043,0.003613412845879793,106,9.682018571766093e-06,1
box_inpainting,breastplate_armor,3,1,0.111,0.3555999999999999,0.2630844712257385,0.012813518145121635,0.029248323291540146,0.989292323589325,0.9975125193595886,0.10624370723962784,0.003583192825317383,91,9.51298170548398e-06,1
box_inpainting,breastplate_armor,3,2,0.222,0.3111999999999999,0.2630844712257385,0.013912258269730955,0.028779156506061554,0.990440845489502,0.9998234510421753,0.10434386134147644,0.0035909207072108984,77,9.38127141125733e-06,1
box_inpainting,breastplate_armor,3,3,0.333,0.2668,0.2630844712257385,0.015146614878904074,0.028921237215399742,0.983070969581604,0.9991064667701721,0.10502868890762329,0.0035520850215107203,64,9.346838851342909e-06,1
box_inpainting,breastplate_armor,3,4,0.444,0.22239999999999996,0.2630844712257385,0.01667320995638147,0.029039423912763596,0.9801959991455078,1.0002714395523071,0.1056227907538414,0.0035116304643452168,52,9.911978850141168e-06,1
box_inpainting,breastplate_armor,3,5,0.555,0.17799999999999994,0.2630844712257385,0.018772263581398874,0.02907237969338894,0.9734551906585693,0.9983506202697754,0.10585048049688339,0.0034796756226569414,41,9.73002261162037e-06,1
box_inpainting,breastplate_armor,3,6,0.666,0.13359999999999997,0.2630844712257385,0.022014024114236235,0.028927713632583618,0.967400312423706,0.998252272605896,0.10561394691467285,0.0033656354062259197,31,9.7416823336971e-06,1
box_inpainting,breastplate_armor,3,7,0.777,0.08919999999999997,0.2630844712257385,0.027892751374281943,0.02875899337232113,0.9487509727478027,1.0017865896224976,0.1055050790309906,0.0031769629567861557,21,9.445835530641489e-06,1
box_inpainting,breastplate_armor,3,8,0.888,0.044799999999999986,0.2630844712257385,0.04251434523612261,0.028601422905921936,0.9362649917602539,1.0003412961959839,0.10547936707735062,0.002975442446768284,10,9.467344170843717e-06,1
box_inpainting,breastplate_armor,3,9,0.999,0.0004000000000000003,0.2630844712257385,0.14370020731538535,0.02860008180141449,0.9362651705741882,0.9986259937286377,0.10547354817390442,0.002975592389702797,1,4.79836728572991e-07,1
box_inpainting,crane_structure,0,0,0.0,1.0,0.26824072003364563,0.015347093718126417,0.055997855961322784,3.9454424381256104,1.0024131536483765,0.18934482336044312,0.011548861861228943,74,8.921498192648869e-06,1
box_inpainting,crane_structure,0,1,0.111,0.9722500000000001,0.26824072003364563,0.015353579482529313,0.07741624116897583,3.9452712535858154,0.984796941280365,0.2744981348514557,0.011722270399332047,65,9.473287718719803e-06,1
box_inpainting,crane_structure,0,2,0.222,0.9445,0.26824072003364563,0.014371499708388,0.061562150716781616,3.9455180168151855,1.0142161846160889,0.2112419158220291,0.011668895371258259,66,9.561830665916204e-06,1
box_inpainting,crane_structure,0,3,0.333,0.9167500000000001,0.26824072003364563,0.013303451071958988,0.06572265177965164,3.9453487396240234,0.9999520778656006,0.22794997692108154,0.01164687518030405,64,9.854207746684551e-06,1
box_inpainting,crane_structure,0,4,0.444,0.889,0.26824072003364563,0.012393907661084086,0.06447453051805496,3.9453232288360596,0.9947441220283508,0.22246937453746796,0.011809589341282845,65,9.734390005178284e-06,1
box_inpainting,crane_structure,0,5,0.555,0.86125,0.26824072003364563,0.011647834467701615,0.06977696716785431,3.94530987739563,1.0126255750656128,0.2438315749168396,0.011758767068386078,62,9.78012121777283e-06,1
box_inpainting,crane_structure,0,6,0.666,0.8335,0.26824072003364563,0.0110342050162144,0.060209453105926514,3.9452433586120605,0.9999905228614807,0.20547108352184296,0.011788914911448956,64,9.788173883862328e-06,1
box_inpainting,crane_structure,0,7,0.777,0.80575,0.26824072003364563,0.010528854842763394,0.05729961395263672,3.9453206062316895,1.0016690492630005,0.19410467147827148,0.0116979219019413,63,9.903556019708049e-06,1
box_inpainting,crane_structure,0,8,0.888,0.778,0.26824072003364563,0.010108030313625931,0.06422968208789825,3.945382833480835,0.994405210018158,0.22199523448944092,0.01164114847779274,63,9.444424904359039e-06,1
box_inpainting,crane_structure,0,9,0.999,0.75025,0.26824072003364563,0.009770274467300624,0.05835333466529846,3.945301055908203,0.9973888993263245,0.19839268922805786,0.01167355291545391,60,8.850915946823079e-06,1
box_inpainting,crane_structure,1,0,0.0,0.8571428571428572,0.28375646471977234,0.019326792567037045,0.06452065706253052,3.0542306900024414,1.0041356086730957,0.21249955892562866,0.015194361098110676,129,9.837228390097152e-06,1
box_inpainting,crane_structure,1,1,0.111,0.8175000000000001,0.28375646471977234,0.017752951610833408,0.06166527792811394,3.0539634227752686,0.9955300688743591,0.20101682841777802,0.015214767307043076,128,9.774300451681484e-06,1
box_inpainting,crane_structure,1,2,0.222,0.7778571428571429,0.28375646471977234,0.016621877911500632,0.06696724146604538,3.05446195602417,0.9890120625495911,0.22234642505645752,0.015174180269241333,108,9.930158739734907e-06,1
box_inpainting,crane_structure,1,3,0.333,0.7382142857142858,0.28375646471977234,0.01578693637670949,0.06535385549068451,3.0541834831237793,0.9963897466659546,0.21568934619426727,0.015242025256156921,97,9.691296327218879e-06,1
box_inpainting,crane_structure,1,4,0.444,0.6985714285714286,0.28375646471977234,0.015169071976095438,0.06942281126976013,3.054065227508545,0.9943422675132751,0.23187513649463654,0.015272025018930435,85,9.943752957042307e-06,1
box_inpainting,crane_structure,1,5,0.555,0.6589285714285714,0.28375646471977234,0.014728917451575398,0.06743239611387253,3.054211139678955,1.0022141933441162,0.22384589910507202,0.015294553712010384,77,9.868397683021612e-06,1
box_inpainting,crane_structure,1,6,0.666,0.6192857142857142,0.28375646471977234,0.014430135814473033,0.07037153095006943,3.053711175918579,0.9953421354293823,0.23534823954105377,0.015379286371171474,73,9.815892553888261e-06,1
box_inpainting,crane_structure,1,7,0.777,0.5796428571428571,0.28375646471977234,0.014257467959076167,0.07050041854381561,3.0533173084259033,1.013023853302002,0.2350383996963501,0.015654411166906357,63,9.625108759792056e-06,1
box_inpainting,crane_structure,1,8,0.888,0.54,0.28375646471977234,0.014196913473773748,0.06856696307659149,3.0514681339263916,1.0010820627212524,0.22465680539608002,0.016537008807063103,57,9.49065088207135e-06,1
