stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,mse_hole,mse_obs
0,0,0.0,1.0,0.11227826774120331,anchor=0.0,0.1,0.0,0.4045010507106781,0.0148706566542387
0,1,0.111,0.9722500000000001,0.11368197202682495,anchor=0.0,0.1,0.0,0.41091349720954895,0.014604783616960049
0,2,0.222,0.9445,0.11680817604064941,anchor=0.0,0.1,0.0,0.4229450225830078,0.014762550592422485
0,3,0.333,0.9167500000000001,0.11414175480604172,anchor=0.0,0.1,0.0,0.4120708703994751,0.01483203936368227
0,4,0.444,0.889,0.11570705473423004,anchor=0.0,0.1,0.0,0.4180943965911865,0.01491127535700798
0,5,0.555,0.86125,0.1155560165643692,anchor=0.0,0.1,0.0,0.41809192299842834,0.014710715971887112
0,6,0.666,0.8335,0.11903528869152069,anchor=0.0,0.1,0.0,0.43169474601745605,0.014815459959208965
0,7,0.777,0.80575,0.11793649196624756,anchor=0.0,0.1,0.0,0.42710813879966736,0.01487928256392479
0,8,0.888,0.778,0.12130331993103027,anchor=0.0,0.1,0.0,0.4407678544521332,0.014815140515565872
0,9,0.999,0.75025,0.12509401142597198,anchor=0.0,0.1,0.0,0.45555925369262695,0.014938917011022568
1,0,0.0,0.8571428571428572,3.0334231853485107,anchor=0.0,0.1,0.0,12.062180519104004,0.023837605491280556
1,1,0.111,0.8175000000000001,2.4077935218811035,anchor=0.0,0.1,0.0,9.559572219848633,0.023867301642894745
1,2,0.222,0.7778571428571429,1.9347466230392456,anchor=0.0,0.1,0.0,7.66747522354126,0.023837193846702576
1,3,0.333,0.7382142857142858,2.087207317352295,anchor=0.0,0.1,0.0,8.277449607849121,0.023793088272213936
1,4,0.444,0.6985714285714286,2.0555782318115234,anchor=0.0,0.1,0.0,8.151030540466309,0.023760991171002388
1,5,0.555,0.6589285714285714,1.837030291557312,anchor=0.0,0.1,0.0,7.276092052459717,0.02400965802371502
1,6,0.666,0.6192857142857142,1.4776132106781006,anchor=0.0,0.1,0.0,5.838294982910156,0.024052491411566734
1,7,0.777,0.5796428571428571,1.2059921026229858,anchor=0.0,0.1,0.0,4.752053737640381,0.02397158183157444
1,8,0.888,0.54,1.0200852155685425,anchor=0.0,0.1,0.0,4.0087361335754395,0.023868020623922348
1,9,0.999,0.5003571428571428,0.8218137621879578,anchor=0.0,0.1,0.0,3.2157020568847656,0.023850981146097183
2,0,0.0,0.6666666666666667,1.0092439651489258,anchor=0.0,0.1,0.0,3.970463514328003,0.0221707746386528
2,1,0.111,0.6204166666666668,2.00993013381958,anchor=0.0,0.1,0.0,7.973182678222656,0.022179104387760162
2,2,0.222,0.5741666666666667,2.8143715858459473,anchor=0.0,0.1,0.0,11.190738677978516,0.022248992696404457
2,3,0.333,0.5279166666666668,2.1697797775268555,anchor=0.0,0.1,0.0,8.613079071044922,0.022013047710061073
2,4,0.444,0.48166666666666674,1.5011614561080933,anchor=0.0,0.1,0.0,5.9387030601501465,0.021980823948979378
2,5,0.555,0.4354166666666667,1.007033348083496,anchor=0.0,0.1,0.0,3.9619576930999756,0.022058529779314995
2,6,0.666,0.38916666666666666,0.7090186476707458,anchor=0.0,0.1,0.0,2.769956588745117,0.022039247676730156
2,7,0.777,0.34291666666666665,0.5234629511833191,anchor=0.0,0.1,0.0,2.0279786586761475,0.02195768430829048
2,8,0.888,0.2966666666666667,0.4155115485191345,anchor=0.0,0.1,0.0,1.5963001251220703,0.02191527932882309
2,9,0.999,0.2504166666666667,0.34839901328086853,anchor=0.0,0.1,0.0,1.3283708095550537,0.021741719916462898
3,0,0.0,0.3999999999999999,0.5178554654121399,anchor=0.0,0.1,0.0,2.063967227935791,0.0024849374312907457
3,1,0.111,0.3555999999999999,0.45343920588493347,anchor=0.0,0.1,0.0,1.8062814474105835,0.002491784980520606
3,2,0.222,0.3111999999999999,0.4005924165248871,anchor=0.0,0.1,0.0,1.5949020385742188,0.0024891814682632685
3,3,0.333,0.2668,0.3602237105369568,anchor=0.0,0.1,0.0,1.4334355592727661,0.0024864173028618097
3,4,0.444,0.22239999999999996,0.33482593297958374,anchor=0.0,0.1,0.0,1.3319004774093628,0.002467724261805415
3,5,0.555,0.17799999999999994,0.318648099899292,anchor=0.0,0.1,0.0,1.267262578010559,0.0024432893842458725
3,6,0.666,0.13359999999999997,0.31162747740745544,anchor=0.0,0.1,0.0,1.2393361330032349,0.00239120377227664
3,7,0.777,0.08919999999999997,0.3075128197669983,anchor=0.0,0.1,0.0,1.2231595516204834,0.0022972060833126307
3,8,0.888,0.044799999999999986,0.3064793348312378,anchor=0.0,0.1,0.0,1.2202866077423096,0.0018768571317195892
3,9,0.999,0.0004000000000000003,0.3064793348312378,anchor=0.0,0.1,0.0,1.2202866077423096,0.0018768571317195892
0,0,0.0,1.0,0.09468181431293488,anchor=25.0,0.1,25.0,0.33500778675079346,0.01457316055893898
0,1,0.111,0.9722500000000001,0.09646739810705185,anchor=25.0,0.1,25.0,0.34245994687080383,0.01446987222880125
0,2,0.222,0.9445,0.095981165766716,anchor=25.0,0.1,25.0,0.34062957763671875,0.014431698247790337
0,3,0.333,0.9167500000000001,0.11156433820724487,anchor=25.0,0.1,25.0,0.4029063284397125,0.014450331218540668
0,4,0.444,0.889,0.09420149028301239,anchor=25.0,0.1,25.0,0.33313801884651184,0.014555982314050198
0,5,0.555,0.86125,0.09012898057699203,anchor=25.0,0.1,25.0,0.3173610270023346,0.014384966343641281
0,6,0.666,0.8335,0.08083648979663849,anchor=25.0,0.1,25.0,0.2800653278827667,0.014426876790821552
0,7,0.777,0.80575,0.09480887651443481,anchor=25.0,0.1,25.0,0.3359399735927582,0.014431847259402275
0,8,0.888,0.778,0.09440438449382782,anchor=25.0,0.1,25.0,0.33392128348350525,0.014565395191311836
0,9,0.999,0.75025,0.09393094480037689,anchor=25.0,0.1,25.0,0.3326185643672943,0.014368393458425999
1,0,0.0,0.8571428571428572,0.06775116920471191,anchor=25.0,0.1,25.0,0.20295290648937225,0.022683914750814438
1,1,0.111,0.8175000000000001,0.06927618384361267,anchor=25.0,0.1,25.0,0.2097262740135193,0.022459492087364197
1,2,0.222,0.7778571428571429,0.05801007151603699,anchor=25.0,0.1,25.0,0.1643751859664917,0.02255503088235855
1,3,0.333,0.7382142857142858,0.05518209934234619,anchor=25.0,0.1,25.0,0.15326696634292603,0.02248714119195938
