stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,mse_hole,mse_obs,task,image
0,0,0.0,1.0,0.0025,0.009970428422093391,0.023433178663253784,1.944016695022583,0.9947441816329956,0.07512469589710236,0.006202672142535448,box_inpainting,junco
0,1,0.111,0.9722500000000001,0.0025,0.010642001405358315,0.025898590683937073,1.9444048404693604,0.9973888397216797,0.08506207913160324,0.00617742957547307,box_inpainting,junco
0,2,0.222,0.9445,0.0025,0.01062399335205555,0.02336965501308441,1.944411039352417,0.9829674363136292,0.07472793012857437,0.006250230595469475,box_inpainting,junco
0,3,0.333,0.9167500000000001,0.0025,0.009873627685010433,0.02374435029923916,1.9439690113067627,0.9869840145111084,0.07651311159133911,0.006154761184006929,box_inpainting,junco
0,4,0.444,0.889,0.0025,0.009073696099221706,0.020152639597654343,1.9444553852081299,0.9984487891197205,0.0619196780025959,0.006230291444808245,box_inpainting,junco
0,5,0.555,0.86125,0.0025,0.008365506306290627,0.03994675353169441,1.9441713094711304,0.9851222038269043,0.14110302925109863,0.00622799014672637,box_inpainting,junco
0,6,0.666,0.8335,0.0025,0.007804953958839178,0.038761988282203674,1.944083571434021,1.0122591257095337,0.13640959560871124,0.006212786305695772,box_inpainting,junco
0,7,0.777,0.80575,0.0025,0.0074211894534528255,0.019094448536634445,1.944326400756836,1.0158469676971436,0.05751034617424011,0.006289147771894932,box_inpainting,junco
0,8,0.888,0.778,0.0025,0.00719289667904377,0.020863322541117668,1.9435944557189941,0.9899382591247559,0.06465724855661392,0.006265346892178059,box_inpainting,junco
0,9,0.999,0.75025,0.0025,0.007022725883871317,0.020489368587732315,1.9437886476516724,0.9699145555496216,0.06349902600049973,0.0061528123915195465,box_inpainting,junco
1,0,0.0,0.8571428571428572,0.0025,0.013227979652583599,0.029438644647598267,1.5222499370574951,1.001232385635376,0.1100931465625763,0.0025538087356835604,box_inpainting,junco
1,1,0.111,0.8175000000000001,0.0025,0.012689127586781979,0.02089543640613556,1.5175093412399292,1.0051027536392212,0.07598277926445007,0.0025329887866973877,box_inpainting,junco
1,2,0.222,0.7778571428571429,0.0025,0.012317526154220104,0.025658732280135155,1.518136739730835,1.0067402124404907,0.09490001201629639,0.002578304847702384,box_inpainting,junco
1,3,0.333,0.7382142857142858,0.0025,0.012009454891085625,0.02631879411637783,1.518932819366455,1.0015387535095215,0.09766244888305664,0.0025375753175467253,box_inpainting,junco
1,4,0.444,0.6985714285714286,0.0025,0.011795909143984318,0.022458357736468315,1.5143883228302002,0.9979171752929688,0.08210385590791702,0.0025765253230929375,box_inpainting,junco
1,5,0.555,0.6589285714285714,0.0025,0.011530348099768162,0.020397420972585678,1.516120433807373,1.005010962486267,0.07389380782842636,0.0025652924086898565,box_inpainting,junco
1,6,0.666,0.6192857142857142,0.0025,0.011259624734520912,0.01805860362946987,1.5120166540145874,0.9920858144760132,0.0645001083612442,0.002578101120889187,box_inpainting,junco
1,7,0.777,0.5796428571428571,0.0025,0.010943361558020115,0.02418326959013939,1.5079950094223022,1.0061179399490356,0.08874817937612534,0.002661634236574173,box_inpainting,junco
1,8,0.888,0.54,0.0025,0.010707459412515163,0.023709697648882866,1.5067524909973145,1.0071406364440918,0.08642863482236862,0.0028033864218741655,box_inpainting,junco
