arm,gstep,stage,step,tau,d_l15_rel,d_step_rel,epsilon,mse_hole,mse_total,mse_vis,mu_hole,mu_vis,sample_hole,sigma_tau,x0_rms,x1hat_fix_hole,x1hat_hole,x1hat_hole_ker,x1hat_hole_range
l15,0,0,0,0.0,0.0,0.38185252745946247,0.024870169921874997,31.66204833984375,7.921504497528076,0.007989155128598213,0.08571141958236694,0.007902860641479492,31.66204833984375,1.0,0.7606925964355469,0.07288231700658798,0.07288231700658798,0.01386155653744936,0.0590207576751709
l15,1,0,1,0.111,3.741925596045803e-08,0.4399556517601013,0.0,31.65478515625,7.919693946838379,0.007996116764843464,31.65428352355957,0.00790313072502613,31.65478515625,0.9722500000000001,0.7314234972000122,0.06812485307455063,0.06812485307455063,0.013870836235582829,0.054254014045000076
l15,2,0,2,0.222,4.225710767968849e-08,0.44189135134220126,0.0,26.568185806274414,6.648009300231934,0.00794928427785635,27.0391788482666,0.007903075776994228,26.568185806274414,0.9445,0.7272254824638367,0.06706957519054413,0.06706957519054413,0.013998282141983509,0.053071293979883194
l15,3,0,3,0.333,4.9358301623669834e-08,0.43601612448692323,0.0,10.315497398376465,2.584899425506592,0.008032914251089096,11.114151000976562,0.00790311023592949,10.315497398376465,0.9167500000000001,0.7479491233825684,0.07611054182052612,0.07611054182052612,0.0138933090493083,0.06221723183989525
l15,4,0,4,0.444,7.239887551691027e-08,0.4316858649253845,0.0,4.410552978515625,1.1086015701293945,0.007951172068715096,4.449125289916992,0.007904036901891232,4.410552978515625,0.889,0.7465157508850098,0.0674680694937706,0.0674680694937706,0.013638962991535664,0.05382910370826721
l15,5,0,5,0.555,7.192653086462997e-08,0.439757776260376,0.0,5.061106204986572,1.2712907791137695,0.008019004948437214,4.415914058685303,0.007900397293269634,5.061106204986572,0.86125,0.7365699410438538,0.10908979177474976,0.10908979177474976,0.013583958148956299,0.09550583362579346
l15,6,0,6,0.666,8.092938941217653e-08,0.44770356714725495,0.0,6.9140496253967285,1.7345712184906006,0.008078215643763542,2.9021177291870117,0.007900502532720566,6.9140496253967285,0.8335,0.7408024072647095,0.06373608857393265,0.06373608857393265,0.01363187376409769,0.050104204565286636
l15,7,0,7,0.777,5.3596039606418344e-08,0.4469844728708267,0.0,6.7404866218566895,1.6911437511444092,0.008029173128306866,1.0890535116195679,0.007894719950854778,6.7404866218566895,0.80575,0.7886593341827393,0.07204975932836533,0.07204975932836533,0.013730599544942379,0.05831916257739067
l15,8,0,8,0.888,7.676121640542988e-08,0.4459326952695847,0.0,6.670159816741943,1.673607587814331,0.008089965209364891,0.1992284059524536,0.0079022366553545,6.670159816741943,0.778,0.8082123398780823,0.07212834805250168,0.07212834805250168,0.014097717590630054,0.0580306313931942
l15,9,0,9,0.999,3.846526510642434e-08,0.4512191146612167,0.0,5.43951940536499,1.3658711910247803,0.007988492958247662,0.10048839449882507,0.007905431091785431,5.43951940536499,0.75025,0.8310880661010742,0.06332305073738098,0.06332305073738098,0.01377327460795641,0.04954977706074715
l15,10,1,0,0.0,4.518177831869252e-08,0.3756641381316715,0.0062592724609375,106.046630859375,26.51559066772461,0.005245531443506479,0.13092486560344696,0.004758552648127079,106.046630859375,0.8571428571428572,0.8049814105033875,0.09875752776861191,0.09894859045743942,0.009682773612439632,0.08926580101251602
l15,11,1,1,0.111,4.707375431678429e-08,0.42576177716255187,0.0,24.008432388305664,6.006082534790039,0.005298770498484373,17.452783584594727,0.004773643333464861,24.008432388305664,0.8175000000000001,0.7772375345230103,0.09976416826248169,0.09985116869211197,0.009290787391364574,0.09056039899587631
