anchor,hole,obs,committed_hole,rel_diff,reproduced
25.0,0.08608313649892807,0.001763947308063507,0.086083,1.5856664854074938e-06,True
50.0,0.07600043714046478,0.001711044693365693,,,
75.0,0.07161342352628708,0.0016654853243380785,,,
100.0,0.06964466720819473,0.001626481767743826,,,
