arm,n_seeds,s2_stage3,lambda_eq,hole_spread,obs_spread,hole_mse_mean,obs_mse_mean
measured,4,0.22819071692139276,4.382299216599948,1.7370773553848267,0.036679770797491074,3.4704611897468567,0.0028441494796425104
lam25,4,0.04,25.0,1.6029720306396484,0.03652697056531906,3.062337338924408,0.0028004657942801714
lam100,4,0.01,100.0,0.9216392636299133,0.0357728935778141,1.5077286660671234,0.002611072384752333
lam400,4,0.0025,400.0,0.9160804152488708,0.033144883811473846,1.456445336341858,0.0020768511458300054
