arm,n_seeds,lambda_eq,hole_std,hole_absmax,out_of_range_frac,hole_spread,hole_mse,obs_spread
measured,4,4.382299216599948,1.8416765928268433,2.756197214126587,0.991851806640625,1.7370773553848267,3.4704611897468567,0.036679770797491074
lam25,4,25.0,1.72751784324646,2.794008493423462,0.9786631266276041,1.6029720306396484,3.062337338924408,0.03652697056531906
lam100,4,100.0,1.1981325149536133,3.308777332305908,0.3727060953776042,0.9216392636299133,1.5077286660671234,0.0357728935778141
lam400,4,400.0,1.1762009859085083,3.474217653274536,0.3693745930989583,0.9160804152488708,1.456445336341858,0.033144883811473846
