task,image,stage,step,tau,T,sigma_tau,s_k,e_k,resolution,mse_wls,mse_model
box_inpainting,junco,0,7,0.777,135.975,0.80575,0.0,0.25,32,7.35181999206543,0.06367750465869904
box_inpainting,lakeside_beach,0,7,0.777,135.975,0.80575,0.0,0.25,32,7.80942440032959,0.04360557347536087
box_inpainting,sea_anemone,0,7,0.777,135.975,0.80575,0.0,0.25,32,7.760123252868652,0.05934075266122818
box_inpainting,shetland_sheepdog,0,7,0.777,135.975,0.80575,0.0,0.25,32,7.9350905418396,0.09303882718086243
box_inpainting,breastplate_armor,0,8,0.888,155.4,0.778,0.0,0.25,32,7.6278581619262695,0.04441804811358452
box_inpainting,crane_structure,0,8,0.888,155.4,0.778,0.0,0.25,32,7.890130996704102,0.09064970910549164
box_inpainting,ibex_horns,0,8,0.888,155.4,0.778,0.0,0.25,32,7.358365058898926,0.11700724065303802
box_inpainting,junco,0,8,0.888,155.4,0.778,0.0,0.25,32,7.3261823654174805,0.060961633920669556
box_inpainting,lakeside_beach,0,8,0.888,155.4,0.778,0.0,0.25,32,7.79117488861084,0.03595183044672012
box_inpainting,sea_anemone,0,8,0.888,155.4,0.778,0.0,0.25,32,7.748124599456787,0.05409388989210129
box_inpainting,shetland_sheepdog,0,8,0.888,155.4,0.778,0.0,0.25,32,7.9110941886901855,0.08453711122274399
box_inpainting,breastplate_armor,0,9,0.999,174.825,0.75025,0.0,0.25,32,7.614709377288818,0.04184895008802414
box_inpainting,crane_structure,0,9,0.999,174.825,0.75025,0.0,0.25,32,7.86146354675293,0.0783352330327034
box_inpainting,ibex_horns,0,9,0.999,174.825,0.75025,0.0,0.25,32,7.334289073944092,0.10887613147497177
box_inpainting,junco,0,9,0.999,174.825,0.75025,0.0,0.25,32,7.300967216491699,0.057008348405361176
box_inpainting,lakeside_beach,0,9,0.999,174.825,0.75025,0.0,0.25,32,7.775424957275391,0.0297845508903265
box_inpainting,sea_anemone,0,9,0.999,174.825,0.75025,0.0,0.25,32,7.735915184020996,0.050366222858428955
box_inpainting,shetland_sheepdog,0,9,0.999,174.825,0.75025,0.0,0.25,32,7.888348579406738,0.07650727033615112
box_inpainting,breastplate_armor,1,0,0.0,175.0,0.8571428571428572,0.14285714285714285,0.5,64,1.1205687522888184,0.046715255826711655
box_inpainting,crane_structure,1,0,0.0,175.0,0.8571428571428572,0.14285714285714285,0.5,64,1.1423357725143433,0.07546284049749374
box_inpainting,ibex_horns,1,0,0.0,175.0,0.8571428571428572,0.14285714285714285,0.5,64,1.205782413482666,0.1479996144771576
box_inpainting,junco,1,0,0.0,175.0,0.8571428571428572,0.14285714285714285,0.5,64,1.0993804931640625,0.04702752083539963
