rank_balanced,name,source,psnr,psnr_unobs,ssim,lpips,hf,dhf,balanced_score,time_sec,kw
45,B_he_s3low,larger_box_initial,20.253,14.232,0.8562,0.1710,0.6327,0.0700,0.1809,280,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": [0.01, 0.01, 0.01, 0.001], ""num_langevin"": 10}"
46,J_dps_s3_2,exploration,17.514,11.494,0.8188,0.1584,0.6013,0.0957,0.1812,157,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""dps_kick_zeta"": [0, 0, 0, 2.0]}"
47,H_lprox05,exploration,17.523,11.502,0.8189,0.1585,0.6012,0.0958,0.1814,156,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""lambda_prox"": 0.5}"
48,H_lprox01,exploration,17.523,11.503,0.8189,0.1585,0.6011,0.0958,0.1814,161,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""lambda_prox"": 0.1}"
49,H_einject,exploration,17.523,11.503,0.8189,0.1585,0.6011,0.0959,0.1814,150,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""lambda_eps_inject"": 0.1}"
50,E_N01_A2e3,exploration,18.491,12.471,0.8210,0.1745,0.6005,0.0647,0.1819,271,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.002, ""num_langevin"": 10, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
51,N_n01_lr200,exploration,17.661,11.640,0.8096,0.1609,0.5761,0.0923,0.1821,149,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 200.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
52,D_L_s3skip,larger_box_initial,17.777,11.757,0.8270,0.1579,0.5837,0.1024,0.1841,156,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": [10, 10, 10, 1]}"
53,N_n01_lr100,exploration,17.661,11.640,0.8093,0.1646,0.5790,0.0894,0.1842,153,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 100.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
54,E_N01_C5,exploration,17.135,11.114,0.8008,0.1687,0.5841,0.0812,0.1843,147,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
55,M_C5_repeat,exploration,17.313,11.292,0.8089,0.1720,0.5838,0.0755,0.1848,161,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
