blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,74,9.475154911342543e-06,0,0.009970428422093391,1.9358314275741577,0.1836126446723938,0.007257184945046902,0.05134604871273041,0.19075952470302582,1.0,0,0,0.0,0.9852181673049927
1,67,9.986224540625699e-06,1,0.010642001405358315,1.9358046054840088,0.20516526699066162,0.007396166678518057,0.056838445365428925,0.19075952470302582,0.9722500000000001,0,1,0.111,0.9839116334915161
1,66,9.931439308275003e-06,2,0.01062399335205555,1.935734510421753,0.20683598518371582,0.007384289521723986,0.05724722146987915,0.19075952470302582,0.9445,0,2,0.222,0.977938711643219
1,66,9.507899449090473e-06,3,0.009873627685010433,1.9356796741485596,0.22179023921489716,0.007359927520155907,0.06096750497817993,0.19075952470302582,0.9167500000000001,0,3,0.333,0.970642626285553
1,65,9.789188879949506e-06,4,0.009073696099221706,1.935736894607544,0.19397319853305817,0.007371349260210991,0.05402181297540665,0.19075952470302582,0.889,0,4,0.444,0.9644033312797546
1,66,8.446299034403637e-06,5,0.008365506306290627,1.9354876279830933,0.2128601223230362,0.007430313155055046,0.058787763118743896,0.19075952470302582,0.86125,0,5,0.555,0.9576660394668579
1,66,9.719790796225425e-06,6,0.007804953958839178,1.9357151985168457,0.1962040215730667,0.007415538653731346,0.0546126589179039,0.19075952470302582,0.8335,0,6,0.666,0.9533539414405823
1,70,9.244799002772197e-06,7,0.0074211894534528255,1.9358742237091064,0.21144847571849823,0.007321259938180447,0.058353062719106674,0.19075952470302582,0.80575,0,7,0.777,0.9489904046058655
1,65,9.202692126564216e-06,8,0.00719289667904377,1.9356871843338013,0.21396374702453613,0.0074494946748018265,0.05907806009054184,0.19075952470302582,0.778,0,8,0.888,0.9437181353569031
1,63,9.978558409784455e-06,9,0.007022725883871317,1.9357407093048096,0.22308921813964844,0.007394149899482727,0.06131792068481445,0.19075952470302582,0.75025,0,9,0.999,0.9420947432518005
1,153,9.951440006261691e-06,10,0.013227979652583599,1.4889614582061768,0.1881818026304245,0.003856794210150838,0.04993804544210434,0.20476265251636505,0.8571428571428572,1,0,0.0,0.9941871166229248
1,121,9.863860213954467e-06,11,0.012689127586781979,1.4895246028900146,0.14393271505832672,0.003867935389280319,0.038884129375219345,0.20476265251636505,0.8175000000000001,1,1,0.111,0.9909699559211731
1,127,9.679063623480033e-06,12,0.012317526154220104,1.4891290664672852,0.14011885225772858,0.0038494865875691175,0.03791683167219162,0.20476265251636505,0.7778571428571429,1,2,0.222,0.9870973229408264
1,112,9.805454283196013e-06,13,0.012009454891085625,1.4889705181121826,0.13963109254837036,0.0039031291380524635,0.03783511742949486,0.20476265251636505,0.7382142857142858,1,3,0.333,0.9830958843231201
1,107,9.574425348546356e-06,14,0.011795909143984318,1.4892350435256958,0.15399561822414398,0.003847920335829258,0.04138484224677086,0.20476265251636505,0.6985714285714286,1,4,0.444,0.9776492118835449
1,93,9.57725933403708e-06,15,0.011530348099768162,1.4890563488006592,0.14019758999347687,0.0038402180653065443,0.03792956471443176,0.20476265251636505,0.6589285714285714,1,5,0.555,0.9734771251678467
1,85,9.859037163550965e-06,16,0.011259624734520912,1.4885129928588867,0.15699107944965363,0.003897390328347683,0.04217081516981125,0.20476265251636505,0.6192857142857142,1,6,0.666,0.9696140289306641
1,77,9.463193237024825e-06,17,0.010943361558020115,1.4889390468597412,0.16512273252010345,0.00390396686270833,0.04420865699648857,0.20476265251636505,0.5796428571428571,1,7,0.777,0.9669806361198425
1,71,9.411910468770657e-06,18,0.010707459412515163,1.4886542558670044,0.1525040864944458,0.003923203330487013,0.0410684235394001,0.20476265251636505,0.54,1,8,0.888,0.9631854295730591
1,61,9.967317055270541e-06,19,0.010580291040241718,1.4885873794555664,0.15611796081066132,0.003973471466451883,0.04200959950685501,0.20476265251636505,0.5003571428571428,1,9,0.999,0.9592460989952087
1,142,9.781611879589036e-06,20,0.011577649042010307,1.2085031270980835,0.18439912796020508,0.003134355880320072,0.04845055192708969,0.21508482098579407,0.6666666666666667,2,0,0.0,0.9956864714622498
1,122,9.670867257227656e-06,21,0.011458246037364006,1.208638072013855,0.1755228042602539,0.0031738500110805035,0.04626109451055527,0.21508482098579407,0.6204166666666668,2,1,0.111,0.9934014081954956
1,109,9.453749953536317e-06,22,0.011648545041680336,1.2081297636032104,0.19351135194301605,0.003174934070557356,0.05075903981924057,0.21508482098579407,0.5741666666666667,2,2,0.222,0.9909017086029053
1,92,9.996620974561665e-06,23,0.011883500963449478,1.2070300579071045,0.17617297172546387,0.0032132184132933617,0.04645315930247307,0.21508482098579407,0.5279166666666668,2,3,0.333,0.9887857437133789
1,80,9.802542990655638e-06,24,0.01197701133787632,1.2074092626571655,0.16862086951732635,0.003298305906355381,0.04462894797325134,0.21508482098579407,0.48166666666666674,2,4,0.444,0.9878000020980835
1,69,9.947948456101585e-06,25,0.012359649874269962,1.205808401107788,0.17386694252490997,0.0033131262753158808,0.04595157504081726,0.21508482098579407,0.4354166666666667,2,5,0.555,0.9851161241531372
1,60,8.942056410887744e-06,26,0.012831875123083591,1.2066256999969482,0.16557784378528595,0.0033574262633919716,0.043912529945373535,0.21508482098579407,0.38916666666666666,2,6,0.666,0.9840140342712402
1,50,9.720730304252356e-06,27,0.013585136272013187,1.204014539718628,0.16932864487171173,0.003503453452140093,0.04495975375175476,0.21508482098579407,0.34291666666666665,2,7,0.777,0.9814907312393188
1,43,8.349972631549463e-06,28,0.014856654219329357,1.2023273706436157,0.16352026164531708,0.003554439404979348,0.04354589432477951,0.21508482098579407,0.2966666666666667,2,8,0.888,0.9815680384635925
1,35,8.598313797847368e-06,29,0.016559859737753868,1.1999131441116333,0.1681879758834839,0.0036850261967629194,0.04481076821684837,0.21508482098579407,0.2504166666666667,2,9,0.999,0.9839428663253784
1,129,9.469934411754366e-06,30,0.009436266363731452,0.9717494249343872,0.1859988123178482,0.003105447394773364,0.048828791826963425,0.222158744931221,0.3999999999999999,3,0,0.0,1.0049530267715454
1,111,9.68469976214692e-06,31,0.01041741163602897,0.9692724347114563,0.18462331593036652,0.003081187140196562,0.048466723412275314,0.222158744931221,0.3555999999999999,3,1,0.111,1.0025792121887207
1,93,9.378984941577073e-06,32,0.011588477263493198,0.9668030738830566,0.17956556379795074,0.0030720457434654236,0.0471954308450222,0.222158744931221,0.3111999999999999,3,2,0.222,0.999197781085968
1,77,9.515532838122454e-06,33,0.012996630277484655,0.9662423133850098,0.1813279390335083,0.003076791763305664,0.04763957858085632,0.222158744931221,0.2668,3,3,0.333,0.9957827925682068
1,62,9.936454262060579e-06,34,0.014714584685862064,0.9624923467636108,0.1820431500673294,0.0030495738610625267,0.04779797047376633,0.222158744931221,0.22239999999999996,3,4,0.444,0.9934730529785156
1,49,8.68176266521914e-06,35,0.01717439160815307,0.9605616331100464,0.18201227486133575,0.003031781641766429,0.04777690768241882,0.222158744931221,0.17799999999999994,3,5,0.555,0.9919120073318481
1,37,7.677478606638033e-06,36,0.020981202567262307,0.9539613127708435,0.18159903585910797,0.0029519994277507067,0.04761376231908798,0.222158744931221,0.13359999999999997,3,6,0.666,0.9904710054397583
1,25,7.335475402214797e-06,37,0.027574546369058744,0.941688597202301,0.18286414444446564,0.0028019289020448923,0.04781747981905937,0.222158744931221,0.08919999999999997,3,7,0.777,0.9923543334007263
1,12,7.295231171156047e-06,38,0.044128120211618285,0.9286547899246216,0.18334190547466278,0.0026365243829786777,0.04781286418437958,0.222158744931221,0.044799999999999986,3,8,0.888,0.9903553128242493
1,1,1.0660864973033313e-06,39,0.1419714934059552,0.9285396933555603,0.1833423376083374,0.002637081779539585,0.04781339690089226,0.222158744931221,0.0004000000000000003,3,9,0.999,0.9997749924659729
