arm,h0,n_seeds,mse_hole_mean,mse_hole_std,mse_full_mean,mse_full_std,psnr_range2_mean,psnr_range2_std,x0_rms_last_mean,cg_bad_total,secs_mean
baseline,,3,0.1369,0.0021,0.0362,0.0005,20.43,0.06,0.999,0,15
h1.0,1.0,3,0.0870,0.0110,0.0234,0.0028,22.35,0.53,1.117,0,15
h0.5,0.5,3,0.0749,0.0050,0.0202,0.0013,22.98,0.27,1.030,0,21
h0.1,0.1,3,0.0994,0.0172,0.0263,0.0043,21.87,0.69,1.000,0,15
h5e-2,0.05,3,0.1241,0.0164,0.0326,0.0041,20.92,0.58,0.999,0,14
h1e-2,0.01,3,0.1538,0.0117,0.0403,0.0029,19.98,0.31,0.999,0,14
h5e-3,0.005,3,0.1621,0.0153,0.0425,0.0038,19.76,0.38,0.999,0,14
h1e-5,1e-05,3,0.1794,0.0198,0.0469,0.0049,19.33,0.45,0.999,0,14
