variant,gstep,stage,step,tau,epsilon,mse_hole,mse_total,mse_vis,mu_hole,mu_new_hole,mu_new_vis,mu_new_vs_x1hat_hole,mu_old_hole,mu_old_vis,mu_old_vs_x1hat_hole,noise_rms_hole,sample_hole,sigma_tau,x0_rms,x0hat_hole,x1hat_hole,x1hat_vis
baseline,0,0,0,0.0,0.024870169921874997,31.662050247192383,7.921504974365234,0.007989153265953064,0.08571147918701172,0.08571144193410873,0.007902858778834343,0.08190885186195374,0.08571147918701172,0.007902859710156918,0.08190890401601791,5.615722635022227,31.662050247192383,1.0,0.7606925964355469,0.6707716584205627,0.07288231700658798,0.036960117518901825
baseline,1,0,1,0.111,0.0,31.584348678588867,7.9020843505859375,0.007996143773198128,31.58366584777832,31.583303451538086,0.007903135381639004,31.596567153930664,31.58366584777832,0.007903111167252064,31.59693717956543,0.02179328167921101,31.584348678588867,0.9722500000000001,0.7310186624526978,0.6229680180549622,0.06812577694654465,0.036373015493154526
baseline,2,0,2,0.222,0.0,31.50736427307129,7.882802963256836,0.00794967170804739,31.502588272094727,31.48273277282715,0.007903075776994228,31.468948364257812,31.502588272094727,0.00790532398968935,31.488916397094727,0.17427489911170746,31.50736427307129,0.9445,0.7202174663543701,0.6778348088264465,0.06697099655866623,0.05069086700677872
baseline,3,0,3,0.333,0.0,36.21842575073242,9.060629844665527,0.008031570352613926,35.828330993652344,32.448394775390625,0.007898266427218914,32.482032775878906,35.828330993652344,0.007898470386862755,35.86326217651367,0.5435826789537782,36.21842575073242,0.9167500000000001,0.7222602963447571,0.7577419281005859,0.07470297068357468,0.061845507472753525
baseline,4,0,4,0.444,0.0,43.43796920776367,10.865455627441406,0.007951870560646057,43.637752532958984,27.73459815979004,0.007911900989711285,27.584213256835938,43.637752532958984,0.007905814796686172,43.46586227416992,1.1771799683640052,43.43796920776367,0.889,0.7046061754226685,0.9032387137413025,0.08037429302930832,0.06057615950703621
baseline,5,0,5,0.555,0.0,41.03927993774414,10.26583480834961,0.008019276894629002,38.7381706237793,12.744255065917969,0.007898514159023762,12.537373542785645,38.7381706237793,0.007899988442659378,38.40760040283203,1.460333877952304,41.03927993774414,0.86125,0.6861953735351562,1.1073484420776367,0.15817983448505402,0.10382523387670517
baseline,6,0,6,0.666,0.0,32.801212310791016,8.206363677978516,0.008079860359430313,27.161081314086914,3.959869146347046,0.007903549820184708,3.7985098361968994,27.161081314086914,0.007901378907263279,26.794904708862305,2.381465243325982,32.801212310791016,0.8335,0.6881393790245056,1.1424269676208496,0.09460300207138062,0.055349722504615784
baseline,7,0,7,0.777,0.0,25.112924575805664,6.284252166748047,0.008028813637793064,19.429885864257812,0.7494449019432068,0.00789421796798706,0.6388756632804871,19.429885864257812,0.007895760238170624,19.007911682128906,2.4662359450143274,25.112924575805664,0.80575,0.739754855632782,1.2566486597061157,0.11289039254188538,0.067955881357193
baseline,8,0,8,0.888,0.0,21.08036994934082,5.276159763336182,0.008089381270110607,13.3419828414917,0.1431727111339569,0.00790164340287447,0.10683104395866394,13.3419828414917,0.007901938632130623,13.1270112991333,2.515066617989676,21.08036994934082,0.778,0.7585119009017944,1.2357639074325562,0.07201606035232544,0.03264912590384483
baseline,9,0,9,0.999,0.0,14.346049308776855,3.592503547668457,0.007988949306309223,9.248259544372559,0.11894002556800842,0.007905267179012299,0.07405354827642441,9.248259544372559,0.007905821315944195,9.090633392333984,2.313820642251265,14.346049308776855,0.75025,0.7823774218559265,1.1520272493362427,0.09169086068868637,0.03661201894283295
