variant,trw,pre_hole,pre_obs,post_hole,post_obs
trw=0,0.0,1.0275920629501343,0.0018179035978391767,1.0275920629501343,0.0018179035978391767
trw=1,1.0,1.0275919437408447,0.0018179035978391767,1.0275919437408447,0.0
