stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,x0_steps,gamma2_scale,trw,mse_hole,mse_obs
0,0,0.0,1.0,8.467291831970215,trw=0,0.1,0.0,1,1.0,0.0,33.84592056274414,0.00774838961660862
0,1,0.111,0.9722500000000001,8.450389862060547,trw=0,0.1,0.0,1,1.0,0.0,33.778446197509766,0.007703650277107954
0,2,0.222,0.9445,8.373549461364746,trw=0,0.1,0.0,1,1.0,0.0,33.47088623046875,0.007770273368805647
0,3,0.333,0.9167500000000001,8.123489379882812,trw=0,0.1,0.0,1,1.0,0.0,32.47026443481445,0.007898299023509026
0,4,0.444,0.889,7.636849880218506,trw=0,0.1,0.0,1,1.0,0.0,30.524267196655273,0.007710175588726997
0,5,0.555,0.86125,6.784900665283203,trw=0,0.1,0.0,1,1.0,0.0,27.116308212280273,0.007764976937323809
0,6,0.666,0.8335,5.568009376525879,trw=0,0.1,0.0,1,1.0,0.0,22.248519897460938,0.007839507423341274
0,7,0.777,0.80575,4.332629203796387,trw=0,0.1,0.0,1,1.0,0.0,17.307151794433594,0.0077875456772744656
0,8,0.888,0.778,3.1824443340301514,trw=0,0.1,0.0,1,1.0,0.0,12.70615005493164,0.007875344716012478
0,9,0.999,0.75025,2.3359532356262207,trw=0,0.1,0.0,1,1.0,0.0,9.320629119873047,0.0077279615215957165
1,0,0.0,0.8571428571428572,7.4370856285095215,trw=0,0.1,0.0,1,1.0,0.0,29.732614517211914,0.005241243168711662
1,1,0.111,0.8175000000000001,6.922031402587891,trw=0,0.1,0.0,1,1.0,0.0,27.67237091064453,0.005250816233456135
1,2,0.222,0.7778571428571429,6.092399597167969,trw=0,0.1,0.0,1,1.0,0.0,24.354082107543945,0.005171941593289375
1,3,0.333,0.7382142857142858,4.785991668701172,trw=0,0.1,0.0,1,1.0,0.0,19.128259658813477,0.005235963501036167
1,4,0.444,0.6985714285714286,3.3988118171691895,trw=0,0.1,0.0,1,1.0,0.0,13.579739570617676,0.005169377662241459
1,5,0.555,0.6589285714285714,2.3148396015167236,trw=0,0.1,0.0,1,1.0,0.0,9.243260383605957,0.005366217810660601
1,6,0.666,0.6192857142857142,1.5601587295532227,trw=0,0.1,0.0,1,1.0,0.0,6.224825382232666,0.005269790533930063
1,7,0.777,0.5796428571428571,1.1621577739715576,trw=0,0.1,0.0,1,1.0,0.0,4.63271427154541,0.005305716302245855
1,8,0.888,0.54,0.8598748445510864,trw=0,0.1,0.0,1,1.0,0.0,3.4237568378448486,0.005247476045042276
1,9,0.999,0.5003571428571428,0.6731351613998413,trw=0,0.1,0.0,1,1.0,0.0,2.676884412765503,0.005218752659857273
2,0,0.0,0.6666666666666667,103.4959945678711,trw=0,0.1,0.0,1,1.0,0.0,413.9654541015625,0.006182268727570772
