task,image,stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,mse_hole,mse_obs,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged
box_inpainting,breastplate_armor,0,0,0.0,1.0,0.2000590571988071,0.009970428422093391,0.07056041061878204,2.382033348083496,0.9947441816329956,0.26991093158721924,0.0041102333925664425,16,8.333769983437378e-06,1
box_inpainting,breastplate_armor,0,1,0.111,0.9722500000000001,0.2000590571988071,0.010642001405358315,0.07136944681406021,2.3819046020507812,0.9973888397216797,0.2730766832828522,0.00413370318710804,13,8.070003786997404e-06,1
box_inpainting,breastplate_armor,0,2,0.222,0.9445,0.2000590571988071,0.01062399335205555,0.07156689465045929,2.3819422721862793,0.9829674363136292,0.27401718497276306,0.004083460196852684,13,8.116434401017614e-06,1
box_inpainting,breastplate_armor,0,3,0.333,0.9167500000000001,0.2000590571988071,0.009873627685010433,0.06802736967802048,2.381986379623413,0.9869840145111084,0.25984102487564087,0.0040894788689911366,13,8.007932592590805e-06,1
box_inpainting,breastplate_armor,0,4,0.444,0.889,0.2000590571988071,0.009073696099221706,0.06338382512331009,2.3820667266845703,0.9984487891197205,0.24104344844818115,0.004163946956396103,13,8.396739758609328e-06,1
box_inpainting,breastplate_armor,0,5,0.555,0.86125,0.2000590571988071,0.008365506306290627,0.07830382138490677,2.3819427490234375,0.9851222038269043,0.3008158206939697,0.004133154638111591,13,8.037649422476534e-06,1
box_inpainting,breastplate_armor,0,6,0.666,0.8335,0.2000590571988071,0.007804953958839178,0.059627361595630646,2.3819596767425537,1.0122591257095337,0.22607088088989258,0.004146192222833633,13,8.282680028059985e-06,1
box_inpainting,breastplate_armor,0,7,0.777,0.80575,0.2000590571988071,0.0074211894534528255,0.05292300879955292,2.382150650024414,1.0158469676971436,0.19942112267017365,0.004090310074388981,13,8.044067726586945e-06,1
box_inpainting,breastplate_armor,0,8,0.888,0.778,0.2000590571988071,0.00719289667904377,0.050997670739889145,2.3819594383239746,0.9899382591247559,0.19180893898010254,0.004060583654791117,13,7.865265615691897e-06,1
box_inpainting,breastplate_armor,0,9,0.999,0.75025,0.2000590571988071,0.007022725883871317,0.048315953463315964,2.3819093704223633,0.9699145555496216,0.18096911907196045,0.004098234698176384,13,7.952283340273425e-06,1
box_inpainting,breastplate_armor,1,0,0.0,0.8571428571428572,0.21108518838244975,0.013227979652583599,0.06818094849586487,2.0241715908050537,1.001232385635376,0.2594262659549713,0.00443250359967351,16,9.677311936684418e-06,1
box_inpainting,breastplate_armor,1,1,0.111,0.8175000000000001,0.21108518838244975,0.012689127586781979,0.061609964817762375,2.0242834091186523,1.0051027536392212,0.23315607011318207,0.004427928011864424,15,7.084945991664426e-06,1
box_inpainting,breastplate_armor,1,2,0.222,0.7778571428571429,0.21108518838244975,0.012317526154220104,0.06393542140722275,2.0245649814605713,1.0067402124404907,0.24244272708892822,0.004432986490428448,15,7.3445903581159655e-06,1
box_inpainting,breastplate_armor,1,3,0.333,0.7382142857142858,0.21108518838244975,0.012009454891085625,0.06677262485027313,2.0245532989501953,1.0015387535095215,0.2537943422794342,0.004432046785950661,15,7.030193955870345e-06,1
box_inpainting,breastplate_armor,1,4,0.444,0.6985714285714286,0.21108518838244975,0.011795909143984318,0.059081729501485825,2.0240232944488525,0.9979171752929688,0.22316306829452515,0.004387944005429745,15,7.016674317128491e-06,1
box_inpainting,breastplate_armor,1,5,0.555,0.6589285714285714,0.21108518838244975,0.011530348099768162,0.06144095957279205,2.024282455444336,1.005010962486267,0.2326701432466507,0.004364568740129471,15,7.080513114487985e-06,1
box_inpainting,breastplate_armor,1,6,0.666,0.6192857142857142,0.21108518838244975,0.011259624734520912,0.058730434626340866,2.0239503383636475,0.9920858144760132,0.22168655693531036,0.004411724861711264,15,7.219867256935686e-06,1
box_inpainting,breastplate_armor,1,7,0.777,0.5796428571428571,0.21108518838244975,0.010943361558020115,0.05186910554766655,2.0241482257843018,1.0061179399490356,0.19426369667053223,0.004404238425195217,15,6.783141543564852e-06,1
box_inpainting,breastplate_armor,1,8,0.888,0.54,0.21108518838244975,0.010707459412515163,0.059501226991415024,2.0244486331939697,1.0071406364440918,0.2246764451265335,0.004442816600203514,15,7.365550573013024e-06,1
box_inpainting,breastplate_armor,1,9,0.999,0.5003571428571428,0.21108518838244975,0.010580291040241718,0.051944464445114136,2.0240979194641113,0.9874954223632812,0.19436223804950714,0.0044718715362250805,15,9.963189768313896e-06,1
box_inpainting,breastplate_armor,2,0,0.0,0.6666666666666667,0.2203612135091675,0.011577649042010307,0.07211388647556305,1.5281949043273926,0.9937723875045776,0.25453028082847595,0.011308416724205017,20,8.954762051871512e-06,1
box_inpainting,breastplate_armor,2,1,0.111,0.6204166666666668,0.2203612135091675,0.011458246037364006,0.07375837862491608,1.5288057327270508,1.0020711421966553,0.26165786385536194,0.011125209741294384,19,8.331782737514004e-06,1
box_inpainting,breastplate_armor,2,2,0.222,0.5741666666666667,0.2203612135091675,0.011648545041680336,0.07680954784154892,1.5279879570007324,1.0010837316513062,0.27330175042152405,0.011312153190374374,19,8.450439054286107e-06,1
box_inpainting,breastplate_armor,2,3,0.333,0.5279166666666668,0.2203612135091675,0.011883500963449478,0.07407251000404358,1.5293703079223633,0.9983058571815491,0.26275065541267395,0.011179785244166851,19,7.717550943198148e-06,1
box_inpainting,breastplate_armor,2,4,0.444,0.48166666666666674,0.2203612135091675,0.01197701133787632,0.06957270205020905,1.528712511062622,0.9982717037200928,0.24468177556991577,0.011203005909919739,19,7.312542948056944e-06,1
box_inpainting,breastplate_armor,2,5,0.555,0.4354166666666667,0.2203612135091675,0.012359649874269962,0.06587020307779312,1.5288184881210327,1.0028070211410522,0.22987157106399536,0.01120307669043541,19,9.863869308901485e-06,1
box_inpainting,breastplate_armor,2,6,0.666,0.38916666666666666,nan,0.012831875123083591,0.06587020307779312,1.5288184881210327,1.0028070211410522,0.22987157106399536,0.01120307669043541,0,0.0,1
box_inpainting,breastplate_armor,2,7,0.777,0.34291666666666665,nan,0.013585136272013187,0.06587020307779312,1.5288184881210327,1.0028070211410522,0.22987157106399536,0.01120307669043541,0,0.0,1
box_inpainting,breastplate_armor,2,8,0.888,0.2966666666666667,nan,0.014856654219329357,0.06587020307779312,1.5288184881210327,1.0028070211410522,0.22987157106399536,0.01120307669043541,0,0.0,1
box_inpainting,breastplate_armor,2,9,0.999,0.2504166666666667,nan,0.016559859737753868,0.06587020307779312,1.5288184881210327,1.0028070211410522,0.22987157106399536,0.01120307669043541,0,0.0,1
