stage,tau,val,std_img,ref,ratio,pc_median,pc_q5,pc_q95
0,0.0,0.015347093718126417,0.008480415588152178,0.009970428422093391,1.5392612100919272,0.014930472243577242,0.010683784075081349,0.02144321845844388
0,0.111,0.015353579482529313,0.00811628629256587,0.010642001405358315,1.4427342092624316,0.015108023304492235,0.010795014770701527,0.020688125118613242
0,0.222,0.014371499708388,0.006951366437691467,0.01062399335205555,1.3527399003508767,0.014340732712298632,0.010414507146924734,0.01876112539321184
0,0.333,0.013303451071958988,0.005989904037837332,0.009873627685010433,1.3473721611111096,0.013330500572919846,0.009618750354275108,0.01686887936666608
0,0.444,0.012393907661084086,0.005316123843919336,0.009073696099221706,1.3659161080066555,0.012530683539807796,0.00898517742753029,0.015556089393794536
0,0.555,0.011647834467701615,0.004829402871796719,0.008365506306290627,1.3923645552622164,0.011777366045862436,0.008443499030545355,0.01458793319761753
0,0.666,0.0110342050162144,0.00446831651739637,0.007804953958839178,1.4137437676641342,0.01117415027692914,0.007985192444175481,0.013719114754348992
0,0.777,0.010528854842763394,0.0041952843397000915,0.0074211894534528255,1.4187557006599094,0.010645903646945953,0.007634525140747428,0.013061450701206923
0,0.888,0.010108030313625931,0.003982051606863966,0.00719289667904377,1.405279509029414,0.010201225522905588,0.00732631275895983,0.012630018964409828
0,0.999,0.009770274467300624,0.003826757762806603,0.007022725883871317,1.3912367688648422,0.009847152978181839,0.0070578935090452434,0.01223571137525141
1,0.0,0.019326792567037045,0.007797005276160883,0.013227979652583599,1.4610539987686075,0.019350782968103886,0.014038816187530756,0.02452615825459361
1,0.111,0.017752951610833408,0.007285428228750743,0.012689127586781979,1.3990679413867915,0.017617198638617992,0.012811860488727688,0.022784337680786845
1,0.222,0.016621877911500632,0.006953529499405676,0.012317526154220104,1.3494493702216184,0.016485437750816345,0.011928581958636641,0.021829239185899494
1,0.333,0.01578693637670949,0.0067365015983348086,0.012009454891085625,1.3145422935413842,0.015586521942168474,0.011128544015809894,0.021120064426213503
1,0.444,0.015169071976095438,0.006613462297073678,0.011795909143984318,1.285960394483995,0.014936944004148245,0.010535303922370075,0.02028050450608134
1,0.555,0.014728917451575398,0.006552575138885554,0.011530348099768162,1.277404404804704,0.014430040027946234,0.010090941889211535,0.020074450131505727
1,0.666,0.014430135814473033,0.006531785294916474,0.011259624734520912,1.2815823044467585,0.014140419196337461,0.009772753296419977,0.019848552346229554
1,0.777,0.014257467959076167,0.006558121307073608,0.010943361558020115,1.3028417167325725,0.013897276017814875,0.00951288607902825,0.01970272660255432
1,0.888,0.014196913473773748,0.006623752402341111,0.010707459412515163,1.3258900105827174,0.013851059135049582,0.009351232694461942,0.019793379306793212
1,0.999,0.014269322261214256,0.006737979766595319,0.010580291040241718,1.3486701081228725,0.01390102319419384,0.009243982564657926,0.020156570803374046
2,0.0,0.01529544176114723,0.007942855987024398,0.011577649042010307,1.3211181048627967,0.014769148547202349,0.00985625758767128,0.02227933062240481
2,0.111,0.015238513279240579,0.008148481484097714,0.011458246037364006,1.3299167455079566,0.014670500997453928,0.009494066936895251,0.022291923034936184
2,0.222,0.015321804254781454,0.008419089720588038,0.011648545041680336,1.315340602620981,0.01472456008195877,0.009329094970598816,0.02288843737915158
2,0.333,0.01552855058852583,0.008737203819031817,0.011883500963449478,1.306731966975689,0.015009392984211445,0.009297271305695177,0.023524139542132616
2,0.444,0.015861635412089528,0.009104093615242283,0.01197701133787632,1.3243400181085578,0.015403853263705969,0.009173181327059864,0.024509562365710735
2,0.555,0.016341459535062313,0.009532916775240102,0.012359649874269962,1.3221620111651862,0.015907276421785355,0.009210969787091017,0.02568896189332008
2,0.666,0.017002022784668953,0.010038341822002729,0.012831875123083591,1.3249834978586703,0.016493365168571472,0.009480814635753631,0.02693468760699033
2,0.777,0.017894823524635284,0.010641548186262425,0.013585136272013187,1.3172354819509986,0.017550654709339142,0.009741776064038277,0.028669441025704144
2,0.888,0.019101032599806785,0.011370120827046906,0.014856654219329357,1.2856887101104668,0.018774814903736115,0.01015884531661868,0.030494477879256007
2,0.999,0.020766042752657084,0.012270396519123,0.016559859737753868,1.2539987102254122,0.020439560525119305,0.010947352647781372,0.033131979592144485
3,0.0,0.011779009823920205,0.008518055726051865,0.009436266363731452,1.2482701706252328,0.011352576781064272,0.00581030601169914,0.01974354311823845
3,0.111,0.012813518145121635,0.009442759258636337,0.01041741163602897,1.230009775250279,0.012330311350524426,0.00610590388532728,0.021853793784976004
3,0.222,0.013912258269730955,0.01036750569378713,0.011588477263493198,1.2005251383249713,0.013328542467206717,0.0064829369774088265,0.02394561311230063
3,0.333,0.015146614878904074,0.011232103391537145,0.012996630277484655,1.1654263109372318,0.014440634287893772,0.0069102428155019885,0.026101094670593725
3,0.444,0.01667320995638147,0.012090078020486365,0.014714584685862064,1.1331077507339553,0.016045271418988705,0.0075242112390697,0.02859260197728871
3,0.555,0.018772263581398874,0.013047270726216127,0.01717439160815307,1.093038053964442,0.018141932785511017,0.00854742475785315,0.031825792789459226
3,0.666,0.022014024114236235,0.014283033561486427,0.020981202567262307,1.0492260414369896,0.021464357152581215,0.010472887195646763,0.0365663705393672
3,0.777,0.027892751374281943,0.01620951040248129,0.027574546369058744,1.011539809248875,0.0273460503667593,0.014430755656212569,0.04506328105926513
3,0.888,0.04251434523612261,0.020419107810085775,0.044128120211618285,0.9634297820129942,0.04209740459918976,0.024565278738737106,0.06211007125675677
3,0.999,0.14370020731538535,0.014288775423145252,0.1419714934059552,1.0121764860533449,0.14464545994997025,0.13292585238814353,0.1522009268403053
