frame,stage,step,tau,sigma_tau,gamma2,s2,h_range,h_ker,H_is_scalar,h_over_sigma,h2_over_sigma2,inv_s2_prior,prec_prior_range,prec_prior_ker,prec_data_max,data_over_prior
0,0,0,0.0,1.0,0.009970428422093391,0.2000590571988071,0.0,0.0,0,0.0,0.0,4.998524005870216,4.998524005870216,4.998524005870216,24870.170593261715,4975.502881261436
1,0,1,0.111,0.9722500000000001,0.010642001405358315,0.2000590571988071,0.02775,0.02775,0,0.028542041655952685,0.0008146481418901383,4.998524005870216,4.9993386540121065,4.9993386540121065,24870.17211914062,4974.692422403036
2,0,2,0.222,0.9445,0.01062399335205555,0.2000590571988071,0.0555,0.0555,0,0.05876124933827422,0.0034528844237948324,4.998524005870216,5.001976890294011,5.001976890294011,24870.16906738281,4972.067966895578
3,0,3,0.333,0.9167500000000001,0.009873627685010433,0.2000590571988071,0.08325,0.08325,0,0.09080992637032997,0.008246442727384751,4.998524005870216,5.006770448597601,5.006770448597601,24870.170593261715,4967.307938039752
4,0,4,0.444,0.889,0.009073696099221706,0.2000590571988071,0.111,0.111,0,0.12485939257592801,0.015589867914429706,4.998524005870216,5.014113873784646,5.014113873784646,24870.17211914062,4960.033366846664
5,0,5,0.555,0.86125,0.008365506306290627,0.2000590571988071,0.13875,0.13875,0,0.16110304789550076,0.025954192041220004,4.998524005870216,5.024478197911436,5.024478197911436,24870.170593261715,4949.8016736543295
6,0,6,0.666,0.8335,0.007804953958839178,0.2000590571988071,0.1665,0.1665,0,0.19976004799040192,0.039904076773127684,4.998524005870216,5.038428082643343,5.038428082643343,24870.170593261715,4936.097168665731
7,0,7,0.777,0.80575,0.0074211894534528255,0.2000590571988071,0.19425,0.19425,0,0.24107973937325475,0.058119440736276444,4.998524005870216,5.0566434466064925,5.0566434466064925,24870.16906738281,4918.315742446336
8,0,8,0.888,0.778,0.00719289667904377,0.2000590571988071,0.222,0.222,0,0.2853470437017995,0.08142293534935667,4.998524005870216,5.079946941219573,5.079946941219573,24870.170593261715,4895.754007086339
9,0,9,0.999,0.75025,0.007022725883871317,0.2000590571988071,0.24975,0.24975,0,0.3328890369876708,0.11081511094657885,4.998524005870216,5.109339116816795,5.109339116816795,24870.17211914062,4867.59080783723
