stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.2000590571988071,0.009970428422093391,0.07025172561407089,1.9351037740707397,0.9984534382820129,0.2570357024669647,0.00799041148275137,0,0.0859854444861412,16.676350507164614,0.9969093203544617,0.2782900631427765,0.021883917972445488
0,1,0.111,0.9722500000000001,0.2000590571988071,0.010642001405358315,0.06970777362585068,1.935173749923706,1.0024131536483765,0.2546708881855011,0.00805339589715004,1,0.08544149249792099,16.703911652910698,1.0048320293426514,0.27592524886131287,0.021946899592876434
0,2,0.222,0.9445,0.2000590571988071,0.01062399335205555,0.07190606743097305,1.9350627660751343,0.9874684810638428,0.263832688331604,0.007930532097816467,2,0.08763979375362396,16.59358644481381,0.9750940203666687,0.28508704900741577,0.02182403765618801
0,3,0.333,0.9167500000000001,0.2000590571988071,0.009873627685010433,0.07606974989175797,1.9350829124450684,0.984796941280365,0.28005826473236084,0.00807357206940651,3,0.09180347621440887,16.392008648963028,0.969825029373169,0.301312655210495,0.021967075765132904
0,4,0.444,0.889,0.2000590571988071,0.009073696099221706,0.07176290452480316,1.935100793838501,0.9963954091072083,0.2632417380809784,0.0079366285353899,4,0.08749663084745407,16.600686609631367,0.9928037524223328,0.28449609875679016,0.021830134093761444
0,5,0.555,0.86125,0.2000590571988071,0.008365506306290627,0.07936283946037292,1.9353243112564087,1.0142160654067993,0.2933119833469391,0.008046451956033707,5,0.09509655833244324,16.238951917856653,1.0286343097686768,0.31456634402275085,0.02193995751440525
0,6,0.666,0.8335,0.2000590571988071,0.007804953958839178,0.08535788953304291,1.9351004362106323,0.9994902014732361,0.3176482915878296,0.007927760481834412,6,0.10109161585569382,15.973448529337608,0.9989806413650513,0.33890262246131897,0.021821264177560806
0,7,0.777,0.80575,0.2000590571988071,0.0074211894534528255,0.07298871874809265,1.9351577758789062,0.9999520182609558,0.2681688964366913,0.007928661070764065,7,0.08872245252132416,16.540264529822107,0.9999040961265564,0.28942328691482544,0.021822165697813034
0,8,0.888,0.778,0.2000590571988071,0.00719289667904377,0.06799789518117905,1.9352893829345703,1.0010098218917847,0.24778962135314941,0.008067317306995392,8,0.08373161405324936,16.79170528357296,1.0020205974578857,0.26904401183128357,0.021960821002721786
0,9,0.999,0.75025,0.2000590571988071,0.007022725883871317,0.07888619601726532,1.9352389574050903,0.9947441816329956,0.29166680574417114,0.007959314621984959,9,0.09461991488933563,16.260774382633606,0.989516019821167,0.3129211664199829,0.021852819249033928
1,0,0.0,0.8571428571428572,0.21108518838244975,0.013227979652583599,0.0779239684343338,1.485526204109192,1.0054298639297485,0.29602277278900146,0.00522436760365963,10,0.08617663383483887,16.666704653201737,1.0108892917633057,0.30830860137939453,0.012132654897868633
1,1,0.111,0.8175000000000001,0.21108518838244975,0.012689127586781979,0.07156871259212494,1.4852981567382812,1.0118118524551392,0.27099815011024475,0.005092228297144175,11,0.07982137799263,16.999407703927417,1.0237631797790527,0.2832839787006378,0.01200051512569189
1,2,0.222,0.7778571428571429,0.21108518838244975,0.012317526154220104,0.07341349124908447,1.4850876331329346,0.995127260684967,0.27816042304039,0.005164502654224634,12,0.08166616410017014,16.900178342854737,0.9902782440185547,0.29044628143310547,0.012072790414094925
1,3,0.333,0.7382142857142858,0.21108518838244975,0.012009454891085625,0.06780222803354263,1.4853520393371582,1.009765863418579,0.2555218040943146,0.005229031667113304,13,0.0760548934340477,17.209328291778046,1.0196270942687988,0.26780763268470764,0.012137318961322308
1,4,0.444,0.6985714285714286,0.21108518838244975,0.011795909143984318,0.07356268912553787,1.485159158706665,1.0087523460388184,0.2788042426109314,0.005148833617568016,14,0.08181536197662354,16.892251351469273,1.0175812244415283,0.29109007120132446,0.012057119980454445
1,5,0.555,0.6589285714285714,0.21108518838244975,0.011530348099768162,0.07252797484397888,1.4852666854858398,0.9954444169998169,0.2745136618614197,0.005199410952627659,15,0.08078064769506454,16.94752660329289,0.9909095764160156,0.28679946064949036,0.012107696384191513
