arm,frame,tau,sigma_tau,draw,mse_hole_x1hat,mse_hole_out,delta_block1,inj_hole,cg_iters,cg_resid,s2_scalar_equiv,hole_spread
pooled_junco,32,0.222,0.3111999999999999,0,0.08430609852075577,0.13484053313732147,0.050534434616565704,0.05074388161301613,3,7.832912096716882e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,1,0.08430609852075577,0.13581548631191254,0.05150938779115677,0.051535870879888535,3,6.85162759861413e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,2,0.08430609852075577,0.13621391355991364,0.05190781503915787,0.0516827292740345,3,9.202671263919271e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,3,0.08430609852075577,0.13574367761611938,0.05143757909536362,0.05132757127285004,3,1.066882693301352e-10,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,4,0.08430609852075577,0.13624124228954315,0.051935143768787384,0.05211278796195984,3,6.70532795954415e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,5,0.08430609852075577,0.13590644299983978,0.051600344479084015,0.05100073292851448,3,5.689134233155535e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,6,0.08430609852075577,0.13555394113063812,0.051247842609882355,0.051043737679719925,3,6.764282883819916e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,7,0.08430609852075577,0.13550297915935516,0.051196880638599396,0.05142976716160774,3,8.85087836355325e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,8,0.08430609852075577,0.1359574943780899,0.05165139585733414,0.05091075226664543,3,2.0823515134438253e-10,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,9,0.08430609852075577,0.13450247049331665,0.05019637197256088,0.05069863796234131,3,7.523032197198631e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,10,0.08430609852075577,0.1363738626241684,0.05206776410341263,0.052181750535964966,3,6.420814574470413e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,11,0.08430609852075577,0.13679970800876617,0.052493609488010406,0.05152515694499016,3,1.481916811485462e-10,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,12,0.08430609852075577,0.13630311191082,0.05199701339006424,0.05157614126801491,3,5.759103610669669e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,13,0.08430609852075577,0.1357373148202896,0.051431216299533844,0.05161287263035774,3,1.1264509464092853e-10,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,14,0.08430609852075577,0.13560642302036285,0.051300324499607086,0.05131617560982704,3,9.00545402138242e-11,0.05543326541794339,0.22296282649040222
pooled_junco,32,0.222,0.3111999999999999,15,0.08430609852075577,0.13476866483688354,0.05046256631612778,0.051435694098472595,3,1.0131000899304965e-10,0.05543326541794339,0.22296282649040222
pooled_junco,35,0.555,0.17799999999999994,0,0.10362058132886887,0.1366652399301529,0.03304465860128403,0.03319406881928444,3,2.580288482878501e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,1,0.10362058132886887,0.13681572675704956,0.033195145428180695,0.03345729410648346,3,2.0290302771286406e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,2,0.10362058132886887,0.13695485889911652,0.03333427757024765,0.03352159634232521,3,2.7094321231047047e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,3,0.10362058132886887,0.1371072381734848,0.033486656844615936,0.033351216465234756,3,1.9375105686503247e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,4,0.10362058132886887,0.1374235302209854,0.03380294889211655,0.033738818019628525,3,2.0052949578630574e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,5,0.10362058132886887,0.1367999166250229,0.03317933529615402,0.0329120047390461,3,2.4170132562062463e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,6,0.10362058132886887,0.13697384297847748,0.03335326164960861,0.03304225951433182,3,2.0020696211986433e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,7,0.10362058132886887,0.13755004107952118,0.03392945975065231,0.033623382449150085,3,3.2620883771983245e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,8,0.10362058132886887,0.13747180998325348,0.03385122865438461,0.033033791929483414,3,3.4677619109579894e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,9,0.10362058132886887,0.13584758341312408,0.03222700208425522,0.0330590084195137,3,2.558787626227854e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,10,0.10362058132886887,0.13707317411899567,0.0334525927901268,0.0336981825530529,3,2.0995190308514822e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,11,0.10362058132886887,0.13714700937271118,0.033526428043842316,0.03316042572259903,3,2.231568402288886e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,12,0.10362058132886887,0.1380951851606369,0.034474603831768036,0.03358076512813568,3,2.1049502418879484e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,13,0.10362058132886887,0.1372099369764328,0.033589355647563934,0.0333377830684185,3,2.0414503421051222e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,14,0.10362058132886887,0.13735893368721008,0.03373835235834122,0.033511992543935776,3,2.580775038119043e-10,0.05543326541794339,0.1796277016401291
pooled_junco,35,0.555,0.17799999999999994,15,0.10362058132886887,0.13611118495464325,0.032490603625774384,0.033326055854558945,3,2.0682988655096324e-10,0.05543326541794339,0.1796277016401291
pooled_junco,37,0.777,0.08919999999999997,0,0.13654166460037231,0.14657913148403168,0.010037466883659363,0.010027039796113968,3,2.2086737994087002e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,1,0.13654166460037231,0.14639894664287567,0.009857282042503357,0.01005158107727766,3,2.7895519227882914e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,2,0.13654166460037231,0.14658214151859283,0.01004047691822052,0.010052114725112915,3,2.1481816325774616e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,3,0.13654166460037231,0.14649486541748047,0.009953200817108154,0.010029359720647335,3,2.457792580567997e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,4,0.13654166460037231,0.1466381698846817,0.010096505284309387,0.010062363930046558,3,2.0768532726922473e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,5,0.13654166460037231,0.1465294361114502,0.00998777151107788,0.009872113354504108,3,2.585250069575551e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,6,0.13654166460037231,0.14652876555919647,0.009987100958824158,0.009944407269358635,3,2.794475484346748e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,7,0.13654166460037231,0.1466129869222641,0.010071322321891785,0.010091357864439487,3,3.5165853562446614e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,8,0.13654166460037231,0.1467301994562149,0.01018853485584259,0.009908473119139671,3,2.431911061417935e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,9,0.13654166460037231,0.14648663997650146,0.00994497537612915,0.009997892193496227,3,2.1953941442554026e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,10,0.13654166460037231,0.14675621688365936,0.010214552283287048,0.01007604505866766,3,1.899680829309247e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,11,0.13654166460037231,0.1466878056526184,0.010146141052246094,0.00984786543995142,3,2.1851254139448884e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,12,0.13654166460037231,0.1465882807970047,0.010046616196632385,0.010077507235109806,3,3.774041912318893e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,13,0.13654166460037231,0.14603523910045624,0.009493574500083923,0.009932950139045715,3,1.860333415093507e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,14,0.13654166460037231,0.14698858559131622,0.010446920990943909,0.010068834759294987,3,2.6480578840804014e-10,0.05543326541794339,0.09836279600858688
pooled_junco,37,0.777,0.08919999999999997,15,0.13654166460037231,0.14600567519664764,0.00946401059627533,0.01000522542744875,3,2.2229881824209485e-10,0.05543326541794339,0.09836279600858688
