stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full,arm
0,0,0.0,1.0,0.03969954352354733,0.009970428422093391,0.03815827518701553,1.9352015256881714,1.0024131536483765,19,7.743003152427264e-06,1,0.12885628640651703,0.007925604470074177,0,0.053891997784376144,18.705357080724664,1.0048320293426514,0.15011066198349,0.021819109097123146,pooled_junco
0,1,0.111,0.9722500000000001,0.03969954352354733,0.010642001405358315,0.041941724717617035,1.9351423978805542,0.984796941280365,15,7.797334546921775e-06,1,0.1439223438501358,0.00794818252325058,1,0.05767544358968735,18.410690479040102,0.9698249697685242,0.16517670452594757,0.021841686218976974,pooled_junco
0,2,0.222,0.9445,0.03969954352354733,0.01062399335205555,0.04166405275464058,1.9353786706924438,1.0142161846160889,15,7.922725671960507e-06,1,0.14288575947284698,0.007923481985926628,2,0.05739777535200119,18.43164931178649,1.0286344289779663,0.16414014995098114,0.021816987544298172,pooled_junco
0,3,0.333,0.9167500000000001,0.03969954352354733,0.009873627685010433,0.038569897413253784,1.9352389574050903,0.9999520778656006,15,7.852634553273674e-06,1,0.13086234033107758,0.007805747911334038,3,0.0543036162853241,18.672312394469202,0.9999041557312012,0.15211671590805054,0.021699251607060432,pooled_junco
0,4,0.444,0.889,0.03969954352354733,0.009073696099221706,0.05306696891784668,1.9353214502334595,0.9947441220283508,15,7.883248144935351e-06,1,0.1887410432100296,0.007842276245355606,4,0.06880069524049759,17.64467164464746,0.9895159006118774,0.20999543368816376,0.021735779941082,pooled_junco
0,5,0.555,0.86125,0.03969954352354733,0.008365506306290627,0.036706700921058655,1.9352167844772339,1.0126255750656128,15,8.402190360357054e-06,1,0.12309092283248901,0.007911963388323784,5,0.052440427243709564,18.823937700027145,1.025410532951355,0.14434528350830078,0.021805468946695328,pooled_junco
0,6,0.666,0.8335,0.03969954352354733,0.007804953958839178,0.047110140323638916,1.9352718591690063,0.9999905228614807,15,7.75479475123575e-06,1,0.16480426490306854,0.007878768257796764,6,0.06284386664628983,18.037970929440277,0.9999811053276062,0.1860586404800415,0.021772272884845734,pooled_junco
0,7,0.777,0.80575,0.03969954352354733,0.0074211894534528255,0.04192289710044861,1.9352035522460938,1.0016690492630005,15,7.4116046562267e-06,1,0.14404098689556122,0.00788353756070137,7,0.05765662342309952,18.412107863603104,1.0033409595489502,0.16529534757137299,0.021777043119072914,pooled_junco
0,8,0.888,0.778,0.03969954352354733,0.00719289667904377,0.03666766732931137,1.935304045677185,0.994405210018158,15,8.273656931123696e-06,1,0.12333816289901733,0.007777499035000801,8,0.05240138992667198,18.827171846977052,0.988841712474823,0.1445925384759903,0.021671004593372345,pooled_junco
0,9,0.999,0.75025,0.03969954352354733,0.007022725883871317,0.03670599311590195,1.9351557493209839,0.9973888993263245,15,7.2001498665486e-06,1,0.12344983220100403,0.0077913785353302956,9,0.05243971571326256,18.823996627053393,0.9947845935821533,0.144704207777977,0.021684883162379265,pooled_junco
