alg,stage,step,tau,sigma_tau,mse_total,mse_obs,mse_hole,meas_resid,x0_rms,x0hat_rms,mse_x1hat
main,0,0,0.0,1.0,7.921501159667969,0.00798915233463049,31.662038803100586,0.4914455711841583,0.7509024143218994,0.7606925368309021,nan
main,0,1,0.111,0.9722500000000001,7.902081489562988,0.007996142841875553,31.584335327148438,0.4914144277572632,0.7250731587409973,0.7327227592468262,129.36724853515625
main,0,2,0.222,0.9445,7.882800579071045,0.00794967357069254,31.507354736328125,0.4914263188838959,0.7270129323005676,0.7384898066520691,30.634292602539062
main,0,3,0.333,0.9167500000000001,9.060628890991211,0.008031568489968777,36.21841812133789,0.49143579602241516,0.7291238903999329,0.7719945907592773,12.777911186218262
main,0,4,0.444,0.889,10.865457534790039,0.007951868698000908,43.43796920776367,0.4914153814315796,0.7067265510559082,0.7879037261009216,7.084753036499023
main,0,5,0.555,0.86125,10.265836715698242,0.008019276894629002,41.03928756713867,0.4914795160293579,0.6918745636940002,0.7968650460243225,4.08588981628418
main,0,6,0.666,0.8335,8.206366539001465,0.008079861290752888,32.80122375488281,0.4913943111896515,0.6965487599372864,0.7987435460090637,2.684765577316284
main,0,7,0.777,0.80575,6.284244537353516,0.008028813637793064,25.112892150878906,0.4914519488811493,0.7352795600891113,0.8327995538711548,1.8972111940383911
main,0,8,0.888,0.778,5.276159286499023,0.008089382201433182,21.080366134643555,0.49147874116897583,0.751264750957489,0.8214141130447388,1.263809323310852
main,0,9,0.999,0.75025,3.5925049781799316,0.007988949306309223,14.346051216125488,0.4914298951625824,0.7556496858596802,0.8199036121368408,0.9597725868225098
main,1,0,0.0,0.8571428571428572,28.56232261657715,0.005245543550699949,114.23355865478516,0.377181738615036,0.7746462821960449,0.802767813205719,nan
main,1,1,0.111,0.8175000000000001,30.632701873779297,0.005299175623804331,122.5149154663086,0.3770759701728821,0.7323659062385559,0.8164159655570984,17.421178817749023
main,1,2,0.222,0.7778571428571429,20.805246353149414,0.005272453185170889,83.20516967773438,0.37718260288238525,0.7523283958435059,0.9084478616714478,4.2316694259643555
main,1,3,0.333,0.7382142857142858,11.34397029876709,0.0052604079246521,45.3600959777832,0.37724342942237854,0.7746192812919617,0.9687432646751404,1.9215192794799805
main,1,4,0.444,0.6985714285714286,6.858735084533691,0.005277192685753107,27.41910743713379,0.377163827419281,0.7829741835594177,0.9508380889892578,1.0053125619888306
main,1,5,0.555,0.6589285714285714,4.054960250854492,0.005303327459841967,16.203929901123047,0.37716418504714966,0.7970808744430542,0.9343796968460083,0.633910596370697
main,1,6,0.666,0.6192857142857142,2.438375234603882,0.0052843764424324036,9.73764705657959,0.37726297974586487,0.8015779852867126,0.8789131045341492,0.44899043440818787
main,1,7,0.777,0.5796428571428571,1.659320592880249,0.005330628715455532,6.621290683746338,0.3771804869174957,0.8079161047935486,0.85867840051651,0.33298370242118835
main,1,8,0.888,0.54,1.1564511060714722,0.005304079968482256,4.609891891479492,0.37718284130096436,0.7987016439437866,0.8299740552902222,0.27321574091911316
main,1,9,0.999,0.5003571428571428,0.823042094707489,0.005248304922133684,3.276423454284668,0.37709707021713257,0.8050960898399353,0.8283742666244507,0.22273480892181396
main,2,0,0.0,0.6666666666666667,109.52144622802734,0.008140276186168194,438.0613708496094,0.30149951577186584,0.7827031016349792,0.8094619512557983,nan
main,2,1,0.111,0.6204166666666668,91.30908203125,0.008083046413958073,365.2120666503906,0.3019305467605591,0.8123263716697693,1.2483198642730713,4.515377521514893
main,2,2,0.222,0.5741666666666667,46.22784423828125,0.008253788575530052,184.8866424560547,0.301654577255249,0.8109486699104309,1.7574172019958496,1.044608473777771
main,2,3,0.333,0.5279166666666668,20.377967834472656,0.008218053728342056,81.48721313476562,0.30184659361839294,0.7880251407623291,1.8957825899124146,0.5567867159843445
main,2,4,0.444,0.48166666666666674,9.491912841796875,0.008161081001162529,37.94316482543945,0.3018564283847809,0.7976747155189514,1.8313943147659302,0.38251471519470215
main,2,5,0.555,0.4354166666666667,4.665760040283203,0.008204979822039604,18.638425827026367,0.30169740319252014,0.8097496628761292,1.6923058032989502,0.28676989674568176
main,2,6,0.666,0.38916666666666666,2.4316720962524414,0.008146541193127632,9.702248573303223,0.30173590779304504,0.8109771609306335,1.5679312944412231,0.2188272625207901
main,2,7,0.777,0.34291666666666665,1.3196241855621338,0.008090328425168991,5.254225254058838,0.3015078604221344,0.8115013837814331,1.4556952714920044,0.1726893037557602
main,2,8,0.888,0.2966666666666667,0.7741033434867859,0.008102021180093288,3.0721073150634766,0.30175840854644775,0.8170442581176758,1.304010272026062,0.16189803183078766
main,2,9,0.999,0.2504166666666667,0.5041550397872925,0.008022447116672993,1.992552638053894,0.3012372851371765,0.8232957720756531,1.1797783374786377,0.16204743087291718
main,3,0,0.0,0.3999999999999999,0.6010924577713013,0.0049773892387747765,2.389437437057495,0.2534147799015045,0.8336180448532104,0.9179919362068176,0.25528600811958313
main,3,1,0.111,0.3555999999999999,0.46837300062179565,0.004979669116437435,1.8585530519485474,0.25352975726127625,0.8096486330032349,0.8734889626502991,0.24611400067806244
main,3,2,0.222,0.3111999999999999,0.3902158737182617,0.004968471825122833,1.545958161354065,0.25335803627967834,0.8121715784072876,0.8581573367118835,0.23956036567687988
main,3,3,0.333,0.2668,0.3369360864162445,0.004937790334224701,1.3329309225082397,0.2530463933944702,0.8117351531982422,0.8479941487312317,0.2388400286436081
