frame,stage,step,tau,kind,sigma_tau,gamma2,s2,h_tau,C_inv,rep,delta_planted,d_in,d_hat,d_out,endpoint_gain,block1_gain,net_gain
32,3,2,0.222,replay,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,nan,3.521770477294922,2.463718891143799,2.570568084716797,-1.058051586151123,0.10684919357299805,-0.951202392578125
34,3,4,0.444,gauss,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,0.02,0.01993642747402191,0.013592799194157124,0.07378825545310974,-0.006343628279864788,0.06019545625895262,0.05385182797908783
34,3,4,0.444,gauss,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,0.05,0.04923909902572632,0.05286495387554169,0.11272092908620834,0.0036258548498153687,0.059855975210666656,0.06348183006048203
34,3,4,0.444,gauss,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,0.1,0.09912960976362228,0.13421812653541565,0.19710154831409454,0.035088516771793365,0.0628834217786789,0.09797193855047226
34,3,4,0.444,gauss,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,0.2,0.19967634975910187,0.2746099531650543,0.3381015360355377,0.07493360340595245,0.0634915828704834,0.13842518627643585
34,3,4,0.444,gauss,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,0.4,0.4028348922729492,0.42506900429725647,0.48581716418266296,0.02223411202430725,0.060748159885406494,0.08298227190971375
34,3,4,0.444,gauss,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,0.8,0.8119571805000305,0.5025691390037537,0.563154935836792,-0.30938804149627686,0.06058579683303833,-0.24880224466323853
34,3,4,0.444,gauss,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,1.6,1.6058119535446167,0.6741106510162354,0.7360855937004089,-0.9317013025283813,0.061974942684173584,-0.8697263598442078
34,3,4,0.444,gauss,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,3.2,3.193866014480591,1.085625171661377,1.1461420059204102,-2.108240842819214,0.0605168342590332,-2.0477240085601807
34,3,4,0.444,replay,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,16.607132299773703,0,nan,3.521770477294922,3.256610631942749,3.3236618041992188,-0.26515984535217285,0.06705117225646973,-0.19810867309570312
36,3,6,0.666,gauss,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,0.02,0.019870342686772346,0.018565017729997635,0.040321383625268936,-0.0013053249567747116,0.0217563658952713,0.02045104093849659
36,3,6,0.666,gauss,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,0.05,0.050080522894859314,0.057004839181900024,0.07859217375516891,0.0069243162870407104,0.02158733457326889,0.0285116508603096
36,3,6,0.666,gauss,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,0.1,0.10115301609039307,0.12351372092962265,0.14578618109226227,0.022360704839229584,0.022272460162639618,0.0446331650018692
36,3,6,0.666,gauss,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,0.2,0.19879455864429474,0.23549513518810272,0.2569971978664398,0.03670057654380798,0.021502062678337097,0.05820263922214508
36,3,6,0.666,gauss,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,0.4,0.3979620039463043,0.43228814005851746,0.4539402425289154,0.034326136112213135,0.02165210247039795,0.055978238582611084
36,3,6,0.666,gauss,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,0.8,0.8056344389915466,0.6917445659637451,0.7130141258239746,-0.11388987302780151,0.021269559860229492,-0.09262031316757202
36,3,6,0.666,gauss,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,1.6,1.604467511177063,1.0723844766616821,1.0965359210968018,-0.5320830345153809,0.02415144443511963,-0.5079315900802612
36,3,6,0.666,gauss,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,3.2,3.234563112258911,1.882175326347351,1.9038225412368774,-1.35238778591156,0.021647214889526367,-1.3307405710220337
36,3,6,0.666,replay,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,46.43791254084968,0,nan,3.521770477294922,3.4977896213531494,3.521267890930176,-0.02398085594177246,0.023478269577026367,-0.0005025863647460938
38,3,8,0.888,gauss,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,0.02,0.01979677565395832,0.020624572411179543,0.022841379046440125,0.0008277967572212219,0.002216806635260582,0.003044603392481804
38,3,8,0.888,gauss,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,0.05,0.050038501620292664,0.0526723749935627,0.05476522818207741,0.002633873373270035,0.0020928531885147095,0.004726726561784744
38,3,8,0.888,gauss,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,0.1,0.09957488626241684,0.10379421710968018,0.10620170831680298,0.004219330847263336,0.0024074912071228027,0.006626822054386139
38,3,8,0.888,gauss,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,0.2,0.1999109536409378,0.20602549612522125,0.20838363468647003,0.006114542484283447,0.0023581385612487793,0.008472681045532227
38,3,8,0.888,gauss,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,0.4,0.40109172463417053,0.40489324927330017,0.4069483280181885,0.0038015246391296387,0.0020550787448883057,0.005856603384017944
38,3,8,0.888,gauss,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,0.8,0.7992809414863586,0.7766707539558411,0.7789303660392761,-0.022610187530517578,0.0022596120834350586,-0.02035057544708252
38,3,8,0.888,gauss,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,1.6,1.6100760698318481,1.4930216073989868,1.4952821731567383,-0.11705446243286133,0.002260565757751465,-0.11479389667510986
38,3,8,0.888,gauss,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,3.2,3.1935949325561523,2.7834064960479736,2.7862396240234375,-0.4101884365081787,0.002833127975463867,-0.40735530853271484
38,3,8,0.888,replay,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,458.9856155431309,0,nan,3.521770477294922,3.54681658744812,3.5487987995147705,0.025046110153198242,0.0019822120666503906,0.027028322219848633
