stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.03969954352354733,0.009970428422093391,0.03775806725025177,1.9351534843444824,0.9963954091072083,19,7.79084803070873e-06,1,0.1275821179151535,0.00781671516597271,0,0.05349179357290268,18.737728313511447,0.9928037524223328,0.14883649349212646,0.021710220724344254
0,1,0.111,0.9722500000000001,0.03969954352354733,0.010642001405358315,0.03902071714401245,1.9353127479553223,0.9947441816329956,15,7.916697541077156e-06,1,0.13256090879440308,0.0078406548127532,1,0.05475444346666336,18.636406222496472,0.9895159602165222,0.15381526947021484,0.02173415943980217
0,2,0.222,0.9445,0.03969954352354733,0.01062399335205555,0.04203198105096817,1.935084342956543,1.0085068941116333,15,8.382317901123315e-06,1,0.14467298984527588,0.007818312384188175,2,0.05776570364832878,18.403899234439727,1.0170862674713135,0.16592736542224884,0.021711817011237144
0,3,0.333,0.9167500000000001,0.03969954352354733,0.009873627685010433,0.0413818396627903,1.9351710081100464,0.9973888993263245,15,8.258801244664937e-06,1,0.14215750992298126,0.007789946161210537,3,0.05711556598544121,18.453055065444502,0.9947845935821533,0.16341190040111542,0.021683450788259506
0,4,0.444,0.889,0.03969954352354733,0.009073696099221706,0.03841385617852211,1.9349762201309204,1.001091480255127,15,8.08049753686646e-06,1,0.12991921603679657,0.00791206769645214,4,0.05414757877588272,18.68480949531588,1.0021841526031494,0.15117359161376953,0.021805571392178535
0,5,0.555,0.86125,0.03969954352354733,0.008365506306290627,0.034173011779785156,1.9351915121078491,0.9829673767089844,15,8.241527211794164e-06,1,0.1129683256149292,0.007907907478511333,5,0.049906741827726364,19.039007735441484,0.9662248492240906,0.13422270119190216,0.021801410242915154
0,6,0.666,0.8335,0.03969954352354733,0.007804953958839178,0.03670140728354454,1.9351733922958374,0.9975969195365906,15,8.13991209724918e-06,1,0.12322822958230972,0.007859132252633572,6,0.05243512988090515,18.82437643246388,0.9951995611190796,0.1444825977087021,0.02175263501703739
0,7,0.777,0.80575,0.03969954352354733,0.0074211894534528255,0.03378275781869888,1.9352322816848755,0.9869840145111084,15,7.588891094201244e-06,1,0.1117061972618103,0.00780827971175313,7,0.049516480416059494,19.0731022345415,0.9741374254226685,0.13296055793762207,0.021701786667108536
0,8,0.888,0.778,0.03969954352354733,0.00719289667904377,0.04383666440844536,1.9352558851242065,1.0105262994766235,15,8.88015711097978e-06,1,0.15166586637496948,0.007893592119216919,8,0.05957038328051567,18.27029596935388,1.0211634635925293,0.17292024195194244,0.021787099540233612
0,9,0.999,0.75025,0.03969954352354733,0.007022725883871317,0.03358572721481323,1.935326099395752,0.9984488487243652,15,8.499089744873345e-06,1,0.11071737855672836,0.007875176146626472,9,0.04931945353746414,19.090417353868045,0.9969000816345215,0.13197173178195953,0.021768681704998016
1,0,0.0,0.8571428571428572,0.04718059426719991,0.013227979652583599,0.035671740770339966,1.4851959943771362,1.0005367994308472,18,9.922273420670535e-06,1,0.1278664618730545,0.004940171260386705,10,0.04392441362142563,19.593540188311813,1.0010738372802734,0.14015227556228638,0.011848458088934422
1,1,0.111,0.8175000000000001,0.04718059426719991,0.012689127586781979,0.030259236693382263,1.485183596611023,1.0107418298721313,16,9.905569640977774e-06,1,0.10606371611356735,0.004991079214960337,11,0.038511909544467926,20.164649384526932,1.0215990543365479,0.11834955215454102,0.011899365112185478
1,2,0.222,0.7778571428571429,0.04718059426719991,0.012317526154220104,0.03886964172124863,1.4857277870178223,1.0033053159713745,16,9.893441529129632e-06,1,0.14057886600494385,0.00496656633913517,12,0.04712231457233429,19.288333771782614,1.0066215991973877,0.15286469459533691,0.011874852702021599
