image,stage,step,tau,sigma_tau,resolution,mse_wls,mse_model,mse_alg2
lakeside_beach,3,6,0.666,0.13359999999999997,256,0.001520636840723455,0.001309787854552269,0.00021465988538693637
sea_anemone,3,6,0.666,0.13359999999999997,256,0.0028625125996768475,0.0026816637255251408,0.000214997649891302
shetland_sheepdog,3,6,0.666,0.13359999999999997,256,0.002043724525719881,0.0018178982427343726,0.00021597329759970307
breastplate_armor,3,7,0.777,0.08919999999999997,256,0.001763685024343431,0.0016001322073861957,0.0004093456082046032
crane_structure,3,7,0.777,0.08919999999999997,256,0.0011384068056941032,0.0010299745481461287,0.00041141215479001403
ibex_horns,3,7,0.777,0.08919999999999997,256,0.0027215606532990932,0.0025801812298595905,0.00041035591857507825
junco,3,7,0.777,0.08919999999999997,256,0.0010298211127519608,0.0008402550593018532,0.00040975952288135886
lakeside_beach,3,7,0.777,0.08919999999999997,256,0.0010369288502261043,0.0008355057216249406,0.00040896725840866566
sea_anemone,3,7,0.777,0.08919999999999997,256,0.0018498788122087717,0.0016828358639031649,0.00040961080230772495
shetland_sheepdog,3,7,0.777,0.08919999999999997,256,0.0013445657677948475,0.0011323943035677075,0.00041146966395899653
breastplate_armor,3,8,0.888,0.044799999999999986,256,0.000763596675824374,0.0006168727995827794,0.0006214207387529314
crane_structure,3,8,0.888,0.044799999999999986,256,0.0005268134409561753,0.0003874378162436187,0.0006245577824302018
ibex_horns,3,8,0.888,0.044799999999999986,256,0.0010248009348288178,0.0009142339113168418,0.0006229544524103403
junco,3,8,0.888,0.044799999999999986,256,0.0005431241588667035,0.00036887178430333734,0.0006220490904524922
lakeside_beach,3,8,0.888,0.044799999999999986,256,0.00056059705093503,0.0003828970657195896,0.0006208464037626982
sea_anemone,3,8,0.888,0.044799999999999986,256,0.0008917833911255002,0.0007508813869208097,0.0006218233029358089
shetland_sheepdog,3,8,0.888,0.044799999999999986,256,0.0006741536781191826,0.0005000687669962645,0.0006246452103368938
breastplate_armor,3,9,0.999,0.0004000000000000003,256,1.4799403288634494e-05,1.4395163816516288e-07,nan
crane_structure,3,9,0.999,0.0004000000000000003,256,2.0766812667716295e-05,1.4819531202192593e-07,nan
ibex_horns,3,9,0.999,0.0004000000000000003,256,8.639606676297262e-06,1.631432269277866e-07,nan
junco,3,9,0.999,0.0004000000000000003,256,3.85727544198744e-05,1.2449626751731557e-07,nan
lakeside_beach,3,9,0.999,0.0004000000000000003,256,2.7956539270235226e-05,1.2801960735941975e-07,nan
sea_anemone,3,9,0.999,0.0004000000000000003,256,3.2264269975712523e-06,1.608423048082841e-07,nan
shetland_sheepdog,3,9,0.999,0.0004000000000000003,256,1.4932548765500542e-05,1.4477640775112377e-07,nan
