image,stage,step,tau,sigma_tau,resolution,mse_wls,mse_model,mse_alg2
shetland_sheepdog,0,8,0.888,0.778,32,7.9110941886901855,0.08453711122274399,5.296062113302469e-07
breastplate_armor,0,9,0.999,0.75025,32,7.614709377288818,0.04184895008802414,6.967053423068137e-07
crane_structure,0,9,0.999,0.75025,32,7.86146354675293,0.078335240483284,7.180125862760178e-07
ibex_horns,0,9,0.999,0.75025,32,7.334289073944092,0.10887613147497177,6.698936658722232e-07
junco,0,9,0.999,0.75025,32,7.300967216491699,0.057008348405361176,6.670360903626715e-07
lakeside_beach,0,9,0.999,0.75025,32,7.775424957275391,0.0297845508903265,7.101490950844891e-07
sea_anemone,0,9,0.999,0.75025,32,7.735915184020996,0.050366222858428955,7.068653644637379e-07
shetland_sheepdog,0,9,0.999,0.75025,32,7.888348579406738,0.07650727033615112,7.206794521152915e-07
breastplate_armor,1,0,0.0,0.8571428571428572,64,1.1205687522888184,0.046715255826711655,4.5065753795370256e-08
crane_structure,1,0,0.0,0.8571428571428572,64,1.1423357725143433,0.07546284049749374,4.44649046471568e-08
ibex_horns,1,0,0.0,0.8571428571428572,64,1.205782413482666,0.1479996144771576,4.494036076607699e-08
junco,1,0,0.0,0.8571428571428572,64,1.0993804931640625,0.04702752083539963,4.2794948029722946e-08
lakeside_beach,1,0,0.0,0.8571428571428572,64,1.0823100805282593,0.029035424813628197,4.295052846714498e-08
sea_anemone,1,0,0.0,0.8571428571428572,64,1.1330815553665161,0.0748717188835144,4.4934491683079614e-08
shetland_sheepdog,1,0,0.0,0.8571428571428572,64,1.1066325902938843,0.07960991561412811,4.1947625817329026e-08
breastplate_armor,1,1,0.111,0.8175000000000001,64,1.1100901365280151,0.03690209984779358,1.026389995217869e-07
crane_structure,1,1,0.111,0.8175000000000001,64,1.1296610832214355,0.0665334016084671,1.0122676030732691e-07
ibex_horns,1,1,0.111,0.8175000000000001,64,1.182264804840088,0.13026165962219238,1.021118123389897e-07
junco,1,1,0.111,0.8175000000000001,64,1.0956265926361084,0.045492708683013916,9.833240710577229e-08
lakeside_beach,1,1,0.111,0.8175000000000001,64,1.0791702270507812,0.022070562466979027,9.862132799298706e-08
sea_anemone,1,1,0.111,0.8175000000000001,64,1.1217297315597534,0.06527683883905411,1.0206186829009312e-07
shetland_sheepdog,1,1,0.111,0.8175000000000001,64,1.0960419178009033,0.06663930416107178,9.665414779647108e-08
breastplate_armor,1,2,0.222,0.7778571428571429,64,1.1012091636657715,0.03175896406173706,2.2856254133785114e-07
crane_structure,1,2,0.222,0.7778571428571429,64,1.1145422458648682,0.05907510966062546,2.2531068566422618e-07
ibex_horns,1,2,0.222,0.7778571428571429,64,1.159517526626587,0.11451241374015808,2.2688925582770025e-07
junco,1,2,0.222,0.7778571428571429,64,1.0879496335983276,0.043075934052467346,2.2086184969793976e-07
lakeside_beach,1,2,0.222,0.7778571428571429,64,1.0719765424728394,0.01783955655992031,2.2136626398605586e-07
sea_anemone,1,2,0.222,0.7778571428571429,64,1.1084694862365723,0.05708281323313713,2.2665237509045255e-07
shetland_sheepdog,1,2,0.222,0.7778571428571429,64,1.0808088779449463,0.05405095964670181,2.1764519431144436e-07
breastplate_armor,1,3,0.333,0.7382142857142858,64,1.096204400062561,0.027837282046675682,4.4441023305807903e-07
crane_structure,1,3,0.333,0.7382142857142858,64,1.1017494201660156,0.05153101682662964,4.379689357847383e-07
ibex_horns,1,3,0.333,0.7382142857142858,64,1.141448974609375,0.10067585110664368,4.405986544497864e-07
junco,1,3,0.333,0.7382142857142858,64,1.081911325454712,0.0393955372273922,4.3154588524885185e-07
lakeside_beach,1,3,0.333,0.7382142857142858,64,1.0683212280273438,0.015385184437036514,4.323713653775485e-07
sea_anemone,1,3,0.333,0.7382142857142858,64,1.1002395153045654,0.04986264556646347,4.3999781951242767e-07
shetland_sheepdog,1,3,0.333,0.7382142857142858,64,1.070206642150879,0.0436747670173645,4.2587333837218466e-07
breastplate_armor,1,4,0.444,0.6985714285714286,64,1.0910944938659668,0.024435702711343765,7.791401799295272e-07
crane_structure,1,4,0.444,0.6985714285714286,64,1.0910464525222778,0.04647291824221611,7.67722326600051e-07
ibex_horns,1,4,0.444,0.6985714285714286,64,1.1243703365325928,0.08869161456823349,7.718743972873199e-07
junco,1,4,0.444,0.6985714285714286,64,1.0753757953643799,0.03503281623125076,7.587898380734259e-07
lakeside_beach,1,4,0.444,0.6985714285714286,64,1.0638997554779053,0.013506190851330757,7.600738172186539e-07
sea_anemone,1,4,0.444,0.6985714285714286,64,1.0919561386108398,0.04199710488319397,7.706744327151682e-07
shetland_sheepdog,1,4,0.444,0.6985714285714286,64,1.0603644847869873,0.035949379205703735,7.494514875361347e-07
breastplate_armor,1,5,0.555,0.6589285714285714,64,1.086190938949585,0.021451150998473167,1.2720792028630967e-06
crane_structure,1,5,0.555,0.6589285714285714,64,1.0817763805389404,0.04196258634328842,1.2533068911579903e-06
ibex_horns,1,5,0.555,0.6589285714285714,64,1.109100103378296,0.07704427093267441,1.2596024134836625e-06
junco,1,5,0.555,0.6589285714285714,64,1.0679783821105957,0.029188930988311768,1.2411735497153131e-06
lakeside_beach,1,5,0.555,0.6589285714285714,64,1.0594526529312134,0.011961575597524643,1.243098722625291e-06
sea_anemone,1,5,0.555,0.6589285714285714,64,1.0839755535125732,0.03527429699897766,1.2574902257256326e-06
shetland_sheepdog,1,5,0.555,0.6589285714285714,64,1.0519790649414062,0.02967049740254879,1.2265662689969759e-06
breastplate_armor,1,6,0.666,0.6192857142857142,64,1.0817580223083496,0.019032035022974014,1.977351757886936e-06
crane_structure,1,6,0.666,0.6192857142857142,64,1.0732406377792358,0.03850317373871803,1.9480330593069084e-06
ibex_horns,1,6,0.666,0.6192857142857142,64,1.095056176185608,0.06419975310564041,1.9573008103179745e-06
junco,1,6,0.666,0.6192857142857142,64,1.0600370168685913,0.02438092604279518,1.9317965325171826e-06
lakeside_beach,1,6,0.666,0.6192857142857142,64,1.0552833080291748,0.010633870959281921,1.9346059616509592e-06
sea_anemone,1,6,0.666,0.6192857142857142,64,1.075891375541687,0.029291734099388123,1.953851779035176e-06
shetland_sheepdog,1,6,0.666,0.6192857142857142,64,1.045446753501892,0.024959631264209747,1.90977516467683e-06
breastplate_armor,1,7,0.777,0.5796428571428571,64,1.0774831771850586,0.016645243391394615,2.9705824999837205e-06
crane_structure,1,7,0.777,0.5796428571428571,64,1.065467357635498,0.03455371782183647,2.9263796932355035e-06
ibex_horns,1,7,0.777,0.5796428571428571,64,1.079282522201538,0.05072721093893051,2.939741307272925e-06
junco,1,7,0.777,0.5796428571428571,64,1.0534703731536865,0.02121042273938656,2.904849225160433e-06
lakeside_beach,1,7,0.777,0.5796428571428571,64,1.0516029596328735,0.00947587750852108,2.90886964648962e-06
sea_anemone,1,7,0.777,0.5796428571428571,64,1.0676772594451904,0.023842856287956238,2.934380063379649e-06
shetland_sheepdog,1,7,0.777,0.5796428571428571,64,1.0402121543884277,0.021492820233106613,2.8725141874019755e-06
breastplate_armor,1,8,0.888,0.54,64,1.0724656581878662,0.013356922194361687,4.359235390438698e-06
crane_structure,1,8,0.888,0.54,64,1.0582298040390015,0.02971784397959709,4.2942037907778285e-06
ibex_horns,1,8,0.888,0.54,64,1.0656442642211914,0.04167955368757248,4.313183580961777e-06
junco,1,8,0.888,0.54,64,1.0477092266082764,0.018151618540287018,4.26577480538981e-06
lakeside_beach,1,8,0.888,0.54,64,1.0482202768325806,0.008455267176032066,4.271454599802382e-06
sea_anemone,1,8,0.888,0.54,64,1.0600144863128662,0.01987377181649208,4.305119546188507e-06
shetland_sheepdog,1,8,0.888,0.54,64,1.0350911617279053,0.01854960434138775,4.219150923745474e-06
breastplate_armor,1,9,0.999,0.5003571428571428,64,1.067427396774292,0.011396966874599457,6.299072992987931e-06
crane_structure,1,9,0.999,0.5003571428571428,64,1.0504344701766968,0.025158410891890526,6.204879355209414e-06
ibex_horns,1,9,0.999,0.5003571428571428,64,1.0525989532470703,0.03513813391327858,6.231637144082924e-06
junco,1,9,0.999,0.5003571428571428,64,1.0424984693527222,0.013772009871900082,6.167384526634123e-06
lakeside_beach,1,9,0.999,0.5003571428571428,64,1.0452954769134521,0.007547101937234402,6.17532896285411e-06
sea_anemone,1,9,0.999,0.5003571428571428,64,1.05266273021698,0.017290262505412102,6.219746410351945e-06
shetland_sheepdog,1,9,0.999,0.5003571428571428,64,1.0303378105163574,0.016003184020519257,6.100920927565312e-06
breastplate_armor,2,0,0.0,0.6666666666666667,128,0.13834114372730255,0.019854510203003883,3.990868151504401e-07
crane_structure,2,0,0.0,0.6666666666666667,128,0.1649666726589203,0.04571788012981415,3.902193839167012e-07
ibex_horns,2,0,0.0,0.6666666666666667,128,0.1629515290260315,0.046352580189704895,3.876528751334263e-07
junco,2,0,0.0,0.6666666666666667,128,0.14362937211990356,0.022843440994620323,3.8882279795871e-07
lakeside_beach,2,0,0.0,0.6666666666666667,128,0.1263940930366516,0.00852771382778883,3.9221953329615644e-07
sea_anemone,2,0,0.0,0.6666666666666667,128,0.13852669298648834,0.020011618733406067,3.9279143493331503e-07
shetland_sheepdog,2,0,0.0,0.6666666666666667,128,0.13627097010612488,0.020644959062337875,3.8803108282081666e-07
breastplate_armor,2,1,0.111,0.6204166666666668,128,0.13592521846294403,0.01800214871764183,6.819488476139668e-07
crane_structure,2,1,0.111,0.6204166666666668,128,0.15724429488182068,0.04020555317401886,6.691780072287656e-07
ibex_horns,2,1,0.111,0.6204166666666668,128,0.15532582998275757,0.039630185812711716,6.644760901508562e-07
junco,2,1,0.111,0.6204166666666668,128,0.13571196794509888,0.015642626211047173,6.674416681562434e-07
lakeside_beach,2,1,0.111,0.6204166666666668,128,0.12625935673713684,0.007832556031644344,6.708439741487382e-07
sea_anemone,2,1,0.111,0.6204166666666668,128,0.1369848996400833,0.017138686031103134,6.735458555340301e-07
shetland_sheepdog,2,1,0.111,0.6204166666666668,128,0.133995920419693,0.017165889963507652,6.643527967753471e-07
breastplate_armor,2,2,0.222,0.5741666666666667,128,0.13397543132305145,0.016539661213755608,1.2725301985483384e-06
crane_structure,2,2,0.222,0.5741666666666667,128,0.15138950943946838,0.03439756855368614,1.255410211342678e-06
ibex_horns,2,2,0.222,0.5741666666666667,128,0.14974910020828247,0.03428129851818085,1.245746261702152e-06
junco,2,2,0.222,0.5741666666666667,128,0.13225093483924866,0.012854047119617462,1.253969799108745e-06
lakeside_beach,2,2,0.222,0.5741666666666667,128,0.12558093667030334,0.007099456619471312,1.2535720088635571e-06
sea_anemone,2,2,0.222,0.5741666666666667,128,0.13458150625228882,0.01485985703766346,1.2633884125534678e-06
shetland_sheepdog,2,2,0.222,0.5741666666666667,128,0.13126742839813232,0.01441871002316475,1.243355200131191e-06
breastplate_armor,2,3,0.333,0.5279166666666668,128,0.1320287436246872,0.015165600925683975,2.32565616897773e-06
crane_structure,2,3,0.333,0.5279166666666668,128,0.14498135447502136,0.028408503159880638,2.3036695893097203e-06
ibex_horns,2,3,0.333,0.5279166666666668,128,0.14429353177547455,0.029236286878585815,2.2847716536489315e-06
junco,2,3,0.333,0.5279166666666668,128,0.1302201896905899,0.010563666000962257,2.3035295271256473e-06
lakeside_beach,2,3,0.333,0.5279166666666668,128,0.12479148805141449,0.006312207784503698,2.2934523258300032e-06
sea_anemone,2,3,0.333,0.5279166666666668,128,0.13248074054718018,0.012901045382022858,2.3180093648988986e-06
shetland_sheepdog,2,3,0.333,0.5279166666666668,128,0.12888231873512268,0.012262774631381035,2.2774065655539744e-06
breastplate_armor,2,4,0.444,0.48166666666666674,128,0.12950138747692108,0.012401465326547623,4.085370164830238e-06
crane_structure,2,4,0.444,0.48166666666666674,128,0.13834363222122192,0.021928664296865463,4.057932073919801e-06
ibex_horns,2,4,0.444,0.48166666666666674,128,0.13966378569602966,0.02520909160375595,4.023249857709743e-06
junco,2,4,0.444,0.48166666666666674,128,0.12807443737983704,0.008797843009233475,4.060685114382068e-06
lakeside_beach,2,4,0.444,0.48166666666666674,128,0.12366779893636703,0.005491900257766247,4.031739081256092e-06
sea_anemone,2,4,0.444,0.48166666666666674,128,0.1299896240234375,0.011066917330026627,4.082834038854344e-06
shetland_sheepdog,2,4,0.444,0.48166666666666674,128,0.12684231996536255,0.010814632289111614,4.006711606052704e-06
breastplate_armor,2,5,0.555,0.4354166666666667,128,0.12740039825439453,0.010487483814358711,6.948281225049868e-06
crane_structure,2,5,0.555,0.4354166666666667,128,0.13315963745117188,0.016833966597914696,6.914750883879606e-06
ibex_horns,2,5,0.555,0.4354166666666667,128,0.13532373309135437,0.021518811583518982,6.854019375168718e-06
junco,2,5,0.555,0.4354166666666667,128,0.12641340494155884,0.007505486719310284,6.9229545260895975e-06
lakeside_beach,2,5,0.555,0.4354166666666667,128,0.12268349528312683,0.004720722790807486,6.860518624307588e-06
sea_anemone,2,5,0.555,0.4354166666666667,128,0.1282472163438797,0.009667802602052689,6.956762717891252e-06
shetland_sheepdog,2,5,0.555,0.4354166666666667,128,0.12535487115383148,0.009621669538319111,6.82166091792169e-06
breastplate_armor,2,6,0.666,0.38916666666666666,128,0.1257086545228958,0.00884244404733181,1.1582826118683442e-05
crane_structure,2,6,0.666,0.38916666666666666,128,0.12872397899627686,0.012670177966356277,1.1542542779352516e-05
ibex_horns,2,6,0.666,0.38916666666666666,128,0.13079063594341278,0.0178986769169569,1.1439226909715217e-05
junco,2,6,0.666,0.38916666666666666,128,0.1245313286781311,0.006281034555286169,1.1560400707821827e-05
lakeside_beach,2,6,0.666,0.38916666666666666,128,0.12152393907308578,0.004043685272336006,1.1440628441050649e-05
sea_anemone,2,6,0.666,0.38916666666666666,128,0.12624409794807434,0.008284809067845345,1.1612171874730848e-05
shetland_sheepdog,2,6,0.666,0.38916666666666666,128,0.12367244064807892,0.008525620214641094,1.1380262549209874e-05
breastplate_armor,2,7,0.777,0.34291666666666665,128,0.12376312911510468,0.007299130782485008,1.9165705452905968e-05
crane_structure,2,7,0.777,0.34291666666666665,128,0.125180184841156,0.009713965468108654,1.911808067234233e-05
ibex_horns,2,7,0.777,0.34291666666666665,128,0.12650176882743835,0.014715127646923065,1.8944600014947355e-05
junco,2,7,0.777,0.34291666666666665,128,0.12282731384038925,0.005263419821858406,1.915272878250107e-05
lakeside_beach,2,7,0.777,0.34291666666666665,128,0.12043580412864685,0.003344861324876547,1.8935417756438255e-05
sea_anemone,2,7,0.777,0.34291666666666665,128,0.12436003983020782,0.007117375265806913,1.9232802515034564e-05
shetland_sheepdog,2,7,0.777,0.34291666666666665,128,0.12172975391149521,0.007436607964336872,1.8840908523998223e-05
breastplate_armor,2,8,0.888,0.2966666666666667,128,0.12183339893817902,0.006105414591729641,3.18790043820627e-05
crane_structure,2,8,0.888,0.2966666666666667,128,0.12212574481964111,0.007457140367478132,3.1823750759940594e-05
ibex_horns,2,8,0.888,0.2966666666666667,128,0.12222127616405487,0.012066029012203217,3.153200668748468e-05
junco,2,8,0.888,0.2966666666666667,128,0.12122766673564911,0.004320954903960228,3.188779373886064e-05
lakeside_beach,2,8,0.888,0.2966666666666667,128,0.11943316459655762,0.002784647513180971,3.150224802084267e-05
sea_anemone,2,8,0.888,0.2966666666666667,128,0.12233893573284149,0.006000745575875044,3.201394429197535e-05
shetland_sheepdog,2,8,0.888,0.2966666666666667,128,0.11962303519248962,0.006349228322505951,3.135181759716943e-05
breastplate_armor,2,9,0.999,0.2504166666666667,128,0.11944194883108139,0.004995401948690414,5.402568422141485e-05
crane_structure,2,9,0.999,0.2504166666666667,128,0.11922841519117355,0.005629870109260082,5.3963405662216246e-05
ibex_horns,2,9,0.999,0.2504166666666667,128,0.11759116500616074,0.009684829972684383,5.34647551830858e-05
