blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,69,9.553496965963859e-06,0,0.009970428422093391,1.9357200860977173,0.22506284713745117,0.0073649403639137745,0.06178940832614899,0.19075952470302582,1.0,0,0,0.0,0.9610008597373962
1,63,9.416598913958296e-06,1,0.010642001405358315,1.9358042478561401,0.17536921799182892,0.0074271466583013535,0.04941266402602196,0.19075952470302582,0.9722500000000001,0,1,0.111,0.9417832493782043
1,68,9.461829904466867e-06,2,0.01062399335205555,1.9358114004135132,0.19371557235717773,0.007371270097792149,0.05395735055208206,0.19075952470302582,0.9445,0,2,0.222,0.9229092597961426
1,65,9.918620889948215e-06,3,0.009873627685010433,1.9359033107757568,0.18838195502758026,0.007352946326136589,0.05261019989848137,0.19075952470302582,0.9167500000000001,0,3,0.333,0.9045604467391968
1,66,9.988139936467633e-06,4,0.009073696099221706,1.9357978105545044,0.19805693626403809,0.007340519689023495,0.05501962825655937,0.19075952470302582,0.889,0,4,0.444,0.8866146802902222
1,69,9.265751941711642e-06,5,0.008365506306290627,1.9356882572174072,0.1729389876127243,0.007441691122949123,0.04881601780653,0.19075952470302582,0.86125,0,5,0.555,0.8689773678779602
1,65,9.909063010127284e-06,6,0.007804953958839178,1.935621976852417,0.22058069705963135,0.007410841062664986,0.06070330739021301,0.19075952470302582,0.8335,0,6,0.666,0.8523105978965759
1,64,9.785689144337084e-06,7,0.0074211894534528255,1.9358066320419312,0.20455776154994965,0.007344039157032967,0.056647464632987976,0.19075952470302582,0.80575,0,7,0.777,0.8349494934082031
1,61,9.552227311360184e-06,8,0.00719289667904377,1.935752034187317,0.1917097419500351,0.007315125782042742,0.05341377854347229,0.19075952470302582,0.778,0,8,0.888,0.8188227415084839
1,61,9.294910341850482e-06,9,0.007022725883871317,1.935737133026123,0.19680602848529816,0.007383828982710838,0.05473937839269638,0.19075952470302582,0.75025,0,9,0.999,0.8031524419784546
1,149,9.812215466808993e-06,10,0.013227979652583599,1.4887670278549194,0.1061602234840393,0.0038521108217537403,0.029429137706756592,0.20476265251636505,0.8571428571428572,1,0,0.0,0.9767780303955078
1,141,9.653749657445587e-06,11,0.012689127586781979,1.489232063293457,0.14150626957416534,0.0038490374572575092,0.03826334699988365,0.20476265251636505,0.8175000000000001,1,1,0.111,0.9576154351234436
1,124,9.678963579062838e-06,12,0.012317526154220104,1.4890722036361694,0.1136370524764061,0.0038452569860965014,0.03129320591688156,0.20476265251636505,0.7778571428571429,1,2,0.222,0.9378188252449036
1,110,9.908077117870562e-06,13,0.012009454891085625,1.488816261291504,0.13443054258823395,0.003905548481270671,0.036536797881126404,0.20476265251636505,0.7382142857142858,1,3,0.333,0.919913649559021
1,104,9.855565622274298e-06,14,0.011795909143984318,1.4891893863677979,0.10505536943674088,0.0038559329695999622,0.02915579080581665,0.20476265251636505,0.6985714285714286,1,4,0.444,0.9022384881973267
1,94,9.93998946796637e-06,15,0.011530348099768162,1.48887300491333,0.1308967024087906,0.0038886219263076782,0.035640642046928406,0.20476265251636505,0.6589285714285714,1,5,0.555,0.8838303089141846
1,84,9.722980394144543e-06,16,0.011259624734520912,1.4890140295028687,0.11928378790616989,0.0038421095814555883,0.032702527940273285,0.20476265251636505,0.6192857142857142,1,6,0.666,0.867470920085907
1,77,9.187682735500857e-06,17,0.010943361558020115,1.4887685775756836,0.12044385820627213,0.003944832365959883,0.03306959196925163,0.20476265251636505,0.5796428571428571,1,7,0.777,0.8520148992538452
1,68,9.252943527826574e-06,18,0.010707459412515163,1.4885170459747314,0.12455964833498001,0.003925833385437727,0.03408429026603699,0.20476265251636505,0.54,1,8,0.888,0.835279107093811
1,62,9.728394616104197e-06,19,0.010580291040241718,1.4882807731628418,0.11419018357992172,0.003979771863669157,0.031532373279333115,0.20476265251636505,0.5003571428571428,1,9,0.999,0.821292519569397
1,143,9.856556062004529e-06,20,0.011577649042010307,1.2084121704101562,0.1358615607023239,0.0031237052753567696,0.0363081693649292,0.21508482098579407,0.6666666666666667,2,0,0.0,0.9939225316047668
1,121,9.9120470622438e-06,21,0.011458246037364006,1.2074202299118042,0.13636414706707,0.0031479732133448124,0.03645201399922371,0.21508482098579407,0.6204166666666668,2,1,0.111,0.9839382767677307
1,105,9.938320545188617e-06,22,0.011648545041680336,1.2078629732131958,0.13671673834323883,0.0031829525250941515,0.03656640276312828,0.21508482098579407,0.5741666666666667,2,2,0.222,0.9743881821632385
1,92,9.911498636938632e-06,23,0.011883500963449478,1.206464409828186,0.14291606843471527,0.0032283088658005,0.038150250911712646,0.21508482098579407,0.5279166666666668,2,3,0.333,0.964972734451294
1,80,9.775654689292423e-06,24,0.01197701133787632,1.2062500715255737,0.12698298692703247,0.003272578353062272,0.03420018032193184,0.21508482098579407,0.48166666666666674,2,4,0.444,0.9564883708953857
1,69,9.263097126677167e-06,25,0.012359649874269962,1.2060354948043823,0.1344524621963501,0.003299442119896412,0.036087699234485626,0.21508482098579407,0.4354166666666667,2,5,0.555,0.9487128257751465
1,59,9.905843398883007e-06,26,0.012831875123083591,1.2031395435333252,0.12893754243850708,0.0033416268415749073,0.03474060446023941,0.21508482098579407,0.38916666666666666,2,6,0.666,0.942101001739502
1,50,9.956392204912845e-06,27,0.013585136272013187,1.2019215822219849,0.12792758643627167,0.0035210358910262585,0.0346226766705513,0.21508482098579407,0.34291666666666665,2,7,0.777,0.9364609718322754
1,42,9.704231160867494e-06,28,0.014856654219329357,1.1994081735610962,0.13032980263233185,0.0036316460464149714,0.035306185483932495,0.21508482098579407,0.2966666666666667,2,8,0.888,0.9308670163154602
1,35,8.516156412952114e-06,29,0.016559859737753868,1.198261022567749,0.12613976001739502,0.0037279038224369287,0.03433086723089218,0.21508482098579407,0.2504166666666667,2,9,0.999,0.9259496331214905
1,129,9.440424946660642e-06,30,0.009436266363731452,0.9744628071784973,0.13904398679733276,0.0031265211291611195,0.03710588812828064,0.222158744931221,0.3999999999999999,3,0,0.0,0.9951807260513306
1,110,9.857626537268516e-06,31,0.01041741163602897,0.9732323884963989,0.13737143576145172,0.0031154847238212824,0.0366794727742672,0.222158744931221,0.3555999999999999,3,1,0.111,0.9863765239715576
