stage,step,tau,sigma_tau,mse_x1,h0,mse_hole,mse_obs
2,8,0.888,0.2966666666666667,0.25335073471069336,0.5,0.9950420260429382,0.006120292469859123
2,9,0.999,0.2504166666666667,0.20161083340644836,0.5,0.7881112694740295,0.006110657472163439
3,0,0.0,0.3999999999999999,0.42578089237213135,0.5,1.6956548690795898,0.002489616861566901
3,1,0.111,0.3555999999999999,0.37744140625,0.5,1.5022867918014526,0.0024929302744567394
3,2,0.222,0.3111999999999999,0.4682997167110443,0.5,1.865665316581726,0.002511167200282216
3,3,0.333,0.2668,0.5698328018188477,0.5,2.271854877471924,0.002492048777639866
3,4,0.444,0.22239999999999996,0.6377130746841431,0.5,2.543414831161499,0.0024791688192635775
3,5,0.555,0.17799999999999994,0.6790505647659302,0.5,2.7088210582733154,0.0024605041835457087
3,6,0.666,0.13359999999999997,0.6951018571853638,0.5,2.7731733322143555,0.002411309629678726
3,7,0.777,0.08919999999999997,0.696424663066864,0.5,2.7786874771118164,0.0023369798436760902
3,8,0.888,0.044799999999999986,0.6988031268119812,0.5,2.7895214557647705,0.0018968672957271338
3,9,0.999,0.0004000000000000003,0.6988031268119812,0.5,2.7895214557647705,0.0018968672957271338
0,0,0.0,1.0,0.04273861274123192,1.0,0.14752981066703796,0.007808213587850332
0,1,0.111,0.9722500000000001,0.04746989160776138,1.0,0.16646932065486908,0.007803416810929775
0,2,0.222,0.9445,0.04630681872367859,1.0,0.16184741258621216,0.007793291471898556
0,3,0.333,0.9167500000000001,0.05831381678581238,1.0,0.21006835997104645,0.007728959899395704
0,4,0.444,0.889,0.0859743058681488,1.0,0.32065215706825256,0.007748358882963657
0,5,0.555,0.86125,0.14987005293369293,1.0,0.575912356376648,0.007855970412492752
0,6,0.666,0.8335,0.279174268245697,1.0,1.0931715965270996,0.007841820828616619
0,7,0.777,0.80575,0.4466778635978699,1.0,1.7633557319641113,0.007785249967128038
0,8,0.888,0.778,0.5598000884056091,1.0,2.2156362533569336,0.007854673080146313
0,9,0.999,0.75025,0.7055696249008179,1.0,2.7987709045410156,0.007835837081074715
1,0,0.0,0.8571428571428572,3.1161270141601562,1.0,12.448799133300781,0.0052366056479513645
1,1,0.111,0.8175000000000001,2.651427745819092,1.0,10.590290069580078,0.005140312481671572
1,2,0.222,0.7778571428571429,1.85211181640625,1.0,7.392995834350586,0.005150537472218275
1,3,0.333,0.7382142857142858,1.0189504623413086,1.0,4.0600104331970215,0.005263748578727245
1,4,0.444,0.6985714285714286,0.5266687870025635,1.0,2.0909805297851562,0.005231475457549095
1,5,0.555,0.6589285714285714,0.44040510058403015,1.0,1.7457059621810913,0.005304807797074318
1,6,0.666,0.6192857142857142,0.4316099286079407,1.0,1.710845947265625,0.005197880323976278
1,7,0.777,0.5796428571428571,0.4293714463710785,1.0,1.701493740081787,0.005330699495971203
1,8,0.888,0.54,0.4479222297668457,1.0,1.7759419679641724,0.005248988512903452
1,9,0.999,0.5003571428571428,0.5317726135253906,1.0,2.1114087104797363,0.005227223038673401
2,0,0.0,0.6666666666666667,0.8980785608291626,1.0,3.5736687183380127,0.0062150429002940655
2,1,0.111,0.6204166666666668,1.2637529373168945,1.0,5.036301136016846,0.006236754823476076
2,2,0.222,0.5741666666666667,1.7734603881835938,1.0,7.074802875518799,0.0063461740501224995
2,3,0.333,0.5279166666666668,1.5859756469726562,1.0,6.32521390914917,0.00622957618907094
2,4,0.444,0.48166666666666674,1.1627646684646606,1.0,4.632460594177246,0.006199227645993233
2,5,0.555,0.4354166666666667,0.7762129306793213,1.0,3.086273193359375,0.0061928946524858475
2,6,0.666,0.38916666666666666,0.5222972631454468,1.0,2.0707147121429443,0.006158075761049986
2,7,0.777,0.34291666666666665,0.361683189868927,1.0,1.4283714294433594,0.0061204517260193825
2,8,0.888,0.2966666666666667,0.25819915533065796,1.0,1.0143753290176392,0.006140382960438728
2,9,0.999,0.2504166666666667,0.2003599852323532,1.0,0.7829720377922058,0.006155977491289377
3,0,0.0,0.3999999999999999,0.4637620151042938,1.0,1.8475669622421265,0.0024936955887824297
3,1,0.111,0.3555999999999999,0.4528118073940277,1.0,1.8037461042404175,0.002500406466424465
3,2,0.222,0.3111999999999999,0.7128429412841797,1.0,2.8438098430633545,0.002520718378946185
3,3,0.333,0.2668,0.7979087829589844,1.0,3.184110641479492,0.002508193254470825
3,4,0.444,0.22239999999999996,0.8399695754051208,1.0,3.3523662090301514,0.0025040144100785255
3,5,0.555,0.17799999999999994,0.8576159477233887,1.0,3.4229538440704346,0.0025031892582774162
3,6,0.666,0.13359999999999997,0.850128173828125,1.0,3.393071413040161,0.002480420283973217
3,7,0.777,0.08919999999999997,0.8324260115623474,1.0,3.3222885131835938,0.0024718157947063446
3,8,0.888,0.044799999999999986,0.8228738307952881,1.0,3.285055160522461,0.002146719954907894
3,9,0.999,0.0004000000000000003,0.8228738307952881,1.0,3.285055160522461,0.002146719954907894
